contribution_id,map_object_id,expedition_id,voyage_label,chart_dates,contribution_kind,evidence_class,present_on_1874,present_on_1910,confidence,review_state,source_id,source_locator,notes
ant-con-cook,ant-obj-ukho-ice-chart-1910,ant-exp-cook-second,Cook 1772-5,1772-1775,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"The oldest voyage on both sheets, and the only one that predates the idea of an Antarctic continent as a survey target."
ant-con-bellingshausen,ant-obj-ukho-ice-chart-1910,ant-exp-bellingshausen,Bellinghausen 1819-21,1819-1821,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"Spelled Bellinghausen on both charts. The transliteration is the chart's, not ours, and is kept as the chart gives it."
ant-con-weddell,ant-obj-ukho-ice-chart-1910,ant-exp-weddell,Weddell 1822-4,1822-1824,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"The exceptional ice year, compiled alongside ordinary ones without a note that it was exceptional. That flattening is itself part of what Act VII should show."
ant-con-foster,ant-obj-ukho-ice-chart-1910,ant-exp-foster,Foster 1828-9,1828-1829,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"A magnetic and pendulum survey, present on the chart for its ice observations rather than for any discovery."
ant-con-biscoe,ant-obj-ukho-ice-chart-1910,ant-exp-biscoe,Biscoe 1830-2,1830-1832,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"A commercial voyage compiled into an Admiralty chart, which is the point at which sealing knowledge becomes hydrographic knowledge."
ant-con-balleny,ant-obj-ukho-ice-chart-1910,ant-exp-balleny,Balleny 1839,1839,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),Both sheets date this 1839.
ant-con-durville,ant-obj-ukho-ice-chart-1910,ant-exp-durville,D'Urville 1839,1839,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"The chart dates d'Urville 1839 although the Adelie coast sighting is generally dated January 1840. A chart's own dating is evidence about the chart, and is recorded as the chart gives it rather than corrected silently."
ant-con-wilkes,ant-obj-ukho-ice-chart-1910,ant-exp-wilkes,Wilkes 1839,1839,ice_observations,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"Same dating question as d'Urville. Wilkes appears on a chart that also carries Ross, whose voyage contradicted part of what Wilkes charted."
ant-con-ross,ant-obj-ukho-ice-chart-1910,ant-exp-ross,Ross 1841-2-3,1841-1843,coast_survey,scholarly_reconstruction,yes,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"The last voyage on the 1874 sheet, and the survey the earlier sightings are reconciled against."
ant-con-discovery,ant-obj-ukho-ice-chart-1910,ant-exp-discovery,Scott 1901-4,1901-1904,coast_survey,scholarly_reconstruction,no,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),One of the two additions that distinguish the 1910 issue from its 1874 predecessor.
ant-con-nimrod,ant-obj-ukho-ice-chart-1910,ant-exp-nimrod,Shackleton 1908-9,1908-1909,coast_survey,scholarly_reconstruction,no,yes,medium,normalized,ant-src-rmg-ice-chart-1910,RMG catalogue titles for G288:1/2(2) and NTY288:1/2(1),"The other addition, and the reason the 1910 sheet exists at all."
ant-con-towson,ant-obj-ukho-ice-chart-1874,,Towson 1855-59,1855-1859,compiled_analysis,scholarly_reconstruction,yes,no,medium,normalized,ant-src-rmg-ice-chart-1874,RMG catalogue title for NTY288:1/2(1),"Not a voyage but a set of papers on icebergs, credited in the 1874 title and absent from the 1910 one. A compilation that cites an analysis rather than an observation is exactly the distinction between surveyed and reconciled geography, and it is the one contribution here that never went south."
