source_id,short_title,title,creator,date_label,year_from,year_to,date_precision,witness,repository,rights_statement,citation,scope,trench_a_stela,review_state,normalization_method,reviewer,review_date,note
src-ptolemy-geographia,Ptolemaeus,Geographia III.8 - Dacia,"Klaudios Ptolemaios",c. A.D. 150,150,150,circa,"Manuscript tradition; editio princeps with maps",Bologna 1477 editio princeps,public_domain,"Ptolemy, Geographia III.8",A coordinate catalogue of Dacia between the Tisia the Danube and the Hierasus; towns and tribes only,I,normalized,llm_assisted,,,"Survives as numbers; every drawn map of it is a later restoration."
src-tabula-peutingeriana,Peutingeriana,Tabula Peutingeriana segm. VII–VIII,"Unknown imperial compilers; medieval copyist",content c. A.D. 350,350,350,disputed,"Parchment roll of eleven segments",ÖNB Vienna Cod. 324,public_domain,"Tabula Peutingeriana, segm. VII–VIII",The cursus publicus; road stations and mileages rather than settlement generally,II,normalized,llm_assisted,,,"Dated by its fourth-century content rather than its c. 1200 parchment, following the trench's stated rule."
src-hereford-mappa,Herefordia,Hereford Mappa Mundi,"Circle of Richard of Haldingham (attrib.)",c. A.D. 1300,1300,1300,circa,"Single vellum sheet",Hereford Cathedral,public_domain,Hereford Mappa Mundi,The whole orbis terrarum arranged on a theological schema,III,normalized,llm_assisted,,,"Reproduction rights for any specific witness image are not cleared by this value."
src-vesconte-portolan,Vesconte,Portolan chart,"Pietro Vesconte",1311,1311,1311,exact_year,"Signed 1311 chart",Florence,public_domain,"Vesconte portolan, 1311",Mediterranean and Black Sea coastlines; the interior is not surveyed,IV,normalized,llm_assisted,,,"Scope is what makes inland silence extra_muros rather than omission."
src-honterus-chorographia,Honterus,Chorographia Transylvaniae,"Johannes Honterus",1532,1532,1532,exact_year,"One known impression",Repository unconfirmed - recorded as likely Budapest,public_domain,"Honterus, Chorographia Transylvaniae, 1532",Transylvania,V,normalized,llm_assisted,,,"See verification-debt vd-honterus-impression and vd-honterus-orientation."
src-ortelius-parergon,Ortelius,Dacia - Parergon,"Abraham Ortelius",1595,1595,1595,exact_year,"Parergon plate",Widely held,public_domain,"Ortelius, Parergon, 1595",Antiquarian reconstruction of the ancient provinces over modern geometry,VI,normalized,llm_assisted,,,"An antiquarian restoration; readings from it are reconstructed rather than contemporary."
src-cantacuzino-wallachia,Cantacuzino,Map of Wallachia,"Constantin Cantacuzino, stolnic; printed by Chrysanthos",1700,1700,1700,exact_year,"A handful of copies",BnF Paris,public_domain,"Cantacuzino, Wallachia, 1700",Wallachia,VII,normalized,llm_assisted,,,"Known partly through the 1718 reduction."
src-cantemir-moldavia,Cantemir,Descriptio Moldaviae - map,"Dimitrie Cantemir",1716,1716,1716,exact_year,"1737 Amsterdam engraving",Widely reproduced,public_domain,"Cantemir, Descriptio Moldaviae",Moldavia,VIII,normalized,llm_assisted,,,"The manuscript travelled to Russia; the print carried the content."
src-iosephina-survey,Iosephina,Josephinische Landesaufnahme,"Habsburg General Staff plane-table parties",1769–1773,1769,1773,year_range,"Manuscript survey sheets at 1:28,800",Kriegsarchiv Vienna,public_domain,"Josephinische Landesaufnahme, 1769–73",The Habsburg lands including Transylvania; Oltenia and Moldavia lie outside it,IX,normalized,llm_assisted,,,"Classified from birth and therefore complete."
src-russian-staff-1835,Russia 1835,Russian General Staff map,"Russian General Staff",1835,1835,1835,exact_year,"Printed sheets",Staff archives and major collections,public_domain,"Russian General Staff map, 1835",The Principalities under Russian administration; the survey stops at the mountains,X,normalized,llm_assisted,,,"First geodetic lattice for the region."
