key,title,object_type,date_made,repository,repository_id,stable_url,iiif_manifest,resolution,rights_statement,attribution,provenance_class,corpus_role,essay_section,dependency_risk,verification_status,verified_on,notes
hse-obj-rudimentum-mappa,"Rudimentum novitiorum (Lübeck: Lucas Brandis, 1475)",printed_book,1475,"Bayerische Staatsbibliothek, München",bsb00031549,https://www.digitale-sammlungen.de/en/view/bsb00031549,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00031549/manifest,952 canvases; modal page 4468x6356,public_domain,"München, Bayerische Staatsbibliothek",repository,hero,pending,none,verified,2026-08-07,"Verified against the BSB IIIF manifest and the MDZ viewer. The manifest gives imprint 'Lübeck : Lucas Brandis', date 1475.08.05. and licence CC Public Domain Mark 1.0. The witness verified here is the whole digitised book; the folio carrying the world map has NOT been located yet and must be established by looking at the page before any evidence row cites it."
hse-obj-carta-marina,Carta Marina et descriptio septemtrionalium terrarum (1539),printed_map,1539,Uppsala University Library,alvin-record:88495,https://www.alvin-portal.org/alvin/view.jsf?pid=alvin-record:88495,none,not_published,public_domain,Uppsala University Library,repository,fallback,pending,none,verified,2026-08-07,"Verified against the Alvin record: creator Olaus Magnus, printed Venice 1539, 125x170 cm image area, licence Public Domain Mark (No Known Copyright), URN urn:nbn:se:alvin:portal:record-88495. Alvin publishes no IIIF manifest and serves the master through a tiled viewer, so no pixel figure exists to record: resolution is not_published, a finding, rather than pending."
hse-obj-lubeck-view,"Lübeck, from the Lübeck/Hamburg plate in Civitates Orbis Terrarum vol. 1",city_view,1593,Universitätsbibliothek Heidelberg,braun1593bd1 p. 24a (canvas 0074),https://digi.ub.uni-heidelberg.de/diglit/braun1593bd1/0074,https://digi.ub.uni-heidelberg.de/diglit/iiif/braun1593bd1/manifest,4665x3796,public_domain,Universitätsbibliothek Heidelberg,repository,fallback,pending,none,verified,2026-08-07,"Braun & Hogenberg, Civitates Orbis Terrarum vol. 1 (Köln, 1593), shelfmark A 330 A Folio RES::1-2, DOI 10.11588/diglit.12704, CC Public Domain Mark 1.0. Lübeck and Hamburg share ONE engraved sheet (page 24a), so this row and its twin cite the same object. The plate was viewed, not just catalogued. The Lübeck cartouche reads 'LVBECA VRBS IMPERIALIS LIBERA, CIVITATVM WANDALICARVM ET INCLYTAE HANSEATICAE SOCIETATIS CAPVT' - a contemporary witness naming the city head of the Hanseatic societas, which is an essay claim in its own right and should get an evidence row."
hse-obj-hamburg-view,"Hamburg, from the Lübeck/Hamburg plate in Civitates Orbis Terrarum vol. 1",city_view,1593,Universitätsbibliothek Heidelberg,braun1593bd1 p. 24a (canvas 0074),https://digi.ub.uni-heidelberg.de/diglit/braun1593bd1/0074,https://digi.ub.uni-heidelberg.de/diglit/iiif/braun1593bd1/manifest,4665x3796,public_domain,Universitätsbibliothek Heidelberg,repository,section_witness,pending,none,verified,2026-08-07,"Braun & Hogenberg, Civitates Orbis Terrarum vol. 1 (Köln, 1593), shelfmark A 330 A Folio RES::1-2, DOI 10.11588/diglit.12704, CC Public Domain Mark 1.0. Lübeck and Hamburg share ONE engraved sheet (page 24a), so this row and its twin cite the same object. The plate was viewed, not just catalogued. The Hamburg cartouche dates its view M.D.LXXII (1572); date_made here is the 1593 edition of the digitised volume, not that of the view."
hse-obj-london-steelyard,"London, from Civitates Orbis Terrarum vol. 1",city_view,1593,Universitätsbibliothek Heidelberg,braun1593bd1 p. Aa (canvas 0026),https://digi.ub.uni-heidelberg.de/diglit/braun1593bd1/0026,https://digi.ub.uni-heidelberg.de/diglit/iiif/braun1593bd1/manifest,4583x3770,public_domain,Universitätsbibliothek Heidelberg,repository,section_witness,pending,none,verified,2026-08-07,"Braun & Hogenberg, Civitates Orbis Terrarum vol. 1 (Köln, 1593), shelfmark A 330 A Folio RES::1-2, DOI 10.11588/diglit.12704, CC Public Domain Mark 1.0. Cartouche 'LONDINVM FERACISSIMI ANGLIAE REGNI METROPOLIS'. Chosen over the Holbein because it is rights-clean AND carries more: a printed text block headed STILLIARDS describing the Hansa as a confederated society of many cities with four Emporia 'which some call Kontore', and the London house Gildehalla Teutonica 'commonly called the Steelyard'. Read off the plate at full resolution; see evidence.csv."
hse-obj-holbein-gisze,"Hans Holbein the Younger, Der Kaufmann Georg Gisze",documentary,1532,"Gemäldegalerie, Staatliche Museen zu Berlin",museum-digital smb object 61285,https://smb.museum-digital.de/object/61285,none,pending,cc_by_nc_sa,"Gemäldegalerie, Staatliche Museen zu Berlin",repository,reference_only,pending,p2,unverified,pending,"The museum record states Gisze went to the Stalhof in 1522 and Holbein painted him there in 1532 - the best portrait witness to the London Kontor. Blocked: the image is CC BY-NC-SA while only the metadata is CC BY. Kept as reference_only, since KAN-303 forbids a restricted image becoming a published witness. Clearing it needs permission from the Gemäldegalerie, which is correspondence rather than research."
hse-obj-bergen-bryggen,"Hieronymus Scholeus, View of Bergen",city_view,1590,"Nasjonalmuseet for kunst, arkitektur og design (The Architecture Collections)",NMK.2022.0090,https://www.nasjonalmuseet.no/en/collection/object/NMK.2022.0090,none,pending,rights_unknown,Nasjonalmuseet; photo Andreas Harvik,repository,section_witness,pending,p1,unverified,pending,"Verified against the Nasjonalmuseet record: hand-coloured copper engraving, 325x480 mm, purchased 2022. NOT rights-cleared: the record states 'Copyright: (c) Scholeus, Hieronymus' and asserts no open licence, despite a 1590 engraving. Treat as a live rights question for the museum rather than an oversight to assume away. No IIIF manifest and no digital resolution published."
hse-obj-novgorod-peterhof,Novgorod Peterhof witness,documentary,pending,pending,pending,pending,pending,pending,rights_unknown,pending,pending,section_witness,pending,p1,unverified,pending,Shortlisted by KAN-303 requirements. Documentary rather than cartographic; supports the Novgorod dossier in KAN-305.
hse-obj-bruges-kontor,"Bruges, from Civitates Orbis Terrarum vol. 1",city_view,1593,Universitätsbibliothek Heidelberg,braun1593bd1 p. 16a (canvas 0058),https://digi.ub.uni-heidelberg.de/diglit/braun1593bd1/0058,https://digi.ub.uni-heidelberg.de/diglit/iiif/braun1593bd1/manifest,4634x3793,public_domain,Universitätsbibliothek Heidelberg,repository,section_witness,pending,none,verified,2026-08-07,"Braun & Hogenberg, Civitates Orbis Terrarum vol. 1 (Köln, 1593), shelfmark A 330 A Folio RES::1-2, DOI 10.11588/diglit.12704, CC Public Domain Mark 1.0. Bird's-eye plan; the cartouche reads 'BRVGAE, FLANDRICARVM VRBIVM ORNAMENTA'. The plate was viewed. It witnesses the Kontor's urban setting; whether the Hanseatic house itself is identifiable on it has NOT been established and must not be assumed."
hse-obj-privilege-charter,Hanseatic privilege or charter,charter,pending,pending,pending,pending,pending,pending,rights_unknown,pending,pending,section_witness,pending,p1,unverified,pending,"Still unidentified. The one candidate surfaced this pass was Archiv der Hansestadt Lüneburg's transsumpt of King Sigismund's 1417 privilege (DDB NZVAG2O75AN5WTE6GB3KNTOICDX6AU3W), rejected on two counts: it is a Lüneburg salt-transport privilege rather than a Hanseatic trading grant, and it is licensed CC BY-NC-ND 4.0. Needs a targeted search of Lübeck's Urkunden, whose Hanse holdings are in the UNESCO Memory of the World register."
