trench_id,gate_id,status,jira_key,evidence,note
ccd-a,research,partial,KAN-338,public/embed/dacia/index.html,"Each stela carries maker, repository and survival; none carries a page or sheet locator."
ccd-a,rights,passed,KAN-318,public/embed/dacia/index.html,"All thirteen plates are authored SVG reconstructions; no third-party reproduction is used."
ccd-a,data,pending,KAN-338,,"Place and source evidence is inline in the exhibition and not yet corpus-backed."
ccd-a,interaction,partial,KAN-339,public/embed/dacia/index.html,"Sondaje cells carry editorial notes but resolve to no attestation record."
ccd-a,editorial,passed,KAN-27,src/content/essays/dacia.mdx,"Published essay; prose reviewed at its original release."
ccd-a,release,partial,KAN-27,e2e/dacia-axe.spec.ts,"In production with accessibility coverage, but released before this Definition of Done existed; re-passes when KAN-338 and KAN-339 close the data and interaction gates."
ccd-b,research,pending,KAN-348,,
ccd-b,rights,pending,KAN-348,,
ccd-b,data,pending,KAN-349,,
ccd-b,interaction,pending,KAN-350,,
ccd-b,editorial,pending,KAN-350,,
ccd-b,release,pending,KAN-350,,
ccd-c,research,pending,KAN-344,,
ccd-c,rights,pending,KAN-344,,
ccd-c,data,pending,KAN-345,,
ccd-c,interaction,pending,KAN-346,,
ccd-c,editorial,pending,KAN-347,,
ccd-c,release,pending,KAN-347,,
ccd-d,research,pending,KAN-354,,
ccd-d,rights,pending,KAN-354,,
ccd-d,data,pending,KAN-355,,
ccd-d,interaction,pending,KAN-356,,
ccd-d,editorial,pending,KAN-356,,
ccd-d,release,pending,KAN-356,,
ccd-e,research,pending,KAN-357,,
ccd-e,rights,pending,KAN-357,,
ccd-e,data,pending,KAN-358,,
ccd-e,interaction,pending,KAN-359,,
ccd-e,editorial,pending,KAN-359,,
ccd-e,release,pending,KAN-359,,
ccd-f,research,pending,KAN-367,,
ccd-f,rights,pending,KAN-367,,
ccd-f,data,pending,KAN-368,,
ccd-f,interaction,pending,KAN-369,,
ccd-f,editorial,pending,KAN-369,,
ccd-f,release,pending,KAN-369,,
ccd-g,research,pending,KAN-360,,
ccd-g,rights,pending,KAN-360,,
ccd-g,data,pending,KAN-361,,
ccd-g,interaction,pending,KAN-362,,
ccd-g,editorial,pending,KAN-362,,
ccd-g,release,pending,KAN-362,,
