ghost_id,act,display_name,historic_name,claimant,claim_date,original_evidence_class,what_was_reported,why_plausible,later_status,later_evidence,later_status_source_id,current_scholarly_status,geometry_provenance,geometry,confidence,review_state,source_id,source_locator,notes
ant-ghost-wilkes-segment,act_vi,Coast charted by Wilkes and later sailed through (segment to be identified),"Wilkes Land, as charted in 1840",Charles Wilkes,1840,direct_observation,Continuous southern coast observed and charted over an extended run of longitude.,"A long coast seen repeatedly over many days from a squadron of ships, in conditions where distant ice and distant land are hard to tell apart.",disproved,Later vessels sailed across positions charted as land.,ant-src-ross-voyage-1847,unresolved,not_spatial,,unresolved,raw,ant-src-wilkes-narrative-1844,Plate No. 70 (ant-obj-wilkes-antarctic-chart),"Deliberately carries no geometry. The plate is now identified and Termination Land is located on it at an approximate position (ant-obj-wilkes-antarctic-chart: roughly 94.5-96.7°E, 67.9-70.1°S, read from the plate’s own graticule rather than a formal georeference), which is why source_locator is no longer pending. geometry stays empty and geometry_provenance stays not_spatial regardless: a pixel-read position is not survey-grade enough to draw a line for a disproof we cannot locate precisely, and doing so would repeat the original error in our own voice. current_scholarly_status stays unresolved because much of Wilkes’s coast was correct."
ant-ghost-new-south-greenland,act_vi,New South Greenland,New South Greenland,Benjamin Morrell,1823,reported_not_observed,"An extensive coast reported in the Weddell Sea, running south from around 62 degrees south, described with landmarks and soundings.","Morrell was sailing in the same exceptional ice year that let Weddell reach an extraordinary latitude, in a sea that was demonstrably open that season and closed in most others. A coast reported from there in 1823 was not absurd on its face.",disproved,"Later voyages, including the Endurance drift across much of the same water, found open sea and pack where the coast was placed.",ant-src-shackleton-south-1919,disproved,not_spatial,,low,raw,ant-src-gurney-below-convergence,pending,"The programme's strongest ghost case after Wilkes, and the one that connects Act VI directly to Act VIII: Endurance drifted through the water Morrell had charted as land. Morrell's reliability is separately disputed in the literature, which is a question about the man and not about the feature, and the two are kept apart. No cause is attributed."
ant-ghost-parry-mountains,act_vi,The Parry Mountains,Parry Mountains,James Clark Ross,1841,direct_observation,A range reported to the south of the Ross Sea coast and named after Ross's former commander.,"Ross was an experienced observer working in clear polar air, where distance and elevation are notoriously hard to judge and where a far snowfield can read as a nearer range.",modified,Later parties working over the same ground did not find a range as charted.,ant-src-scott-voyage-discovery,unresolved,not_spatial,,low,raw,ant-src-ross-voyage-1847,pending,"Included because the claimant is the most reliable observer in the dataset. A ghost feature attributable to a careless witness teaches nothing; one attributable to Ross is the whole argument of Act VI. The plausibility note stops short of naming refraction as the cause, because no source is held for that."
ant-ghost-dougherty-island,act_vi,Dougherty Island,Dougherty Island,Daniel Dougherty,1841,reported_not_observed,"An island reported in the far South Pacific, with a described position, subsequently repeated on charts and searched for by later vessels.","A single reported position in an ocean nobody crossed often, in an era when a chart had no way to record that a feature rested on one unconfirmed report.",unresolved,Reported to have been searched for without result and eventually removed from charts. No authority for the removal is held here.,,unresolved,not_spatial,,low,raw,ant-src-ramsay-no-longer-on-the-map,pending,"A sub-Antarctic phantom rather than a continental one, kept because it is the clearest case of the pattern the reusable methodology is for: report, repetition, search, removal. Filed as unresolved rather than disproved: the removal is reported but no authority for it is held, and the validator refuses a disproof that cannot name what disproved it. Ramsay is a popular survey and the audit has already ruled that it may not carry an individual case."
ant-ghost-emerald-island,act_vi,Emerald Island,Emerald Island,"William Elliot, Emerald",1821,reported_not_observed,An island reported south of New Zealand and carried on charts for over a century.,"The southern ocean between Australasia and the ice was crossed rarely and charted from scattered reports, so a single sighting had little against it.",unresolved,Reported to have been searched for without result and eventually removed from charts. No authority for the removal is held here.,,unresolved,not_spatial,,low,raw,ant-src-ramsay-no-longer-on-the-map,pending,"The same pattern as Dougherty and worth holding beside it, because two independent phantoms in the same waters say something about the waters rather than about the observers. Filed as unresolved rather than disproved: the removal is reported but no authority for it is held, and the validator refuses a disproof that cannot name what disproved it."
ant-ghost-sevarambi,act_iii,The land of the Sevarambi,Sevarambi,Anonymous; the history printed at Paris by Claudio Barbin in 1677,1677,reported_not_observed,"A peopled part of the Terra Australe lying opposite Persia. Persian pilots bound for the East Indies were carried there by winds and sea storms and forced to land; word of the discovery reached Sevaris, high priest of the Sun, who went with armed ships to take possession, was made master of the country, and built a city he named Sevarinde with a temple to the Sun. The two peoples he found, the Prestarambi and the Strucarambi, were called Sevarambi after him. Coronelli takes the account from a history printed at Paris by Claudio Barbin in 1677.","A southern continent opposite Persia was ordinary geography in 1677, and the report arrived in the shape a true discovery took: a storm-driven landfall, a return to a known port, and a printed relation. Coronelli himself calls the things told of them close to dreamed and touching on the incredible, which is a judgement about the contents and not about the form.",disproved,"Coronelli rules the history suspect in 1691 and gives his grounds: no author's name is attached; the circumstances described are paradoxical; and the same history dates the discovery to 1427, so two and a half centuries would have passed without a word of it reaching European countries. He adds an anachronism, that a great priest of the Sun could not have ruled in Persia in that century, Persia having been under Islamic law since Mohammed's lifetime.",ant-src-coronelli-atlante-veneto,unresolved,not_spatial,,medium,raw,ant-src-coronelli-atlante-veneto,"Atlante Veneto Tomo I, 'Terre Polari, Artiche, ed Antartiche', printed page 76 (Rumsey 12186.107)","The first of the two invented countries Coronelli recounts at length before rejecting them, and the fullest rejection on the page: he argues from the missing author, the internal implausibility, the silence of two and a half centuries and a dated anachronism. It is a working method of source criticism applied to a southern land, which is what makes it Act III material rather than Act VI, and the direct ancestor of this table. later_status is 'disproved' with ant-src-coronelli-atlante-veneto named as the source of the disproof, which records that the verdict is Coronelli's in 1691 and not ours. current_scholarly_status stays 'unresolved' because this dataset holds no modern authority on the feature, and inheriting a seventeenth-century judgement as a present-day one is the error the two fields exist to keep apart. Confidence raised from low to medium 2026-08-27, when the remaining four leaves were read: all seven printed pages of the essay have now been examined, and the southern discourse proves to run only from mid-p. 75 to p. 76, so this verdict rests on an argument read in full rather than on three pages of seven. It stays below high because the record remains a single seventeenth-century witness and no modern authority on the feature has been consulted."
ant-ghost-isola-di-pines,act_iii,The Isle of Pines,Isola di Pines,Not named by Coronelli; a narrative attributed to the descendants of Giorgio Pines and printed at Roano in 1668,1589,reported_not_observed,"An island to the south of Africa. In Coronelli's telling some Englishmen sent four vessels in 1589, in the reign of Queen Elizabeth, to establish the East India trade; one was wrecked on the unknown coasts of the south and none survived but a young man named Giorgio Pines and four women, one of them a Moor. A Flemish ship thrown to the island by bad weather in 1667 found the five multiplied to ten or twelve thousand, speaking English, holding a written descent left by Pines at his death aged eighty; a descendant gave it to the Fleming to keep the memory, and it was printed at Roano in 1668.","The southern coasts were genuinely unknown and ships genuinely disappeared on the East India run, so the premise cost nothing to believe. The account also came with the apparatus of proof: a dated wreck, a named survivor, a second independent ship, a document, and a printing.",disproved,"Coronelli opens the paragraph with the verdict rather than closing on it: 'per favolosa pure viene tenuta la scoperta dell'Isola di Pines'. He then recounts the story he has already rejected, and gives no separate reason for this one beyond setting it beside the Sevarambi.",ant-src-coronelli-atlante-veneto,unresolved,not_spatial,,medium,raw,ant-src-coronelli-atlante-veneto,"Atlante Veneto Tomo I, 'Terre Polari, Artiche, ed Antartiche', printed page 76 (Rumsey 12186.107)","Worth holding beside ant-ghost-sevarambi for the difference in method: there Coronelli argues the case, here he states the verdict first and narrates afterwards. The reason has to be read off the pairing, which the next paragraph makes explicit by calling the two of them the invented countries. Coronelli does not name the author, and neither does this row: attaching the attribution the modern literature makes would be our reading imported into his. later_status is 'disproved' with ant-src-coronelli-atlante-veneto named as the source of the disproof, which records that the verdict is Coronelli's in 1691 and not ours. current_scholarly_status stays 'unresolved' because this dataset holds no modern authority on the feature, and inheriting a seventeenth-century judgement as a present-day one is the error the two fields exist to keep apart. Confidence raised from low to medium 2026-08-27, when the remaining four leaves were read: all seven printed pages of the essay have now been examined, and the southern discourse proves to run only from mid-p. 75 to p. 76, so this verdict rests on an argument read in full rather than on three pages of seven. It stays below high because the record remains a single seventeenth-century witness and no modern authority on the feature has been consulted."
ant-ghost-frisquemore,act_iii,Frisquemore,Frisquemore,"Lozieres and Courtais, French captains of Saint Malo",1650,reported_not_observed,"A country said to have been discovered in 1650 by two French captains of Saint Malo, Lozieres and Courtais, who placed it on the confines of Lapland and of the Samoyeds and divided it into twelve provinces: Frisquemorenna, Sainctyonide, Taupierie, Tillitie, Brossieride, Pichotelanne, Clauzellique, Gadrettona, Sovillacia, Godefrira, Touronnide and Fresnence. The relation was printed at Paris in 1662.","Two named captains from a real port, a date, twelve named provinces and a printed relation are the furniture of a true account. The ground it claimed was the far north, where nobody in Paris was in a position to check it.",disproved,"Coronelli names it in 1691 as one of the countries 'capricciosamente inventati da Ingegni otiosi', capriciously invented by idle wits, and says it was dreamed up. The twelve province names are given as evidence of the invention rather than of the country.",ant-src-coronelli-atlante-veneto,unresolved,not_spatial,,medium,raw,ant-src-coronelli-atlante-veneto,"Atlante Veneto Tomo I, 'Terre Polari, Artiche, ed Antartiche', printed page 76 (Rumsey 12186.107)","Not a southern land. Coronelli places Frisquemore on the confines of Lapland and the Samoyeds, which makes it an Arctic fiction, and the row is held in an Antarctic table only because the record is his act of judgement in the polar essay rather than the feature's geography. It sits in the same sentence as the Sevarambi and the Isle of Pines, where he generalises from the two southern cases to invention as a class, and splitting his list by hemisphere would break the judgement that is the thing being recorded. The row must not be read as an Antarctic phantom. later_status is 'disproved' with ant-src-coronelli-atlante-veneto named as the source of the disproof, which records that the verdict is Coronelli's in 1691 and not ours. current_scholarly_status stays 'unresolved' because this dataset holds no modern authority on the feature, and inheriting a seventeenth-century judgement as a present-day one is the error the two fields exist to keep apart. Confidence raised from low to medium 2026-08-27, when the remaining four leaves were read: all seven printed pages of the essay have now been examined, and the southern discourse proves to run only from mid-p. 75 to p. 76, so this verdict rests on an argument read in full rather than on three pages of seven. It stays below high because the record remains a single seventeenth-century witness and no modern authority on the feature has been consulted."
ant-ghost-terra-di-vista,act_iii,Terra di Vista,Terra di Vista,"Not named by Coronelli, who attributes it to 'qualche Carta Geografica'",,inherited_cartography,"A coast of the Terra Australe described on some geographical charts to the south of the Cape of Good Hope, from which a cape runs out at 42 degrees of southern latitude. The cape is given the name Terra di Vista, and the Terra de' Papagalli is placed next to it. Coronelli reports no voyage, no discoverer and no date for it.","It was on the charts, which in 1691 was a form of authority in itself, and it stood in the stretch of the southern ocean where a continental coast was expected rather than merely possible. A latitude is attached to it, which is what a real observation would have left behind.",disproved,"Coronelli states no verdict on this name in the sentence that introduces it. The paragraph that follows opens 'Queste Favole si possono aggiungere', these fables may be added to those of the City of Tartar and the rest, which sweeps the cape and the Terra de' Papagalli into the fables retrospectively.",ant-src-coronelli-atlante-veneto,unresolved,not_spatial,,medium,raw,ant-src-coronelli-atlante-veneto,"Atlante Veneto Tomo I, 'Terre Polari, Artiche, ed Antartiche', printed page 76 (Rumsey 12186.107)","The weakest reading on the page, and marked as such rather than levelled up to match its neighbours. The verdict reaches this name by the following paragraph's pickup of 'Queste Favole' and not by a sentence of its own, so 'disproved' rests on Coronelli's sentence order. It is also the only feature here he places by latitude, 42 degrees south, which is exactly why it carries no geometry: drawing a cape for a rejected coast from one figure and no longitude would repeat the original error in our own voice. later_status is 'disproved' with ant-src-coronelli-atlante-veneto named as the source of the disproof, which records that the verdict is Coronelli's in 1691 and not ours. current_scholarly_status stays 'unresolved' because this dataset holds no modern authority on the feature, and inheriting a seventeenth-century judgement as a present-day one is the error the two fields exist to keep apart. Confidence raised from low to medium 2026-08-27, when the remaining four leaves were read: all seven printed pages of the essay have now been examined, and the southern discourse proves to run only from mid-p. 75 to p. 76, so this verdict rests on an argument read in full rather than on three pages of seven. It stays below high because the record remains a single seventeenth-century witness and no modern authority on the feature has been consulted."
ant-ghost-terra-de-papagalli,act_iii,Terra de' Papagalli,Terra de' Papagalli,Not named by Coronelli; the landfall is reported of the Frenchman Gonneville,1504,inherited_cartography,"A land placed on the charts next to the Terra di Vista, south of the Cape of Good Hope. Some report, Coronelli writes, that a Frenchman called Gonneville arrived there in 1504 and was received by a petty king named Arosca, and that after several months he took home to Normandy some people of that country, among them Essomerice Meriu, the son of one of those kings.","Alone in this list the story has a named traveller, a named host and named people carried back to Normandy, where they could in principle have been met. That is the strongest form a report of an unvisited land can take, and it is the form a chart has no way to distinguish from a true one.",disproved,"As with the Terra di Vista, Coronelli gives no verdict in the sentence itself. The next paragraph opens 'Queste Favole si possono aggiungere' and takes both names into the fables with the City of Tartar, Manoa del Dorado and the rest.",ant-src-coronelli-atlante-veneto,unresolved,not_spatial,,medium,raw,ant-src-coronelli-atlante-veneto,"Atlante Veneto Tomo I, 'Terre Polari, Artiche, ed Antartiche', printed page 76 (Rumsey 12186.107)","Coronelli reports the Gonneville landfall with 'alcuni riportano', some report, and does not adopt it; the row keeps that distance and does not turn the 1504 voyage into an attested one. Like ant-ghost-terra-di-vista the verdict arrives by the next paragraph's pickup rather than by a statement of its own. Nothing here is a judgement on the modern Gonneville question, which this dataset holds no source for. later_status is 'disproved' with ant-src-coronelli-atlante-veneto named as the source of the disproof, which records that the verdict is Coronelli's in 1691 and not ours. current_scholarly_status stays 'unresolved' because this dataset holds no modern authority on the feature, and inheriting a seventeenth-century judgement as a present-day one is the error the two fields exist to keep apart. Confidence raised from low to medium 2026-08-27, when the remaining four leaves were read: all seven printed pages of the essay have now been examined, and the southern discourse proves to run only from mid-p. 75 to p. 76, so this verdict rests on an argument read in full rather than on three pages of seven. It stays below high because the record remains a single seventeenth-century witness and no modern authority on the feature has been consulted."
