sheet_id,sheet_label,archive_sheet_id,survey,survey_from,survey_to,scale,west,south,east,north,footprint_provenance,confidence,covers_place_ids,citation,repository,source_url,rights_status,scan_redistributed,review_status,notes
js-c02-s02,C02-S02,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,22.50,45.45,22.80,45.60,editorial_reconstruction,low,plc-ulpia-traiana-sarmizegetusa,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,Hațeg country and the colonia's ruins at Grădiște.
js-c02-s05,C02-S05,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,22.50,45.90,22.80,46.05,editorial_reconstruction,low,plc-micia,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,"The Mureș at Vețel, where the Roman customs station stood."
js-c03-s04,C03-S04,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,22.80,45.75,23.10,45.90,editorial_reconstruction,low,plc-hunedoara,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,The Cerna valley and the Hunyadi castle.
js-c03-s11,C03-S11,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,22.80,46.80,23.10,46.95,editorial_reconstruction,low,plc-bologa,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,The Criș approach and the fort at Bologa.
js-c04-s03,C04-S03,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,23.10,45.60,23.40,45.75,editorial_reconstruction,low,plc-sarmizegetusa-regia,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,The Orăștie Mountains and the Dacian royal seat.
js-c04-s06,C04-S06,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,23.10,46.05,23.40,46.20,editorial_reconstruction,low,plc-ampelum,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,The gold-mining district around Zlatna.
js-c04-s13,C04-S13,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,23.10,47.10,23.40,47.25,editorial_reconstruction,low,plc-porolissum,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,The Meseș ridge and the northern frontier command.
js-c05-s06,C05-S06,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,23.40,46.05,23.70,46.20,editorial_reconstruction,low,plc-apulum,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,Karlsburg and the Mureș confluence.
js-c05-s10,C05-S10,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,23.40,46.65,23.70,46.80,editorial_reconstruction,low,plc-napoca,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,Klausenburg and the Someșul Mic.
js-c06-s09,C06-S09,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,23.70,46.50,24.00,46.65,editorial_reconstruction,low,plc-potaissa,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,Thorenburg and the Arieș.
js-c07-s04,C07-S04,pending,Josephinische Landesaufnahme (Siebenbürgen),1769,1773,1:28800,24.00,45.75,24.30,45.90,editorial_reconstruction,low,plc-sibiu,"Josephinische Landesaufnahme, Siebenbürgen, 1769-1773, 1:28,800","Österreichisches Staatsarchiv, Kriegsarchiv, Vienna",https://mapire.eu/en/map/firstsurvey-transylvania/,in_copyright,no,candidate,Hermannstadt and the Cibin basin.
