territory,name,status,start_date,end_date,source_keys,notes
crete,Regno di Candia,direct_rule,1211-01-01,1669-09-27,LANE1973:p43;LANE1973:p409-410;OCONNELL2009:p19;OCONNELL2009:p162;OCONNELL2009:p172,Generalized territorial extent clipped to Natural Earth land. Start 1211 per the O'Connell appendix and the 1211 Concessio Insulae Cretensis (p172 n14); anchors date the surrender of Candia at year level 1669 and the day-level end is retained.
corfu,Corfu,protectorate,1386-01-01,1387-01-01,LANE1973:p198;OCONNELL2009:p22-23;OCONNELL2009:p162,Initial protection phase before direct rule; boundary-year touch is intentional. Both anchors model a single 1386-1797 phase; the split is editorial per decision D10.
corfu,Corfu,direct_rule,1387-01-01,1797-05-12,LANE1973:p198;LANE1973:p436;OCONNELL2009:p38;OCONNELL2009:p162,Generalized territorial extent clipped to Natural Earth land. End day verified - the Great Council voted itself out of existence on May 12 1797 (Lane p436).
dalmatia,Venetian Dalmatia,contested,1409-07-09,1420-01-01,OCONNELL2009:p28;OCONNELL2009:p30;LANE1973:p43,Consolidation phase after the purchase of Dalmatian rights; municipal autonomy retained per decision D10. Start day verified - the treaty with Ladislas was signed in San Silvestro on July 9 1409 (O'Connell p28).
dalmatia,Venetian Dalmatia,direct_rule,1420-01-01,1797-05-12,OCONNELL2009:p30;OCONNELL2009:p162-164;LANE1973:p436,Generalized coastal extent; rule status does not erase commune autonomy per decision D10. Spalato and Trau confirmed July 1420 with Curzola September and Brazza October; Lesina followed March 1421 (O'Connell p30).
negroponte,Negroponte,condominium,1211-01-01,1390-01-01,OCONNELL2009:p19;OCONNELL2009:p25;OCONNELL2009:p164;LANE1973:p43,Venetian jurisdiction within the divided feudal island; tripartite simplification documented in decision D10. Start corrected from 1209 to 1211 - the bailo was elected regularly from 1211 (O'Connell p164 n r); the 1209 terzieri-treaty date is outside the anchor sources.
negroponte,Negroponte,direct_rule,1390-01-01,1470-07-12,OCONNELL2009:p25;OCONNELL2009:p35;OCONNELL2009:p163;LANE1973:p236,Full-sovereignty phase ending with the Ottoman conquest. Island in Ottoman hands by July 1470 (O'Connell p35); renounced by the treaty of January 25 1479 (Lane p236).
morea,Venetian Morea,direct_rule,1206-01-01,1500-08-15,OCONNELL2009:p19;OCONNELL2009:p162-163;LANE1973:p43;LANE1973:p242,Three disjoint fortress envelopes cover Modon Coron and Nauplia/Argos; not continuous peninsular rule per D10. Start corrected from 1207 to 1206 - the fleet took possession of Modon and Coron in 1206 (O'Connell p19); Lane dates the award to the 1204 partition (p242).
morea,Kingdom of the Morea,direct_rule,1685-08-11,1715-09-07,LANE1973:p410-411,De-facto conquest-to-loss window; distinct from treaty recognition 1699–1718 per decision D10. Anchors are year-level - Morosini's conquest ran 1684-1688 and the Ottoman reconquest opened in 1714 (Lane pp410-411); O'Connell does not cover this phase.
cyprus,Kingdom of Cyprus,direct_rule,1489-02-26,1571-08-01,OCONNELL2009:p37;OCONNELL2009:p38;OCONNELL2009:p163-164;LANE1973:p236;LANE1973:p370-372,Venetian kingdom phase. Standard of San Marco raised February 1489 with formal submission June 20 (O'Connell p37); Famagusta fell before Lepanto was fought on October 7 1571 (Lane p372); O'Connell's narrative dates the Ottoman taking 1570 (p38) - variant recorded in the ledger.
albania_veneta,Albania Veneta,direct_rule,1392-01-01,1571-08-01,OCONNELL2009:p22-23;OCONNELL2009:p162-163;LANE1973:p198;LANE1973:p236,Generalized coastal holdings around the southern Adriatic. Durazzo inherited 1392 and Dulcigno held to 1571 per the O'Connell appendix; Scutari was already surrendered by the January 25 1479 treaty (Lane p236) - envelope per decision D10.
