edge_id,from_name_use,to_name_use,edge_kind,evidence_attestation_id,evidence_note,confidence,review_state,normalization_method,reviewer,review_date,note
nue-dacia-antiquarian-reception,nmu-dacia-antiquarian,nmu-dacia-reception,homonym_only,,Reception extents are not the antiquarian reconstruction and are not claimed to continue it.,medium,raw,llm_assisted,,,Kept as an explicit non-relationship so the reception material cannot inherit the authority of the scholarship it borrows from.
nue-dacia-aureliana-diocese,nmu-dacia-aureliana,nmu-dacia-diocese,derivation,,The diocese is the administrative container of the Danubian provinces that carry the name.,medium,normalized,llm_assisted,,,One Dacia contains the other. Recorded so a reader meeting both in the same register does not have to guess which is which.
nue-dacia-coin-scandinavia,nmu-dacia-coin-legend,nmu-dacia-scandinavia,homonym_only,,A Roman mint and a medieval Latin usage for Denmark share a string and nothing else.,high,normalized,llm_assisted,,,"Adjudicated explicitly, like every other pair across the Danube/Baltic divide, so that no reader has to decide for themselves whether the coin is evidence about Denmark."
nue-dacia-danube-north-south,nmu-dacia-province,nmu-dacia-aureliana,derivation,,The later province is named after the abandoned one by the same administration.,low,raw,llm_assisted,,,Derivation of the name only. This edge asserts nothing about the movement of people.
nue-dacia-diocese-scandinavia,nmu-dacia-diocese,nmu-dacia-scandinavia,homonym_only,,The civil diocese and the Danish usage are unrelated referents sharing a string.,high,normalized,llm_assisted,,,Recorded for the same reason as the others: the Latin word is the only thing the two have in common.
nue-dacia-province-antiquarian,nmu-dacia-province,nmu-dacia-antiquarian,revival,,Ortelius restores the ancient province from the authors in the Parergon of 1595.,medium,raw,llm_assisted,,,"A deliberate reach back across the gap, not an unbroken inheritance."
nue-dacia-province-coin,nmu-dacia-province,nmu-dacia-coin-legend,derivation,,The mint strikes the name of the province the same administration had just made.,high,normalized,llm_assisted,,,"The same referent named by two arms of one state. It is not continuity, because no attestation has been cited to carry the claim."
nue-dacia-province-diocese,nmu-dacia-province,nmu-dacia-diocese,derivation,,The diocese south of the Danube is named from the province north of it by the same administration.,medium,normalized,llm_assisted,,,"Derivation, not continuity: the ground is different ground, and the register that attests the diocese says nothing about the province it was named after."
nue-dacia-province-scandinavia,nmu-dacia-province,nmu-dacia-scandinavia,homonym_only,,Two unrelated referents share a string; no relationship is claimed.,high,raw,llm_assisted,,,"The load-bearing edge of the trench: lexical identity here is a coincidence of transmission, and the corpus says so explicitly rather than leaving the reader to infer continuity from the word."
nue-dacia-scandinavia-church,nmu-dacia-scandinavia,nmu-dacia-ecclesiastical,derivation,,The church province takes its name from the geographic usage already current.,low,raw,llm_assisted,,,Both ends still need source review.
nue-napoca-roman-restored,nmu-napoca-roman,nmu-napoca-restored,revival,,"Re-attached by decree in 1974 after eighteen centuries of Klausenburg, Kolozsvar and Cluj.",high,raw,llm_assisted,,,"The instrument is administrative, not linguistic: the name did not survive, it was reinstated."
