claim_id,act,anchor,claim_family,proposition,claim_type,risk,primary_source_ids,secondary_source_ids,locator,review_status,confidence,map_object_ids,gis_dependency,disagreement_note,reviewer,review_date
ant-clm-southern-continent-inherited,act_i,necessitas-inheritance,terra_australis_theory,A southern continent appears on European world maps for centuries before any part of Antarctica was observed.,fact,standard,,ant-src-hiatt-terra-incognita|ant-src-eisler-furthest-shore,pending,unreviewed,high,ant-obj-fine-1531|ant-obj-ortelius-typus-1570,ant-ftr-terra-australis-conjectured,Uncontroversial as stated. It becomes contestable the moment it is phrased as a claim about what the drawn coast was meant to represent.,,
ant-clm-balance-theory-belief,act_i,necessitas-balance,terra_australis_theory,Early modern cartographers drew a southern landmass because they believed the globe required a southern counterweight.,interpretation,high,,ant-src-stallard-antipodes|ant-src-hiatt-terra-incognita,pending,unreviewed,contested,ant-obj-fine-1531,ant-ftr-terra-australis-conjectured,"Flagged high risk by the specification. Balance reasoning is attested in the literature, but attributing it as the motive of an individual cartographer is a separate and weaker claim. The essay should say what the argument was, not what a named person believed, unless a source says so.",,
ant-clm-coastline-confidence,act_ii,avctoritas-confidence,source_inheritance,A finely engraved coastline conveys a confidence that its evidentiary basis does not support.,interpretation,standard,,ant-src-hoc-vol3|ant-src-brotton-trading-territories,pending,unreviewed,medium,ant-obj-ortelius-typus-1570,,"This is the essay's own reading and should be presented as such. The engraving conventions of the period did not encode uncertainty, which is a fact; that readers were misled by them is an inference.",,
ant-clm-plate-inheritance,act_ii,avctoritas-copying,source_inheritance,"Southern coastlines were copied between publishers rather than independently derived, so agreement between maps is not independent corroboration.",fact,standard,,ant-src-hoc-vol3,pending,unreviewed,medium,ant-obj-ortelius-typus-1570|ant-obj-blaeu-world,,"Needs a demonstrated case rather than a general statement. Until a specific inheritance is traced between two named plates, this is a claim about the period and not about these objects.",,
ant-clm-coronelli-depiction,act_iii,orbis-depiction,coronelli,"Coronelli cut two Arctic plates and no southern one not because he had nothing to say about the far south, but because he had just argued in the accompanying text that most of what was claimed there was invented. The blank is a judgement, not a gap in attention.",interpretation,high,ant-src-coronelli-atlante-veneto,ant-src-coronelli-epitome-1693|ant-src-milanesi-coronelli,"Rumsey 12186.101 (plate) with the essay at printed pp. 70-76, especially p. 76",source_checked,medium,ant-obj-coronelli-terre-artiche|ant-obj-coronelli-polo-artiche|ant-obj-coronelli-globe-1688,ant-ftr-coronelli-southern-region,"Revised 2026-08-25 after reading the text; the previous formulation, that the south was what Coronelli did not attend to, was wrong and is withdrawn. Held at medium on three counts: three of the seven leaves are still unread (ant-gap-atlante-polar-leaves); whether a southern polar plate exists elsewhere in the thirteen volumes is open (ant-gap-atlante-plates); and the inference from 'he called these lands fables' to 'therefore he cut no plate' is ours, not his. Milanesi is the control on that last step.",,
ant-clm-coronelli-belief,act_iii,orbis-method,coronelli,Coronelli distinguished inherited from reported information in his polar geography.,interpretation,high,ant-src-coronelli-atlante-veneto|ant-src-coronelli-epitome-1693,ant-src-coronelli-epitome-1693|ant-src-milanesi-coronelli,Atlante Veneto printed pp. 70 and 76; Epitome Cosmografica p. 266,source_checked,medium,ant-obj-coronelli-terre-artiche,,"Supported as of 2026-08-25, where it previously had no support at all. Coronelli distinguishes inherited from reported material explicitly and in his own voice: he questions whether the four polar islands were drawn from life or invented and names Mercator among those who drew them; he lists the southern lands he holds fabricated and gives his reason, that nobody could find them again; and he closes with a source list. Held at medium rather than high because three leaves are unread and because Milanesi, the control on reading a commercial plate as a method, is still unconsulted.",,
ant-clm-cook-circumnavigation,act_iv,vacvvm-tracks,cook_absence,Cook's second voyage crossed the Antarctic Circle and circumnavigated the high southern latitudes without sighting the continent.,fact,standard,ant-src-cook-voyage-1777|ant-src-beaglehole-journals-ii|ant-src-rmg-cook-chart-1777,,pending,unreviewed,high,ant-obj-cook-southern-hemisphere-1777,ant-trk-cook-resolution,Secure as a general statement. Specific dates and southernmost latitudes must come from Beaglehole rather than from the essay's own recollection.,,
ant-clm-cook-blank,act_iv,vacvvm-blank,cook_absence,Cook's tracks converted an imagined continent into a bounded blank: absence became a positive geographical result.,interpretation,high,ant-src-cook-voyage-1777,ant-src-eisler-furthest-shore,pending,unreviewed,medium,ant-obj-cook-southern-hemisphere-1777,ant-trk-cook-resolution,"The essay's central argument and therefore the claim most in need of a source. It must not slide into saying Cook disproved Antarctica: he made the temperate accessible Terra Australis untenable, which is a different proposition.",,
ant-clm-first-sighting,act_v,limen-priority,discovery_priority,The first sighting of the Antarctic mainland cannot be assigned to a single expedition without first fixing what counts as a sighting.,historiographical_dispute,high,ant-src-debenham-bellingshausen,ant-src-bulkeley-bellingshausen|ant-src-gurney-below-convergence,pending,unreviewed,contested,ant-obj-bellingshausen-atlas,ant-obs-1820-sighting,"Bellingshausen, Bransfield and Palmer are each advanced as first, and the disagreement is largely definitional: ice shelf against rock, sighting against landing, mainland against island. The essay must present the definitions before any name. The map_object reference here is deliberately unresolved pending ant-gap-bellingshausen-charts. Dependence on Debenham declared (ant-gap-bellingshausen-translation): every English-language reading of Bellingshausen's 1820 sighting in this essay comes through Debenham's 1945 Hakluyt Society translation, not the Russian original, and the wording this claim weighs is his rather than a direct reading of the log.",,
ant-clm-sealers-unrecorded,act_v,limen-sealers,discovery_priority,"Commercial sealing voyages may have sighted southern land earlier than the recorded expeditions, but kept no public record.",interpretation,high,,ant-src-gurney-below-convergence,pending,unreviewed,low,,,"An argument from silence, and the essay's own Dacia work is about how dangerous those are. State it as a possibility that the record cannot settle, or leave it out.",,
