Issue Type,Issue Key,Epic Link,Summary,Description,Story Points,Priority,Labels,Milestone
Epic,ATLAS-E1,,Foundations,Stand up the project skeleton tooling and shared design/content primitives.,,Highest,foundations,M1
Story,ATLAS-101,ATLAS-E1,Scaffold Astro + TS + Tailwind app,"AC: static build succeeds; TS strict on; @astrojs/tailwind + @astrojs/mdx wired; View Transitions enabled; / renders placeholder; repo initialized.",5,Highest,scaffold;astro,M1
Story,ATLAS-102,ATLAS-E1,Tooling & CI pipeline,"AC: ESLint+Prettier enforced; Vitest + Playwright run in CI; PR checks green; Lighthouse CI + axe wired with budgets.",5,High,tooling;ci,M1
Story,ATLAS-103,ATLAS-E1,Unified design tokens & style guide,"AC: src/styles/tokens.css holds palette/type/motion tokens; /colophon renders them; fonts self-hosted/optimized.",5,High,design-system;tokens,M1
Story,ATLAS-104,ATLAS-E1,Content model & essay registry,"AC: Essay type defined; Astro content collection with Zod schema in src/content/config.ts; lib/registry.ts returns typed list (legacy + new).",3,High,content-model,M1
Task,ATLAS-105,ATLAS-E1,Import the four source repos into the project,"AC: each legacy index.html + assets preserved verbatim under public/embed/<slug>/; licenses/attribution captured.",2,High,legacy;import,M1
Epic,ATLAS-E2,,Portal Shell & Atlas Landing,The unified front door and consistent chrome that makes everything one publication.,,Highest,portal-shell,M1
Story,ATLAS-201,ATLAS-E2,Global shell: Header Footer Nav,"AC: persistent header (logotype atlas link menu); footer (about/colophon/credits); responsive; keyboard-navigable.",5,Highest,shell;nav,M1
Story,ATLAS-202,ATLAS-E2,Atlas landing page,"AC: cinematic hero; featured essays; entry points to gallery/atlas/about; responsive; passes Lighthouse >=90.",8,Highest,landing,M1
Story,ATLAS-203,ATLAS-E2,Essay gallery / index with facets,"AC: cards from registry; filter by era/region/lens; sort; empty/loading states; deep-linkable filter URLs.",8,High,gallery;facets,M1
Story,ATLAS-204,ATLAS-E2,About + Colophon + Credits pages,"AC: project statement; methodology; typography/color credits; per-essay attribution.",3,Medium,content-pages,M1
