source_id,act,claim_family,source_kind,short_title,title,creator,date_label,year,publication_context,repository,repository_url,persistent_id,edition_state,locator,rights_status,rights_basis_url,verification_state,review_status,role_in_essay,notes,reviewer,review_date
ant-src-hiatt-terra-incognita,act_i,terra_australis_theory,scholarly_monograph,"Hiatt, Terra Incognita",Terra Incognita: Mapping the Antipodes before 1600,Alfred Hiatt,2008,2008,British Library / University of Chicago Press,,https://press.uchicago.edu/,,First edition,pending,in_copyright,https://press.uchicago.edu/,unverified,candidate,Establishes that the antipodal south is an argument before it is a coastline.,The anchor for Act I's claim that the southern continent is inherited reasoning rather than report. Not yet read against the page for the specific propositions the act will make.,,
ant-src-stallard-antipodes,act_i,terra_australis_theory,scholarly_monograph,"Stallard, Antipodes",Antipodes: In Search of the Southern Continent,Avan Judd Stallard,2016,2016,Monash University Publishing,,https://publishing.monash.edu/,,First edition,pending,in_copyright,https://publishing.monash.edu/,unverified,candidate,"The historiography of the southern continent as an idea, including its persistence after contrary evidence.",Directly useful for the high-risk claim about what early modern cartographers can be said to have believed.,,
ant-src-eisler-furthest-shore,act_i,terra_australis_theory,scholarly_monograph,"Eisler, The Furthest Shore",The Furthest Shore: Images of Terra Australis from the Middle Ages to Captain Cook,William Eisler,1995,1995,Cambridge University Press,,https://www.cambridge.org/,,First edition,pending,in_copyright,https://www.cambridge.org/,unverified,candidate,Bridges Act I to Act IV: the same imagined shore from cosmography through to Cook.,"Covers the whole arc the essay's first half needs, which makes it the source most worth reading first.",,
ant-src-hoc-vol3,act_ii,source_inheritance,reference_work,History of Cartography III,"The History of Cartography, Volume 3: Cartography in the European Renaissance",David Woodward (ed.),2007,2007,University of Chicago Press,,https://www.press.uchicago.edu/books/HOC/index.html,,"Volume 3, two parts",pending,no_known_restrictions,https://www.press.uchicago.edu/books/HOC/index.html,unverified,candidate,"The authority on copying, plate reuse and the mechanics by which a coastline is inherited.",Open access via the publisher's HOC pages. The chapters relevant to Act II have not yet been identified by number.,,
ant-src-brotton-trading-territories,act_ii,source_inheritance,scholarly_monograph,"Brotton, Trading Territories",Trading Territories: Mapping the Early Modern World,Jerry Brotton,1997,1997,Reaktion Books,,https://www.reaktionbooks.co.uk/,,First edition,pending,in_copyright,https://www.reaktionbooks.co.uk/,unverified,candidate,Why a printed coastline carries commercial and political authority independent of its evidence.,Supporting rather than load-bearing; drop it if Act II can be argued from HOC III alone.,,
ant-src-coronelli-epitome-1693,act_iii,coronelli,printed_text,"Coronelli, Epitome Cosmografica","Epitome cosmografica, o compendiosa introduttione all'astronomia, geografia, & idrografia",Vincenzo Maria Coronelli,1693,1693,"Cologne [i.e. Venice], at the request of Andrea Poletti",Internet Archive (digitised copy),https://archive.org/,https://archive.org/details/epitomecosmograf00coro_0,"1693; Internet Archive copy epitomecosmograf00coro_0, 616 images","Libro Secondo, Cap. IX 'Delle Terre Polari', pp. 265-266",public_domain_text,https://archive.org/details/epitomecosmograf00coro_0,verified,source_checked,"The textual half of Act III, including the section on the polar lands.","Chapter read on the page images 2026-08-25. The Epitome carries its own short polar chapter, distinct from the much longer Atlante Veneto essay: two pages covering both poles, opening 'Delle Terre Artiche, ed Antartiche poco si puo dire, perche poco fin hora e giunto alla cognitione del Mondo'. It reports Magellan 1520, Le Maire 1616, Brouwer 1643, New Zealand 1654, Nuits 1627 and Nuova Olanda 1644 in the south, dismisses the Terra de' Papagalli as 'creduta favolosa', and gives the Arctic a single paragraph ending in a Dutch claim to have passed below the 82nd degree. The book's own index confirms the pages (Terre Artiche 265, Antartiche 265).",,
ant-src-coronelli-atlante-veneto,act_iii,coronelli,printed_text,"Coronelli, Atlante Veneto",Atlante Veneto,Vincenzo Maria Coronelli,1690-1701,1690,"Venice; thirteen folio volumes, conceived as a continuation of the Blaeu Atlas Maior. Tomo I (1691) carries the polar section.",,https://www.davidrumsey.com/,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~303153~90060721,"Tomo I, David Rumsey copy, publication 12186","Rumsey 12186.100 to .107, printed pp. 70-76, section 'Terre Polari, Artiche, ed Antartiche'; plates 12186.101 'Terre Artiche' and 12186.104 'Polo Artiche'; section closes at 12186.108 'Idrografia'",public_domain_text,https://www.davidrumsey.com/,verified,source_checked,The cartographic half of Act III and the publication context of the polar plates.,"Catalogue sequence read item by item, and all seven leaves of the polar essay have now been examined on the page images: 12186.100, .105 and .107 (printed pp. 70, 73 and 76) on 2026-08-25, and 12186.102, .103 and .106 (printed pp. 71, 72 and 74-75) on 2026-08-27 from high-resolution captures supplied by Vlad Simion, each leaf checked against the folio printed on it. A seven-page cosmographic essay in two columns with marginal headings, entirely distinct from the two-page Epitome chapter. The section is northern for five and a half of its seven pages: pp. 71-72 and 74 carry Greenland, the Norse settlements and the Danish crown's recovery attempts, then Nova Zembla, Statem Eyland, the Isola Mauritio and the Terra di Iesso, and name Snorro Storlefonio and Angrimo Giona as the authorities for the Greenland history. The southern discourse begins mid-column on p. 75 under the display heading 'TERRE AUSTRALI, OUERO ANTARTICHE' and runs to the end of the section on p. 76, p. 75 closing on the catchword 'e 60'. It opens by dividing the south in two: Nuova Guinea, Nuova Olanda, Terra di Diemens, Nuova Zelanda, Terra dello Spirito Santo and the Carpentaria are the parts of which some notice has arrived, while those that 'restano affatto incognite' are the Terre Magellaniche, 'che congetturalmente vengono disegnate d'intorno al Circolo Polare Antartico', and the Terra del Fuoco. The southern argument is therefore a page and a half long, and the verdicts on p. 76 do not rest on unread reasoning. Both poles are treated at length; only the plates are asymmetric. Rumsey's record is internally inconsistent about the date, Pub Title reading MDCXCI against a Pub Date of 1693.",,
ant-src-milanesi-coronelli,act_iii,coronelli,scholarly_monograph,"Milanesi, Coronelli",Vincenzo Coronelli Cosmographer (1650-1718),Marica Milanesi,2016,2016,"Brepols, Terrarum Orbis 13; 472 pp., 44 colour illustrations; ISBN 978-2-503-56461-6",,https://www.brepols.net/,https://www.brepols.net/products/IS-9782503564616-1,"First edition, 2016; ISBN 978-2-503-56461-6","Part Two, the workshop of the Frari; Part Three, Cosmografo della Serenissima and the Accademia degli Argonauti - part-level only, from the publisher's description, no page read",in_copyright,https://www.brepols.net/,unverified,candidate,The scholarly control on every claim Act III makes about Coronelli's method and sources.,"Act III's highest-priority acquisition, and still unread. Narrowed 2026-08-25: the Terre Artiche plate carries a dedication to Conte Ercole Pepoli, Senator of Bologna, so the workshop-and-patron question is now a specific one about this plate rather than a general caution. Without Milanesi the act would still risk reading a dedicated commercial plate as a personal cosmology. Bibliographic description confirmed against the publisher 2026-08-27: 472 pages, 44 colour illustrations, ISBN 978-2-503-56461-6, and the volume is in three parts. Brepols describes Part One as the manufacture of the two four-metre globes for the Galerie des glaces at Versailles and their distribution in Europe; Part Two as the workshop of the Frari, covering Coronelli's sales, his editorial work on maps, plans, atlases and an unsuccessful encyclopaedia, and how manufacture there was organised, financed and related to colleagues, competitors and clients; and Part Three as his office of Cosmografo della Serenissima and the Accademia degli Argonauti with its connections to nobility and scholarly networks. Parts Two and Three are therefore where the workshop and patronage questions should be read, and the locator records exactly that and no more: it is taken from the publisher's description, not from the book, and carries no page numbers because no page has been read. verification_state stays unverified and review_status stays candidate for the same reason; ant-gap-coronelli-milanesi does not close on a part-level pointer. One further reason to acquire the volume: the appendix is described as carrying transcripts of key documents and a list of maps attributable to Coronelli, which bears directly on ant-gap-atlante-plates and would be a better instrument for that audit than walking the Rumsey list numbers.",,
ant-src-cook-voyage-1777,act_iv,cook_absence,expedition_narrative,"Cook, Voyage towards the South Pole",A Voyage towards the South Pole and Round the World,James Cook,1777,1777,"London: W. Strahan and T. Cadell, two volumes",,https://www.rmg.co.uk/,,"First edition, 1777",pending,public_domain_text,https://www.rmg.co.uk/,unverified,candidate,The published voyage whose charts and text turn a failure to find land into a bounded blank.,The official account that carries the 1777 southern-hemisphere chart. No page locators are transcribed.,,
ant-src-beaglehole-journals-ii,act_iv,cook_absence,critical_edition,"Beaglehole, Journals II","The Journals of Captain James Cook on his Voyages of Discovery, Volume II: The Voyage of the Resolution and Adventure, 1772-1775",J. C. Beaglehole (ed.),1961,1961,Cambridge: Hakluyt Society,,https://www.hakluyt.com/,,"Hakluyt Society, Extra Series",pending,in_copyright,https://www.hakluyt.com/,unverified,candidate,The scholarly edition against which any quotation from the second voyage must be checked.,"Act IV should argue from Beaglehole rather than from the 1777 publication where the two differ, and should say so where it matters.",,
