state_id,name_use_id,coverage,layers,year,feature,note,review_state,normalization_method,reviewer,review_date
nes-dacia-antiquarian,nmu-dacia-antiquarian,in_coverage,dacia-attestations-research,1595,att-0006,"Ortelius's readings are in the corpus, so the Atlas can open on the reconstruction itself rather than on the province it reconstructs.",normalized,llm_assisted,,
nes-dacia-aureliana,nmu-dacia-aureliana,no_layer_yet,,,,"Dacia Aureliana lies south of the Danube and no compiled layer covers it. A link to the Trajanic baseline would show the reader the wrong province under the right word.",normalized,llm_assisted,,
nes-dacia-coin-legend,nmu-dacia-coin-legend,in_coverage,dacia-roman-sites,150,,"The referent is the province, so the province is what the Atlas opens on. The coin itself is a witness with no findspot in this corpus and is not on the map.",normalized,llm_assisted,,
nes-dacia-diocese,nmu-dacia-diocese,no_layer_yet,,,,"The civil diocese is a different administrative level from the province and has no compiled geometry. Drawing it as the province would collapse the distinction this use exists to record.",normalized,llm_assisted,,
nes-dacia-ecclesiastical,nmu-dacia-ecclesiastical,out_of_coverage,,,,"The Dominican province represented Scandinavia, outside every Dacia layer. Reusing the Danubian map because the institution reused the word would make the false continuity this trench rejects.",normalized,llm_assisted,,
nes-dacia-province,nmu-dacia-province,in_coverage,dacia-roman-sites|dacia-roman-network,150,,"The Trajanic province is the one career of the word the Atlas already draws, as sites and as the road and frontier network compiled for KAN-341.",normalized,llm_assisted,,
nes-dacia-reception,nmu-dacia-reception,no_layer_yet,,,,"The decree's continuity claim is rhetoric recorded in a text, not a historical extent the Atlas can draw. No geometry may be inferred from it.",normalized,llm_assisted,,
nes-dacia-scandinavia,nmu-dacia-scandinavia,out_of_coverage,,,,"Denmark and the Scandinavian north lie outside the extent of every Dacia layer. This is the trench's argument rather than a gap in the Atlas: the word left the ground the map covers.",normalized,llm_assisted,,
nes-napoca-roman,nmu-napoca-roman,in_coverage,dacia-attestations-research,150,att-0024,"The Peutinger station resolves to a corpus place, so the Atlas opens on the reading itself.",normalized,llm_assisted,,
nes-napoca-restored,nmu-napoca-restored,no_layer_yet,,,,"The modern settlement is located, but the current Dacia layers carry historical evidence rather than twentieth-century legal renamings. A route to the Roman station would confuse revival with continuity.",normalized,llm_assisted,,
