gap_id,act,cluster,kind,blocks,statement,why_it_matters,next_action,status
ant-gap-coronelli-plate,act_iii,coronelli,retrieval_failure,KAN-422|ant-clm-coronelli-depiction|ant-clm-coronelli-belief,"Resolved 2026-08-25. The object is Rumsey 12186.101, 'Terre Artiche', in Atlante Veneto Tomo I; the plate has been examined at full IIIF resolution.",Act III's central object is no longer unseen. What the plate depicts may now be stated from the plate.,None. Superseded by ant-gap-atlante-epitome-attribution for the remaining question of which publication the sequence belongs to.,closed
ant-gap-coronelli-hemisphere,act_iii,coronelli,object_identity,KAN-422|ant-clm-coronelli-depiction,"Resolved 2026-08-25 for Atlante Veneto Tomo I. The polar section runs Rumsey 12186.100 to .107: six text leaves headed for both poles, two engraved plates ('Terre Artiche' 12186.101 and 'Polo Artiche' 12186.104), both classified Arctic, and the section then closes into Idrografia at .108. No southern polar plate was cut for this sequence.","The Act III finding inverts, and improves, as anticipated: the south is what Coronelli does not attend to, and the asymmetry now rests on the structure of the catalogued sequence rather than on absence of search results.",None for Tomo I. Whether any southern polar plate exists elsewhere in the thirteen-volume Atlante Veneto is tracked separately as ant-gap-atlante-plates.,closed
ant-gap-coronelli-milanesi,act_iii,coronelli,scholarly_authority,KAN-422|ant-clm-coronelli-belief,"Milanesi's Coronelli monograph has not been consulted, and the Terre Artiche plate now carries a specific patron whose bearing on the plate is unknown.","The plate is dedicated to Conte Ercole Pepoli. Without Milanesi, Act III would read a dedicated commercial plate as if it were Coronelli's personal cosmology, which is the exact error the claim ledger flags as high risk.","Closed by declaration: Milanesi's monograph is not consulted, and ant-clm-coronelli-belief is held permanently at medium confidence for that reason rather than pending its arrival. What the claim rests on is Coronelli's own voice at Atlante Veneto printed pp. 70 and 76 and Epitome p. 266, which is enough to say he distinguished inherited from reported material. What it does not rest on is any account of the Frari workshop's commissioning practice, and no such account is available to this project. The Terre Artiche plate's dedication to Conte Ercole Pepoli is recorded on ant-obj-coronelli-terre-artiche as a fact of the sheet with its bearing unread, and Act III makes no claim that the plate expresses Coronelli's personal cosmology - a dedicated commercial plate is not evidence of private belief, and the distinction the claim does make survives without it. #163 established that the volume can be described from its publisher's record but not cited from it, and that remains the position. Acquiring the Brepols volume would upgrade this claim to high, not unblock it.",closed
ant-gap-atlante-plates,act_iii,coronelli,object_identity,KAN-422,No plate showing the southern polar region has been identified anywhere in the Atlante Veneto. Four candidate plates have been proposed but not verified.,"The object register held a placeholder that had to resolve or be deleted, and the working assumption behind it - that Tomo I carries no southern polar plate - was wrong.","Closed: the plate exists, and this row's premise was mistaken. Atlante Veneto Tomo I carries Polo Antarctico at plate 12186.050 (Rumsey), a 37 x 37 cm south polar atlas sheet examined at full resolution on 2026-09-08 and now filed as ant-obj-coronelli-atlante-polar, which was the placeholder this row existed to resolve. It draws no land at all - meridians converging on a marked pole, a scale to 85 degrees, labelled latitude circles, and a Magellan cartouche that rejects two claims of prior knowledge. The other three candidates are settled as well, two of them negatively. Planisfero Meridionale (12186.040) is a celestial map, the southern sky rather than the southern earth: examined, and it carries the Magellanic cloud, Dorado, Crux and Argo Navis around the south celestial pole. No plate called Costellazioni Celesti del Polo Antartico exists in the Rumsey catalogue under that name, and the Planisfero is most likely what the candidate was reaching for. America Meridionale (12186.097) is confirmed and is a South America sheet. The Libro dei Globi line is a dead end here: Rumsey's set (publication 10714) is described in its own title as counterproof plates for a celestial globe, and its south polar calotte (10714.077, .078) is celestial; the terrestrial south polar calotte is 10070.026, already examined in #162. One limit stands and is not closed by this: Rumsey holds only Tomo I of the Atlante Veneto's thirteen folios, so ""the remaining volumes"" have not been audited and cannot be from here. What is now established is that the volume this project can reach gives the south pole a plate of its own and leaves it empty.",closed
ant-gap-rmg-rights,cross_cutting,cook,rights,KAN-420|KAN-430|KAN-431,Both verified Greenwich objects state no reuse licence; the 1910 ice chart carries a Crown copyright credit line.,The two objects the essay most wants to reproduce are the two whose terms are unknown. Both are research_only until RMG Images answers in writing.,"Closed by declaration: no Royal Museums Greenwich object is reproduced in this essay, and none will be until RMG Images answers in writing. Four verified objects are affected, not the two this row was written for - ant-obj-cook-southern-hemisphere-1777 (PAI4123), its second impression ant-obj-cook-southern-hemisphere-1777-alt (G201:3/3), ant-obj-ukho-ice-chart-1910 (G288:1/2(2), which additionally carries a Crown copyright credit line) and ant-obj-ukho-ice-chart-1874 (NTY288:1/2(1)). All four stay rights_status rights_review_required and reproduction_use research_only, and all four are cited from their catalogue records rather than shown. Acts IV and VII therefore describe their anchor objects in words and link to the Greenwich record instead of carrying an image. This closes the row as a published limit, not as a grant: a reply from RMG Images would reopen it, and could only add reproductions - never remove this statement of what the essay did without.",closed
ant-gap-cook-copy-choice,act_iv,cook,edition_state,KAN-420|KAN-424,Greenwich holds at least two records for the 1777 southern-hemisphere chart and they have not been compared.,The essay must name the copy it reproduces. Two records for one chart is the ambiguity the register exists to close.,"Closed. rmgc-object-543571 is G201:3/3, a second impression of the same plate with a Forster attribution and different measurements. The essay reproduces PAI4123 unless a state comparison says otherwise.",closed
ant-gap-fine-mercator-ortelius-states,act_i,foundation,edition_state,KAN-420|KAN-424,No holding copy or plate state has been identified for the Mercator 1569 world map.,The southern coastline differs across states. A comparison of 'the Ortelius world map' with no state named compares nothing in particular.,"Narrowed 2026-09-08: two of the three objects are settled and only Mercator remains. Ortelius is Rumsey 10000.011, the Theatrum Orbis Terrarum first edition (Antwerp, Gillis Coppens van Diest, M.D.LXX), plate signed by Frans Hogenberg, southern coast read as TERRA AVSTRALIS NONDVM COGNITA - and it is the same physical copy the Dacia programme already cites, so one volume now serves two programmes. Fine is Rumsey 15894.000, and the copy is the 1540 Christian Wechel issue dated M.D.XL on the plate rather than the 1531 first issue, southern coast read as TERRA AVSTRALIS RECenter inuenta sed nondum plene cognita. Both are verified with the state named, which is what this row asked for. Mercator's 1569 wall map is not in Rumsey and only a handful of copies survive; the object row points at the BnF, which blocks this environment. What remains is to select one holding copy of the Mercator, or to record the decision to argue Act I from a documented facsimile and say so.",open
ant-gap-bellingshausen-charts,act_v,discovery_survey,object_identity,KAN-421|KAN-425|ant-clm-first-sighting,No Bellingshausen chart has been located in a named repository.,"The 1820 priority discussion cannot be illustrated from the Russian side, which would leave the essay arguing priority from British and American material alone.","Closed by declaration: no Bellingshausen chart has been located in a named repository, and Act V's priority discussion is made from British and American material and from Debenham's translation, with that asymmetry stated in the essay rather than left for a reader to notice. This follows ant-gap-bellingshausen-translation, which closed the same way on the same claim. The consequence is recorded on ant-clm-first-sighting: its map_object_ids reference to ant-obj-bellingshausen-atlas was deliberately unresolved pending this row, and is now removed rather than left pointing at an object nobody has seen. What survives is the argument the claim actually makes, which is definitional and needs no plate - the disagreement between Bellingshausen, Bransfield and Palmer is about what counts as a sighting, and that can be set out from the texts. That the Russian side cannot be illustrated is itself a finding about which archives are reachable, and belongs in the essay as one.",closed
ant-gap-bellingshausen-translation,act_v,discovery_survey,translation,KAN-421|ant-clm-first-sighting,The essay's access to Bellingshausen is through Debenham's 1945 English edition.,Priority claims often turn on the wording of what was seen. A translation is an interpretation and may not silently stand in for the Russian text.,"Closed by declaration: the dependence on Debenham's 1945 translation is now recorded on ant-clm-first-sighting and ant-pri-bellingshausen-1820 rather than left implicit. Consulting the Russian text for the passages the essay quotes remains open future work and would upgrade, not unblock, this claim.",closed
ant-gap-wilkes-sheets,act_vi,discovery_survey,object_identity,KAN-426|ant-clm-wilkes-coast,"The Wilkes atlas is located at the Library of Congress with a digitised copy, but no individual sheet or charted position has been identified.","The programme's flagship ghost-geography case is currently a general recollection that Ross sailed over land Wilkes charted. Which land, at what position, on which sheet, is unknown.","Closed: the plate is No. 70 in the Atlas of the Narrative of the United States Exploring Expedition (ant-obj-wilkes-antarctic-chart, now verified), examined via the American Geographical Society Library’s digitised copy since LoC itself blocks this environment. Termination Land is named on it, drawn as unsurveyed (dotted) coastline, at an approximate position of 94.5-96.7°E, 67.9-70.1°S read from the plate’s own graticule. ant-ghost-wilkes-segment’s source_locator now cites the plate; its geometry stays empty on purpose – a pixel-read position is not a survey-grade georeference. A rigorous georeference, and locating the more easterly named peaks (Ringgold’s Knoll and neighbours), remain open future work.",closed
