event_id,subject_type,subject_id,event_field,event_type,spec_value,lane_value,oconnell_value,resolution,status,notes
route_muda_romania_start,route,muda_romania,start_date,convoy_window,1332-01-01,1329@p129,not_in_source,retained_spec_envelope,verified_page_level,Lane dates the Senate's galley-auction practice 1329 with the Trebizond treaty 1319 and the Tana branch 1322 (p129); the spec's 1332 sits inside that documented emergence and is retained as the route envelope.
route_muda_romania_end,route,muda_romania,end_date,convoy_window,1453-05-29,1453@p348-349+chronology,not_in_source,confirmed_spec,verified_page_level,Lane narrates the Romania line as first to fall to the changing political situation with the 1452-1453 siege of Constantinople (pp348-349) and dates the Ottoman capture 1453 in the Chronology; day-level value is the fall of the city.
route_muda_alexandria_start,route,muda_alexandria,start_date,convoy_window,1300-01-01,1302@p130,not_in_source,retained_spec_envelope,verified_page_level,Lane gives the 1302 Mamluk treaty and the papal-ban interruption 1322-1345 with permission renewed 1344 (pp130-131); the round-century start is retained as a documented modelling envelope.
route_muda_alexandria_end,route,muda_alexandria,end_date,convoy_window,1500-12-31,soon_after_1500@p348,not_in_source,confirmed_spec,verified_page_level,Lane: great galleys dropped out of commercial use almost entirely soon after 1500 (p348); the century boundary matches at Lane's stated precision.
route_muda_syria_start,route,muda_syria,start_date,convoy_window,1300-01-01,late_14thc@p131,not_in_source,retained_spec_envelope,verified_page_level,Lane dates the enduring four-route merchant-galley pattern including Cyprus-or-Syria to the end of the fourteenth century (p131); the round-century start is retained as a documented modelling envelope.
route_muda_syria_end,route,muda_syria,end_date,convoy_window,1500-12-31,soon_after_1500@p348,not_in_source,confirmed_spec,verified_page_level,Same basis as muda_alexandria_end (Lane p348).
route_muda_cyprus_start,route,muda_cyprus,start_date,convoy_window,1300-01-01,early_14thc@p130,not_in_source,retained_spec_envelope,verified_page_level,Lane: Cyprus was sometimes a terminus of regulated galley fleets in the early fourteenth century with private sailings in the 1320s (pp130-131); round-century start retained as envelope.
route_muda_cyprus_end,route,muda_cyprus,end_date,convoy_window,1500-12-31,soon_after_1500@p348,not_in_source,confirmed_spec,verified_page_level,Same basis as muda_alexandria_end (Lane p348).
route_muda_dalmatia_start,route,muda_dalmatia,start_date,convoy_window,1409-01-01,1577_1592@p303,1409-07-09@p28,retained_spec_envelope,verified_page_level,Major documented discrepancy — Lane records no scheduled Dalmatia muda in 1409-1500; his only scheduled Dalmatian galley line is the Spalato service begun after Rodriga's 1577 petition and auctioned from 1592 (p303). O'Connell dates the Dalmatian possession purchase July 9 1409 (p28). The route stays as an editorial coastal-service construct keyed to the possession window per its authority note.
route_muda_dalmatia_end,route,muda_dalmatia,end_date,convoy_window,1500-12-31,not_in_source,not_in_source,retained_spec_envelope,verified_page_level,No anchor source dates a Dalmatia convoy window ending 1500; boundary retained as part of the editorial envelope documented on muda_dalmatia_start.
route_private_adriatic_start,route,private_adriatic,start_date,navigation_window,1200-01-01,13thc@p68-70,not_in_source,retained_spec_envelope,verified_page_level,Lane describes the thirteenth-century caravan convoy system and Adriatic patrols (pp68-70); representative corridor start retained as envelope.
route_private_adriatic_end,route,private_adriatic,end_date,navigation_window,1500-12-31,not_in_source,not_in_source,retained_spec_envelope,verified_page_level,Representative corridor boundary aligned to the general post-1500 decline of the regulated system (Lane p348 context); retained as envelope.
route_private_aegean_start,route,private_aegean,start_date,navigation_window,1206-01-01,undated@p43,1206@p19,corrected_to_source,verified_page_level,Corrected from 1207 alongside the morea possession row — O'Connell dates possession of Modon and Coron 1206 (p19); Lane describes Modon and Coron as the two eyes of the Republic without a year (p43).
route_private_aegean_end,route,private_aegean,end_date,navigation_window,1500-12-31,not_in_source,not_in_source,retained_spec_envelope,verified_page_level,Same envelope basis as private_adriatic_end.
possession_crete_1211_start,possession,crete_1211,start_date,territorial_acquisition,1211-01-01,undated@p43,1211@p162+p172,confirmed_spec,verified_page_level,O'Connell's appendix dates Venetian domination of Crete 1211-1669 (p162) and n14 cites the 1211 Concessio Insulae Cretensis (p172); Lane narrates the cash purchase and the division into knights' fees without a year (p43).
possession_crete_1211_end,possession,crete_1211,end_date,territorial_loss,1669-09-27,1669@p410+chronology,1669@p38,confirmed_spec,verified_page_level,Both anchors give 1669 for the surrender of Candia (Lane p410 and the Chronology's War of Crete 1645-1669; O'Connell p38); the day-level value is retained at spec precision.
possession_corfu_1386_start,possession,corfu_1386,start_date,territorial_acquisition,1386-01-01,1386@p198,1386@p22-23,confirmed_spec,verified_page_level,Lane: occupied 1386 by agreement with the leading Corfiotes (p198); O'Connell: rule extended to Corfu 1386 (pp22-23) and appendix 1386-1797 (p162). Lane p43 separately records an earlier Venetian Corfu of 1206 given up soon after — outside this phase.
possession_corfu_1386_end,possession,corfu_1386,end_date,administrative_change,1387-01-01,not_in_source,not_in_source,retained_spec_envelope,verified_page_level,Neither anchor marks a 1387 protection-to-direct transition; both model one continuous 1386-1797 phase. The phase split is editorial per decision D10 and is retained.
possession_corfu_1387_start,possession,corfu_1387,start_date,administrative_change,1387-01-01,not_in_source,not_in_source,retained_spec_envelope,verified_page_level,Same editorial basis as corfu_1386_end.
possession_corfu_1387_end,possession,corfu_1387,end_date,territorial_loss,1797-05-12,1797-05-12@p436+chronology,1797@p38,confirmed_spec,verified_page_level,"Day-level confirmed — the Great Council voted itself out of existence in its last meeting May 12 1797 (Lane p436; Chronology ""May: Great Council dissolves itself""); O'Connell gives 1797 (p38)."
possession_dalmatia_1409_start,possession,dalmatia_1409,start_date,treaty_effective,1409-07-09,not_in_source,1409-07-09@p28,confirmed_spec,verified_page_level,Day-level confirmed — treaty ceding Ladislas's Dalmatian rights signed in San Silvestro July 9 1409 with the fleet at Zara July 31 (O'Connell p28).
possession_dalmatia_1409_end,possession,dalmatia_1409,end_date,administrative_change,1420-01-01,1414_1423@chronology,1420@p30,confirmed_spec,verified_page_level,O'Connell dates the consolidation wave to 1420 with Spalato and Trau July and Curzola September and Brazza October (p30) and Lesina March 1421; Lane's Chronology brackets Dalmatia consolidated under Mocenigo 1414-1423.
possession_dalmatia_1420_start,possession,dalmatia_1420,start_date,administrative_change,1420-01-01,1414_1423@chronology,1420@p30,confirmed_spec,verified_page_level,Same basis as dalmatia_1409_end.
possession_dalmatia_1420_end,possession,dalmatia_1420,end_date,territorial_loss,1797-05-12,1797-05-12@p436+chronology,1797@p38+p162-164,confirmed_spec,verified_page_level,Lane gives the day (p436); O'Connell's appendix carries the Dalmatian rows to 1797 (pp162-164).
