attestation_id,place_id,source_id,attestation_class,name_original,script,language,name_transliterated,name_normalized,locator_type,locator,source_lon,source_lat,confidence,review_state,normalization_method,reviewer,review_date,last_verified,note
att-0001,plc-sarmizegetusa-regia,src-ptolemy-geographia,variant,pending,grek,grc,Zarmizegethousa,Sarmizegetusa Regia,none,pending,,,medium,raw,llm_assisted,,,,"The royal seat, basileion of Decebalus. Greek original outstanding: Trench A prints only a Latin transliteration."
att-0002,plc-ulpia-traiana-sarmizegetusa,src-tabula-peutingeriana,variant,Sarmategte,latn,la,,Sarmizegetusa,none,pending,,,medium,raw,llm_assisted,,,,"A road station on the Tibiscum line - the colonia, not Regia."
att-0003,plc-ulpia-traiana-sarmizegetusa,src-hereford-mappa,source_silent,,,,,,none,pending,,,medium,raw,llm_assisted,,,,In coverage and still unnamed: the region has dissolved into Gothia and Scythia.
att-0004,plc-ulpia-traiana-sarmizegetusa,src-vesconte-portolan,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,A portolan's scope is the coastline; an inland ruin lies outside it.
att-0005,plc-ulpia-traiana-sarmizegetusa,src-honterus-chorographia,survival_unknown,,,,,,none,pending,,,low,raw,llm_assisted,,,,The village existed; whether the single impression marks it cannot be checked. See vd-honterus-impression.
att-0006,plc-sarmizegetusa-regia,src-ortelius-parergon,reconstructed,Zarmizegethusa regia,latn,la,,Sarmizegetusa Regia,none,pending,,,medium,raw,llm_assisted,,,,An antiquarian restores the royal seat to a modern sheet from the ancient authors.
att-0007,plc-ulpia-traiana-sarmizegetusa,src-cantacuzino-wallachia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,The map covers Wallachia; Hateg country is outside its scope.
att-0008,plc-ulpia-traiana-sarmizegetusa,src-cantemir-moldavia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,The map covers Moldavia only.
att-0009,plc-ulpia-traiana-sarmizegetusa,src-iosephina-survey,alternative,Varhely,latn,hu,,Varhely,none,pending,,,medium,raw,llm_assisted,,,,The Hungarian name - castle place - standing over the colonia's ruins.
att-0010,plc-ulpia-traiana-sarmizegetusa,src-russian-staff-1835,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,The Russian sheets stop at the mountains.
att-0011,plc-ulpia-traiana-sarmizegetusa,src-szathmari-charta,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,The Charta covers the Principalities; Hateg country lies outside them.
att-0012,plc-apulum,src-ptolemy-geographia,variant,pending,grek,grc,Apoulon,Apulum,none,pending,,,medium,raw,llm_assisted,,,,A Dacian name in Greek dress. Greek original outstanding.
att-0013,plc-apulum,src-tabula-peutingeriana,variant,Apula,latn,la,,Apulum,none,pending,,,medium,raw,llm_assisted,,,,The vulgar spelling of a road-book hand.
att-0014,plc-apulum,src-hereford-mappa,source_silent,,,,,,none,pending,,,medium,raw,llm_assisted,,,,The map covers the region and names no town of this country.
att-0015,plc-apulum,src-vesconte-portolan,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Far inland of a coastal chart's scope.
att-0016,plc-apulum,src-honterus-chorographia,alternative,Weissenburg,latn,de,,Weissenburg,none,pending,,,medium,raw,llm_assisted,,,,The Saxon name; the Slavic Balgrad lies beneath it.
att-0017,plc-apulum,src-ortelius-parergon,reconstructed,Apulum,latn,la,,Apulum,none,pending,,,medium,raw,llm_assisted,,,,The legion town restored to the sheet.
att-0018,plc-apulum,src-cantacuzino-wallachia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Transylvania is not on this map.
att-0019,plc-apulum,src-cantemir-moldavia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,The map covers Moldavia only.
att-0020,plc-apulum,src-iosephina-survey,exact,Karlsburg,latn,de,,Karlsburg,none,pending,,,medium,raw,llm_assisted,,,,The citadel cut for Charles VI renames the town.
att-0021,plc-apulum,src-russian-staff-1835,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Beyond the Russian survey.
att-0022,plc-apulum,src-szathmari-charta,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Transylvania lies outside the Charta.
att-0023,plc-napoca,src-ptolemy-geographia,variant,pending,grek,grc,Napouka,Napoca,none,pending,,,medium,raw,llm_assisted,,,,A Dacian name in Greek transliteration. Greek original outstanding.
att-0024,plc-napoca,src-tabula-peutingeriana,exact,Napoca,latn,la,,Napoca,none,pending,,,medium,raw,llm_assisted,,,,A station on the road to Porolissum.
att-0025,plc-napoca,src-hereford-mappa,source_silent,,,,,,none,pending,,,medium,raw,llm_assisted,,,,The map has stopped looking at this country.
att-0026,plc-napoca,src-vesconte-portolan,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,No rhumb line reaches the Somes.
att-0027,plc-napoca,src-honterus-chorographia,alternative,Clausenburg,latn,de,,Klausenburg,none,pending,,,medium,raw,llm_assisted,,,,"The Saxon town, drawn by a man who knew it."
att-0028,plc-napoca,src-ortelius-parergon,reconstructed,Napoca,latn,la,,Napoca,none,pending,,,medium,raw,llm_assisted,,,,Restored from Ptolemy and the itineraries.
att-0029,plc-napoca,src-cantacuzino-wallachia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Wallachia only.
att-0030,plc-napoca,src-cantemir-moldavia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Moldavia only.
att-0031,plc-napoca,src-iosephina-survey,alternative,Klausenburg,latn,de,,Klausenburg,none,pending,,,medium,raw,llm_assisted,,,,"German official name. Materially different from Napoca, not a variant of it."
att-0032,plc-napoca,src-iosephina-survey,alternative,Kolozsvar,latn,hu,,Kolozsvar,none,pending,,,medium,raw,llm_assisted,,,,Hungarian name printed beside the German on the same sheet.
att-0033,plc-napoca,src-russian-staff-1835,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Beyond the Russian survey.
att-0034,plc-napoca,src-szathmari-charta,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,North of the Charta.
att-0035,plc-drobeta,src-ptolemy-geographia,source_silent,,,,,,none,pending,,,low,raw,llm_assisted,,,,The catalogue survives complete and no entry matches securely. See vd-drobeta-ptolemy.
att-0036,plc-drobeta,src-tabula-peutingeriana,variant,Drubetis,latn,la,,Drobeta,none,pending,,,medium,raw,llm_assisted,,,,First station north of the river on the Lederata road.
att-0037,plc-drobeta,src-hereford-mappa,source_silent,,,,,,none,pending,,,medium,raw,llm_assisted,,,,The crossing survives only in the authors.
att-0038,plc-drobeta,src-vesconte-portolan,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Far upstream of any pilot's chart.
att-0039,plc-drobeta,src-honterus-chorographia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Oltenia lies outside the Transylvanian survey.
att-0040,plc-drobeta,src-ortelius-parergon,reconstructed,Drubetis,latn,la,,Drobeta,none,pending,,,medium,raw,llm_assisted,,,,Restored to the sheet with Trajan's bridge drawn across the Danube as Pons Traiani.
att-0041,plc-drobeta,src-cantacuzino-wallachia,alternative,Severin,latn,ro,,Severin,none,pending,,,medium,raw,llm_assisted,,,,The Tower of Severin remembered as a ruin; the Banat of Severin attested.
att-0042,plc-drobeta,src-cantemir-moldavia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,The map covers Moldavia only.
att-0043,plc-drobeta,src-iosephina-survey,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,,Beyond the Carpathian ring.
att-0044,plc-drobeta,src-russian-staff-1835,exact,Turnu Severin,latn,ro,,Turnu Severin,none,pending,,,low,raw,llm_assisted,,,,The survey straddles the town's founding in 1833.
att-0045,plc-drobeta,src-szathmari-charta,variant,Turnu-Severinu,latn,ro,,Turnu Severin,none,pending,,,medium,raw,llm_assisted,,,,A town barely thirty years old when printed.
att-0046,plc-ulpia-traiana-sarmizegetusa,src-secret-century,variant,Sarmizegetusa,latn,ro,,Sarmizegetusa,sheet,pending,,,medium,raw,llm_assisted,,,,The classified sheets carry the colonia's village under the ancient name; Gradistea (Varhely) was formally renamed Sarmizegetusa in 1941.
att-0047,plc-apulum,src-secret-century,alternative,Alba Iulia,latn,ro,,Alba Iulia,sheet,pending,,,medium,raw,llm_assisted,,,,"Standardised Romanian form on the artillery sheets, materially different from Apulum rather than a variant of it."
att-0048,plc-napoca,src-secret-century,alternative,Cluj,latn,ro,,Cluj,sheet,pending,,,medium,raw,llm_assisted,,,,Plain Cluj on the classified sheets: the Roman name is not re-attached until the 1974 decree.
att-0049,plc-drobeta,src-secret-century,alternative,Turnu Severin,latn,ro,,Turnu Severin,sheet,pending,,,medium,raw,llm_assisted,,,,"A county seat on the artillery sheets, before the 1972 hyphenation stitched the Roman name back on."
att-0050,plc-pleiades-206895,src-pleiades-gazetteer,textual_only,Afumaţi,latn,und,,Afumaţi,section,https://pleiades.stoa.org/places/206895,23.47618,44.00204,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0051,plc-pleiades-206896,src-pleiades-gazetteer,textual_only,Aghireşcu,latn,und,,Aghireşcu,section,https://pleiades.stoa.org/places/206896,23.241694,46.872513,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0052,plc-pleiades-206932,src-pleiades-gazetteer,textual_only,Aradul Nou,latn,und,,Aradul Nou,section,https://pleiades.stoa.org/places/206932,21.315096,46.146819,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0053,plc-pleiades-206951,src-pleiades-gazetteer,textual_only,Băiţa,latn,und,,Băiţa,section,https://pleiades.stoa.org/places/206951,22.892712,46.032484,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0054,plc-pleiades-206956,src-pleiades-gazetteer,textual_only,Balta Verde,latn,und,,Balta Verde,section,https://pleiades.stoa.org/places/206956,22.598167,44.345407,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0055,plc-pleiades-206971,src-pleiades-gazetteer,textual_only,Bocşa,latn,und,,Bocşa,section,https://pleiades.stoa.org/places/206971,21.719627,45.371256,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0056,plc-pleiades-206988,src-pleiades-gazetteer,textual_only,Brucla,latn,und,,Brucla,section,https://pleiades.stoa.org/places/206988,23.729304,46.312309,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0057,plc-pleiades-206998,src-pleiades-gazetteer,textual_only,Bulci,latn,und,,Bulci,section,https://pleiades.stoa.org/places/206998,22.105561,46.004728,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0058,plc-pleiades-206999,src-pleiades-gazetteer,textual_only,Bumbeşti,latn,und,,Bumbeşti,section,https://pleiades.stoa.org/places/206999,23.38156,45.178701,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0059,plc-pleiades-207010,src-pleiades-gazetteer,textual_only,Căraciu,latn,und,,Căraciu,section,https://pleiades.stoa.org/places/207010,22.704309,46.175209,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0060,plc-pleiades-207023,src-pleiades-gazetteer,textual_only,Cenad,latn,und,,Cenad,section,https://pleiades.stoa.org/places/207023,20.585818,46.138105,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0061,plc-pleiades-207026,src-pleiades-gazetteer,textual_only,Cetate,latn,und,,Cetate,section,https://pleiades.stoa.org/places/207026,23.051775,44.106611,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0062,plc-pleiades-207030,src-pleiades-gazetteer,textual_only,Cheţani,latn,und,,Cheţani,section,https://pleiades.stoa.org/places/207030,24.025731,46.464413,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0063,plc-pleiades-207052,src-pleiades-gazetteer,textual_only,Criciova,latn,und,,Criciova,section,https://pleiades.stoa.org/places/207052,22.066639,45.633278,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0064,plc-pleiades-207074,src-pleiades-gazetteer,textual_only,Denta,latn,und,,Denta,section,https://pleiades.stoa.org/places/207074,21.260402,45.360397,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0065,plc-pleiades-207075,src-pleiades-gazetteer,textual_only,Desa,latn,und,,Desa,section,https://pleiades.stoa.org/places/207075,23.033899,43.866568,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0066,plc-pleiades-207087,src-pleiades-gazetteer,textual_only,Domaşnea,latn,und,,Domaşnea,section,https://pleiades.stoa.org/places/207087,22.316725,45.083198,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0067,plc-pleiades-207093,src-pleiades-gazetteer,textual_only,Dorticum,latn,und,,Dorticum,section,https://pleiades.stoa.org/places/207093,22.736228,44.19265,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0068,plc-pleiades-207094,src-pleiades-gazetteer,textual_only,Dragu,latn,und,,Dragu,section,https://pleiades.stoa.org/places/207094,23.391696,47.0382,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0069,plc-pleiades-207119,src-pleiades-gazetteer,textual_only,Foeni,latn,und,,Foeni,section,https://pleiades.stoa.org/places/207119,20.875371,45.497006,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0070,plc-pleiades-207129,src-pleiades-gazetteer,textual_only,Germisara,latn,und,,Germisara,section,https://pleiades.stoa.org/places/207129,23.164363,45.897054,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0071,plc-pleiades-207133,src-pleiades-gazetteer,textual_only,Gherla,latn,und,,Gherla,section,https://pleiades.stoa.org/places/207133,23.89699518491554,47.02427563044873,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
