name_use_id,lexical_form,source_id,institution,referent_kind,referent_place_id,referent_label,period_from,period_to,date_precision,fate_class,locator_type,locator,confidence,review_state,normalization_method,reviewer,review_date,note
nmu-dacia-antiquarian,Dacia,src-ortelius-parergon,Antiquarian scholarship,region,,The ancient province restored on a modern sheet,1595,1595,exact_year,restitutio,sheet,Parergon: Daciarum Moesiarumque vetus descriptio,medium,reviewed,llm_assisted,Vlad Simion,2026-08-25,Ortelius restores the ancient province in the historical supplement to the Theatrum. The sheet is named; the impression has not been examined.
nmu-dacia-aureliana,Dacia,src-eutropius-breviarium,Roman imperial administration,polity,,Dacia Aureliana south of the Danube,271,,terminus_post_quem,applicatio,section,Breviarium 9.15,medium,reviewed,llm_assisted,Vlad Simion,2026-08-25,"After Aurelian withdrew, the name was carried south of the Danube and applied to a new province. Eutropius narrates the act, which is what this row records; the Notitia attests the name in official use a century later and is cited by nmu-dacia-diocese instead."
nmu-dacia-coin-legend,Dacia,src-ric-dacia-types,The imperial mint,region,,DACIA as a personification struck on imperial coinage,106,271,year_range,applicatio,section,"RIC II.3, Hadrian 1648-1663: reverse types legended DACIA",medium,reviewed,llm_assisted,Vlad Simion,2026-08-25,"The state naming its own province on the money, which is the use with the widest circulation and the shortest text. Hadrian's province series is the reviewed reading; no specimen has been examined, so the row cites the catalogue rather than a coin."
nmu-dacia-diocese,Dacia,src-notitia-dignitatum,Praetorian prefecture of Illyricum,region,,"Dioecesis Daciae, the civil diocese south of the Danube",337,602,year_range,applicatio,section,Oriens: dioecesis Daciae,medium,reviewed,llm_assisted,Vlad Simion,2026-08-25,"A different administrative level from the province of the same name, and the clearest case that the referent is not the word: one Dacia contains the other, and neither is Trajan's."
nmu-dacia-ecclesiastical,Dacia,src-constitutiones-op-1228,"Ordo Praedicatorum, Provincia Dacie",ecclesiastical_province,,The Scandinavian province represented at the Dominican general chapter,1228,1228,exact_year,translatio,section,"1228 (14 May), Paris: constitutions naming twelve provincial priors and the four additional provinces",medium,normalized,llm_assisted,,,The record proves the order used Dacia for its Scandinavian province by 1228. It does not turn the disputed date of institutional formation into an exact founding day.
nmu-dacia-province,Dacia,src-ptolemy-geographia,Roman imperial administration,region,,Trajanic province north of the Danube,106,271,year_range,applicatio,section,Geographia III.8,medium,reviewed,llm_assisted,Vlad Simion,2026-08-25,The province Trajan made in 106. Ptolemy's book and chapter are the locator; the chapter has not been read against a witness for this corpus.
nmu-dacia-reception,Dacia,src-decret-cs-nr194-1974,Consiliul de Stat al Republicii Socialiste Romania,region,,Dacia Porolissensis made to support a Romanian historical-continuity claim,1974,1974,exact_year,inventio,section,"Preamble, Decret nr. 194/1974, Buletinul Oficial nr. 125, p. 1",medium,normalized,llm_assisted,,,"The decree invokes Napoca as capital of Dacia Porolissensis and calls the ancient name a witness to the Romanian people's antiquity and continuity. This is evidence about the state's 1974 argument, not about continuity from antiquity."
nmu-dacia-scandinavia,Dacia,src-hereford-mappa,Latin geographical usage,region,,Denmark and the Scandinavian north,1300,1300,circa,translatio,whole_work,The map carries no folio or sheet division; the single membrane is the maximum precision available,medium,reviewed,llm_assisted,Vlad Simion,2026-08-25,"Medieval Latin writers used Dacia for Denmark, and the Hereford map is one witness to the usage. This is the coincidence the trench exists to adjudicate."
nmu-napoca-restored,Napoca,src-decret-cs-nr194-1974,Consiliul de Stat al Republicii Socialiste Romania,settlement,plc-napoca,Cluj-Napoca,1974,,terminus_post_quem,restitutio,section,"Articol unic, Decret nr. 194/1974, Buletinul Oficial nr. 125, p. 1",high,normalized,llm_assisted,,,"The sole operative article adds the ancient name Napoca to Cluj from the date of the decree. It records a state act of reinstatement, not unbroken linguistic continuity."
nmu-napoca-roman,Napoca,src-tabula-peutingeriana,Roman imperial administration,settlement,plc-napoca,The Roman municipium,106,271,year_range,applicatio,sheet,Segmentum VII: the Porolissum road,medium,reviewed,llm_assisted,Vlad Simion,2026-08-25,A station on the road to Porolissum.
