lineage_id,feature,coronelli_object_id,compared_object_id,comparison_direction,relationship,evidence_class,statement,status,notes
ant-lin-southern-coast-ortelius,Southern continental coast,ant-obj-coronelli-globe-1688,ant-obj-ortelius-typus-1570,antecedent,unestablished,inherited_cartography,Whether Coronelli's southern coast derives from the Ortelius generation or from a later reduced outline is not established.,blocked,Blocked by ant-gap-coronelli-gores. Recorded as a question so that Act III cannot answer it by assumption.
ant-lin-southern-coast-mercator,Southern continental coast,ant-obj-coronelli-globe-1688,ant-obj-mercator-1569,antecedent,unestablished,inherited_cartography,The relationship between Coronelli's globe and the Mercator southern outline is not established.,blocked,"A globe and a wall map answer different design constraints, so a resemblance would need argument even if one were found. Blocked by ant-gap-coronelli-gores: these are questions about the globe, and no gore set has been examined."
ant-lin-tierra-del-fuego,Tierra del Fuego and the southern strait,ant-obj-coronelli-globe-1688,ant-obj-ortelius-typus-1570,antecedent,unestablished,reported_not_observed,"Whether Coronelli detaches Tierra del Fuego from a southern landmass, as later seventeenth-century mapping increasingly did, has not been checked.",blocked,"The clearest single test of whether Coronelli is inheriting or updating, and therefore the first thing to look at when the gores are examined. Blocked by ant-gap-coronelli-gores: these are questions about the globe, and no gore set has been examined."
ant-lin-polar-plate-hemisphere,Polar section coverage,ant-obj-coronelli-terre-artiche,,internal,independent,direct_observation,"The asymmetry in the Atlante Veneto polar section is graphic, not textual. The seven-page essay treats both poles at length and the closing page is entirely southern, but the two engraved plates are both Arctic and no southern polar plate was cut.",established,"Revised 2026-08-25 after reading the text. The earlier reading, that the south was what Coronelli did not attend to, was wrong: printed p. 76 covers Nuits 1627, Tasman's Terra di Diemens 1642, New Zealand, Quiros's Terra Australe dello Spirito Santo 1606 and Carpentaria. What is missing is a plate, not attention. 'direct_observation' classifies our examination of the objects, not a seventeenth-century observation; the vocabulary has no class for a bibliographic fact."
ant-lin-successor-cook,Southern continental coast,ant-obj-coronelli-globe-1688,ant-obj-cook-southern-hemisphere-1777,successor,superseded,later_disproof,"Whatever Coronelli shows in the far south is bounded, and largely removed, by the tracks on the 1777 chart.",candidate,The one lineage link whose later term is a verified object. It still cannot be drawn until the Coronelli end of it is known.
ant-lin-arctic-willoughby,Northern polar annotation,ant-obj-coronelli-terre-artiche,,internal,independent,reported_not_observed,"The central legend of 'Terre Artiche' cites Hugh Willoughby ('Vgone Willogheo'), English, at latitude 76 degrees, and a party of seven sent to overwinter at Spitsbergen to test the China passage, which sailed 30 August 1633 and returned without profit 26 May 1634.",established,"Read from the plate at full IIIF resolution 2026-08-25. Reported rather than observed or inherited: Coronelli is relaying other men's voyages with names, dates and latitudes attached. The crop clipped the left margin, so line openings were not read and no continuous transcription is claimed."
ant-lin-arctic-martens,Northern polar annotation,ant-obj-coronelli-terre-artiche,,internal,independent,reported_not_observed,"The same legend cites Friedrich Martens of Hamburg, who sailed from the Elbe 15 April 1671, pushed through ice toward Spitsbergen and returned 21 August the same year having reached 81 degrees.",established,"Read from the plate at full IIIF resolution 2026-08-25. The northern legend is a voyage register, not a cosmography: this is the evidential material the southern half of the section header has no equivalent of."
ant-lin-southern-fables,Southern lands rejected as fabrications,ant-obj-coronelli-terre-artiche,,internal,independent,conjectured,"At printed p. 76 Coronelli sets out the southern lands he holds to be invented: the Sevarambi, suspect because no author is named and its circumstances are paradoxical; the Isle of Pines, 'per favolosa pure viene tenuta'; Frisquemore, invented in 1650 by two St Malo captains and divided into twelve provinces on paper; and the Terra de' Papagalli. He then generalises to the Strait of Anian, Frisland, Nova Albione, the Isle of St Borondon and Fonseca, on the ground that after their supposed discoveries no one was ever able to find or see them again.",established,Read from Rumsey 12186.107 on the page image 2026-08-25. This is the act's finding: the reason no southern polar plate was cut is not indifference but that Coronelli had just argued most southern claims were fabricated. A cosmographer cannot engrave a plate of lands he has called fables.
ant-lin-polar-islands-mercator,The four polar islands,ant-obj-coronelli-terre-artiche,ant-obj-mercator-1569,antecedent,independent,inherited_cartography,"At printed p. 70 Coronelli describes the inherited north polar scheme of four vast islands around a central rock, reports that their interiors are left blank, and says it cannot be told whether this was sketched from life and actually seen or 'finto dall'imaginatione', naming Mercator and the year 1570 among those who drew it.",established,"Read from Rumsey 12186.100 on the page image 2026-08-25. Coronelli names the year 1570 where our object record carries the 1569 wall map; which issue he means is not established. Recorded as 'independent' because he reports the scheme in order to question its basis, not to reproduce it. This is the inherited-versus-observed distinction made in his own voice, and it is the support ant-clm-coronelli-belief previously lacked."
ant-lin-martens-text-and-plate,Martens 1671 in both text and plate,ant-obj-coronelli-terre-artiche,,internal,independent,reported_not_observed,"Friedrich Martens's 1671 Spitsbergen voyage appears in the plate's central legend, in the essay at printed p. 73 where it is tied to the whale fishery, and in the closing source list at p. 76.",established,"Read 2026-08-25. One named source carrying both the graphic and the textual evidence, which is what the ticket asks for when it requires the two to be analysed together rather than merely cited side by side."
