key,short_citation,full_citation,url,license,accessed,source_type
hse-src-spec,HSE implementation specification,"Terra Chartarum, The League That Left No Map — Hanseatic Essay & GIS Implementation Specification",https://vladsimion.atlassian.net/wiki/spaces/~7012186ee7d7085f34fff9bc2bf8fbe8de309/pages/11665410/,Internal planning document,2026-08-06,project_specification
hse-src-braun-civitates-1,"Braun & Hogenberg, Civitates Orbis Terrarum I (1593)","Georg Braun and Franz Hogenberg (eds), Civitates Orbis Terrarum, vol. 1 (Köln, 1572; cited from the 1593 issue), Universitätsbibliothek Heidelberg, shelfmark A 330 A Folio RES::1-2",https://digi.ub.uni-heidelberg.de/diglit/braun1593bd1,CC Public Domain Mark 1.0,2026-08-07,printed_primary
hse-src-rudimentum-1475,"Rudimentum novitiorum (Lübeck, 1475)","Rudimentum novitiorum (Lübeck: Lucas Brandis, 5 August 1475), Bayerische Staatsbibliothek München, bsb00031549",https://www.digitale-sammlungen.de/en/view/bsb00031549,CC Public Domain Mark 1.0,2026-08-08,printed_primary
hse-src-wubs-mrozewicz-2013,"Wubs-Mrozewicz, The Hanse in Medieval and Early Modern Europe (2013)","Justyna Wubs-Mrozewicz, ‘The Hanse in Medieval and Early Modern Europe: An Introduction’, in Justyna Wubs-Mrozewicz and Stuart Jenks (eds), The Hanse in Medieval and Early Modern Europe (Leiden: Brill, 2013), 1–24",https://doi.org/10.1163/9789004241930_002,CC BY-NC 4.0,2026-08-08,peer_reviewed_chapter
hse-src-unesco-hanse-2017,"Documents on the History of the Hanse nomination dossier (2017)","Archives of the Hanse, Documents on the History of the Hanse, UNESCO Memory of the World International Register nomination dossier (2017)",https://media.unesco.org/sites/default/files/webform/mow001/documents-on-the-history-of-the-hanse_nom_en_0.pdf,"Institutional dossier; item-level rights recorded in the dossier",2026-08-08,institutional_dossier
hse-src-unesco-bryggen,"UNESCO World Heritage Centre, Bryggen","UNESCO World Heritage Centre, ‘Bryggen’, World Heritage List no. 59, statement of Outstanding Universal Value",https://whc.unesco.org/en/list/59,CC BY-SA IGO 3.0,2026-08-08,institutional_site
hse-src-marczinek-2025,"Marczinek, Maurer & Rauch, Networks in trade (2025)","Max Marczinek, Stephan Maurer and Ferdinand Rauch, ‘Networks in trade — Evidence from the legacy of the Hanseatic league’, Journal of International Economics 157 (2025), 104102",https://doi.org/10.1016/j.jinteco.2025.104102,CC BY 4.0,2026-08-08,peer_reviewed_article
hse-src-marczinek-data-2025,"Marczinek, Maurer & Rauch replication data (2025)","Max Marczinek, Stephan Maurer and Ferdinand Rauch, Networks in Trade — Evidence from the Legacy of the Hanseatic League, replication data, Mendeley Data, version 1 (2025)",https://doi.org/10.17632/m3w5by2gdh.1,CC BY 4.0,2026-08-08,research_dataset
hse-src-henn-2017,"Henn, Zuiderzee and IJssel towns at the Hansetage (2017)","Volker Henn, ‘Die Städte an Zuiderzee und IJssel auf den Hansetagen’, Hansische Geschichtsblätter 135 (2017)",https://doi.org/10.21248/hgbll.2017.83,Open-access scholarly article,2026-08-08,peer_reviewed_article
hse-src-geonames-2026,"GeoNames geographical database (2026)","GeoNames, geographical database and cities export, modern settlement coordinates",https://download.geonames.org/export/dump/,CC BY 4.0,2026-08-08,research_dataset
hse-src-lambert-sicking-2025,"Lambert & Sicking, Counts, cities and commerce (2025)","Bart Lambert and Louis Sicking, ‘Counts, cities and commerce: a comparative study of the institutional foundations of international trade in late medieval Flanders, Holland and Zeeland’, Continuity and Change 39.3 (2024), 309–343, published online 2025",https://doi.org/10.1017/S0268416025000049,CC BY 4.0,2026-08-08,peer_reviewed_article
