id,route_id,commodity_id,directionality,certainty,source,notes
hse-route-commodity-lubeck-novgorod-cloth,hse-route-lubeck-visby-novgorod,hse-commodity-cloth,eastbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative corridor association; no volume or share is inferred."
hse-route-commodity-lubeck-novgorod-fur,hse-route-lubeck-visby-novgorod,hse-commodity-fur,westbound,high,hse-src-unesco-hanse-2017,"Novgorod dossier names eastern furs moving west; no volume is inferred."
hse-route-commodity-lubeck-novgorod-salt,hse-route-lubeck-visby-novgorod,hse-commodity-salt,eastbound,high,hse-src-unesco-hanse-2017,"Novgorod dossier names western salt moving east; no volume is inferred."
hse-route-commodity-lubeck-novgorod-wax,hse-route-lubeck-visby-novgorod,hse-commodity-wax,westbound,high,hse-src-unesco-hanse-2017,"Novgorod dossier names eastern wax moving west; no volume is inferred."
hse-route-commodity-lubeck-bergen-beer,hse-route-lubeck-bergen,hse-commodity-beer,northbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative return-cargo family; no volume or exclusive origin is inferred."
hse-route-commodity-lubeck-bergen-grain,hse-route-lubeck-bergen,hse-commodity-grain,northbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative return-cargo family; no volume or exclusive origin is inferred."
hse-route-commodity-lubeck-bergen-stockfish,hse-route-lubeck-bergen,hse-commodity-stockfish,southbound,high,hse-src-unesco-bryggen,"UNESCO identifies stockfish as Bryggen's defining export; no volume is inferred."
hse-route-commodity-hamburg-london-beer,hse-route-hamburg-london,hse-commodity-beer,westbound,medium,hse-src-marczinek-2025,"Qualitative network family; post-1668 Sound Toll flows are not projected into this phase."
hse-route-commodity-hamburg-london-cloth,hse-route-hamburg-london,hse-commodity-cloth,mixed,medium,hse-src-wubs-mrozewicz-2013,"Direction varies by textile origin and grade; no volume is inferred."
hse-route-commodity-hamburg-london-grain,hse-route-hamburg-london,hse-commodity-grain,westbound,medium,hse-src-marczinek-2025,"Qualitative network family; post-1668 Sound Toll flows are not projected into this phase."
hse-route-commodity-baltic-bruges-cloth,hse-route-baltic-bruges,hse-commodity-cloth,eastbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative corridor association; no volume or exclusive origin is inferred."
hse-route-commodity-baltic-bruges-fur,hse-route-baltic-bruges,hse-commodity-fur,westbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative corridor association; no volume or share is inferred."
hse-route-commodity-baltic-bruges-grain,hse-route-baltic-bruges,hse-commodity-grain,westbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative corridor association; no volume or share is inferred."
hse-route-commodity-baltic-bruges-timber,hse-route-baltic-bruges,hse-commodity-timber,westbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative corridor association; no volume or share is inferred."
hse-route-commodity-baltic-bruges-wax,hse-route-baltic-bruges,hse-commodity-wax,westbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative corridor association; no volume or share is inferred."
hse-route-commodity-vistula-grain,hse-route-gdansk-vistula-torun,hse-commodity-grain,northbound,medium,hse-src-marczinek-2025,"Qualitative Vistula association; no flow value from the later Sound Toll series is reused."
hse-route-commodity-vistula-timber,hse-route-gdansk-vistula-torun,hse-commodity-timber,northbound,medium,hse-src-marczinek-2025,"Qualitative Vistula association; no flow value from the later Sound Toll series is reused."
hse-route-commodity-luneburg-lubeck-beer,hse-route-luneburg-lubeck,hse-commodity-beer,mixed,low,hse-src-wubs-mrozewicz-2013,"Secondary qualitative association retained at low certainty; no volume is inferred."
hse-route-commodity-luneburg-lubeck-salt,hse-route-luneburg-lubeck,hse-commodity-salt,northbound,high,hse-src-wubs-mrozewicz-2013,"Direction records the Lüneburg-to-Lübeck association; no tonnage is inferred."
hse-route-commodity-cologne-london-cloth,hse-route-cologne-london,hse-commodity-cloth,mixed,medium,hse-src-wubs-mrozewicz-2013,"Qualitative corridor association; direction varies by textile origin."
hse-route-commodity-cologne-london-metals,hse-route-cologne-london,hse-commodity-metals,westbound,medium,hse-src-wubs-mrozewicz-2013,"Qualitative Rhine corridor association; no volume is inferred."
hse-route-commodity-cologne-london-wine,hse-route-cologne-london,hse-commodity-wine,westbound,medium,hse-src-unesco-hanse-2017,"Rhenish wine is specifically attested in the Bruges charter group; this wider corridor link remains medium certainty."
