stage_id,sequence,place_id,folio,manuscript_label,depicted_days,mode,variant_note,evidence_class,confidence,review_state,source_id,source_locator,notes
cru-itn-01,1,cru-plc-london,pending,London,1,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"The itinerary's own starting point, and the abbey's horizon rather than a traveller's. Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-02,2,cru-plc-dover,pending,Dover,1,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"The last English stage before the sea. Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-03,3,cru-plc-wissant,pending,Wissant,1,sea,The crossing is drawn as a stage like any other.,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"A sea passage rendered in the same units as a day's walk, which is the diagram's most revealing simplification. Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-04,4,cru-plc-beauvais,pending,Beauvais,2,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-05,5,cru-plc-paris,pending,Paris,1,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Drawn larger than its neighbours, as the itinerary's cities generally are when they matter. Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-06,6,cru-plc-beaune,pending,Beaune,4,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-07,7,cru-plc-lyon,pending,Lyon,2,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-08,8,cru-plc-mont-cenis,pending,Mont Cenis,3,pass,"A pass, not a settlement.",manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"The one stage that is an obstacle rather than a destination, and the diagram treats it as a stage anyway. Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-09,9,cru-plc-turin,pending,Turin,2,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-10,10,cru-plc-milan,pending,Milan,3,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-11,11,cru-plc-piacenza,pending,Piacenza,2,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-12,12,cru-plc-bologna,pending,Bologna,2,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-13,13,cru-plc-rome,pending,Rome,6,road,Some witnesses branch here.,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"Rome is a destination in its own right as well as a stage, and the itinerary handles that by drawing it twice as large. Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
cru-itn-14,14,cru-plc-otranto,pending,Otranto,8,road,,manuscript_depiction,low,raw,cru-mp-royal-14-c-vii,pending,"The end of the drawn road. What lies beyond is sea, and the itinerary stops. Recorded from the itinerary's published description, not from the folio. The manuscript label and the day-mark are untranscribed."
