debt_id,kind,subject_id,statement,raised_in,blocks,resolution_path,status
vd-honterus-orientation,verification,ccd-a,The orientation of the 1532 Honterus Chorographia resists verification and is marked uncertain rather than asserted.,public/embed/dacia/index.html,ccd-a:research,Consult the surviving impression once located.,open
vd-honterus-impression,verification,ccd-a,The single known print is recorded as 'likely Budapest'; the holding institution is not confirmed.,public/embed/dacia/index.html,ccd-a:research,Confirm the repository and shelfmark before any survival_unknown attestation is resolved.,open
vd-drobeta-ptolemy,verification,ccd-a,Drobeta cannot securely be matched to an entry in Ptolemy's catalogue of forty-four poleis.,public/embed/dacia/index.html,ccd-a:data,Record as source_silent at low confidence unless an edition settles the identification.,open
vd-vicina-site,verification,ccd-a,The exact site of Vicina is unsettled in the literature.,public/embed/dacia/index.html,ccd-a:data,Carry as scholarly_reconstruction with competing candidates rather than one point.,open
vd-hiatus-witness-review,verification,ccd-b,The KAN-349 timeline is normalized but no witness scope or absence state has been reviewed by a named researcher.,docs/dacia/hiatus-timeline.md,ccd-b:data,"Select bounded samples, review source scope and locators, then promote individual states; do not bulk-promote the timeline.",open
vd-carta-rubra-claim-review,verification,ccd-d,"The KAN-354 source and claim ledgers are candidate research records, not reviewed interpretations of territorial advocacy.",docs/dacia/carta-rubra-evidence-package.md,ccd-d:research,"Review each high-importance claim against the cited map, legend, text, or diplomatic record and name the reviewer.",open
vd-borroczyn-production-witness,rights,ccd-e,No high-resolution Borroczyn or later comparison witness currently combines adequate parcel detail with a production-wide reuse grant.,docs/dacia/borroczyn-seam-source-package.md,ccd-e:rights,"Obtain a production-resolution reproduction and written reuse terms from the holding institution, or document a rights-cleared equivalent witness.",open
vd-roman-baseline-geometry,verification,ccd-gis,No line in the Roman Dacia baseline is digitised from a survey or an open licensed dataset. Roads are straight joins between attested stations and the three frontier corridors are drawn by this project at provincial scale.,data/dacia/gis/roman-dacia.csv,ccd-a:data,"Replace the drawn corridors with digitised geometry from a licensed source, or cite a reusable dataset, and raise the provenance class from editorial_reconstruction accordingly. Until then this blocks Terra Sigillata's data gate: the roman-dacia baseline is the trench's Roman-era spatial evidence, and an editorial_reconstruction corridor is not yet a passable answer to that gate's question.",open
vd-principality-envelopes,verification,ccd-gis,"The principality rings are schematic envelopes, not delimitations. Two known simplifications are recorded: the Budjak and Cetatea Alba are not separated from Moldavia before 1775, and the southern Bessarabian districts returned in 1856 are not drawn as their own phase.",data/dacia/gis/principalities.csv,ccd-f:data,"Cut the two missing phases and reconcile the rings against a delimitation source before any layer here is cited as a boundary. Until then this blocks Dacia Rediviva's data gate: Trench F argues over how antiquity has been used in territorial claims, and the principality envelopes are its spatial register for that argument.",open
vd-josephinian-sheet-ids,verification,ccd-gis,Every sheet in the Josephinian index carries archive_sheet_id 'pending': the footprints are a reconstructed graticule and no row has been matched to the Kriegsarchiv's own sheet number.,data/dacia/gis/josephinian-sheets.csv,ccd-a:research,Match each footprint to its Kriegsarchiv sheet number and replace the reconstructed graticule with the archive's index geometry.,open
