expedition_id,display_name,commander,vessels,year_from,year_to,sponsor,act,source_ids,review_state,notes
ant-exp-cook-second,Cook's second voyage,James Cook,Resolution|Adventure,1772,1775,British Admiralty,act_iv,ant-src-cook-voyage-1777|ant-src-beaglehole-journals-ii,raw,"The voyage that bounds the blank. Furneaux in Adventure separated from Cook in 1773, so a single track would misrepresent two ships."
ant-exp-bellingshausen,Russian Antarctic expedition,Fabian Gottlieb von Bellingshausen,Vostok|Mirny,1819,1821,Imperial Russian Navy,act_v,ant-src-debenham-bellingshausen|ant-src-bulkeley-bellingshausen,raw,"Read here through Debenham's English edition, which is a dependence the priority discussion has to declare."
ant-exp-wilkes,United States Exploring Expedition,Charles Wilkes,Vincennes|Porpoise|Peacock|Flying Fish,1838,1842,United States Navy,act_v,ant-src-wilkes-narrative-1844,raw,"Charted a long southern coast, some of which was later removed and some of which was not."
ant-exp-ross,Ross Antarctic expedition,James Clark Ross,Erebus|Terror,1839,1843,British Admiralty,act_v,ant-src-ross-voyage-1847,raw,"The first sustained survey in the dataset, and the expedition that sailed across positions Wilkes had charted as land."
ant-exp-ite,Imperial Trans-Antarctic Expedition,Ernest Shackleton,Endurance|Aurora,1914,1917,Private and public subscription,act_viii,ant-src-shackleton-south-1919|ant-src-worsley-endurance-1931,raw,"Frank Worsley navigated Endurance and the James Caird; the navigation, not the endurance, is what Act VIII is about."
ant-exp-bransfield,"Bransfield and Smith, Williams",Edward Bransfield,Williams,1819,1820,Royal Navy charter,act_v,ant-src-gurney-below-convergence|ant-src-headland-chronology,raw,A survey voyage chartered after Smith's earlier sighting of the South Shetlands. One of the three parties advanced as first to see the mainland.
ant-exp-palmer,"Palmer, Hero",Nathaniel Palmer,Hero,1820,1821,American sealing voyage,act_v,ant-src-gurney-below-convergence,raw,"A sealing voyage, which is why its record is thinner than the naval ones and why the priority argument around it turns on what a commercial log counts as."
ant-exp-weddell,Weddell's second southern voyage,James Weddell,Jane|Beaufoy,1822,1824,British sealing voyage,act_v,ant-src-weddell-voyage-1825,raw,"Reached an exceptional southern latitude in open water, in a season whose ice conditions were not typical. The sea later named for him is the one Endurance is beset in."
ant-exp-foster,"Foster, Chanticleer",Henry Foster,Chanticleer,1828,1829,Royal Navy,act_v,ant-src-headland-chronology,raw,"A pendulum and magnetic survey rather than a discovery voyage, and named on both cumulative ice charts. Included because Act VII is about what gets compiled, not about who saw land."
ant-exp-biscoe,"Biscoe, Tula and Lively",John Biscoe,Tula|Lively,1830,1832,Enderby Brothers,act_v,ant-src-headland-chronology,raw,"A commercial voyage that produced coast, which is the combination the discovery historiography handles worst."
ant-exp-balleny,"Balleny, Eliza Scott and Sabrina",John Balleny,Eliza Scott|Sabrina,1838,1839,Enderby Brothers,act_v,ant-src-headland-chronology,raw,Named on both ice charts for the 1839 season.
ant-exp-durville,Dumont d'Urville's southern voyage,Jules Sebastien Cesar Dumont d'Urville,Astrolabe|Zelee,1837,1840,French Navy,act_v,ant-src-durville-voyage,raw,One of three expeditions working the same coast in the 1840 season. The overlap is the point: three national accounts of weeks that each claims differently.
ant-exp-belgica,Belgian Antarctic Expedition,Adrien de Gerlache,Belgica,1897,1899,Belgian subscription,act_vii,ant-src-headland-chronology,raw,"The first vessel to winter in the Antarctic pack, and a candidate for Act VII only if its survey work can be shown on a chart."
ant-exp-discovery,British National Antarctic Expedition,Robert Falcon Scott,Discovery,1901,1904,Royal Society and Royal Geographical Society,act_vii,ant-src-scott-voyage-discovery,raw,"One of the two additions that distinguish the 1910 ice chart from its 1874 predecessor, and dated on the chart's own title as 1901-4."
ant-exp-nimrod,British Antarctic Expedition,Ernest Shackleton,Nimrod,1907,1909,Private subscription,act_vii,ant-src-shackleton-heart-antarctic,raw,"The other addition on the 1910 chart, dated there as 1908-9, and the expedition immediately preceding the Endurance plan."
ant-exp-aae,Australasian Antarctic Expedition,Douglas Mawson,Aurora,1911,1914,Australian and British subscription,act_vii,ant-src-mawson-home-blizzard,raw,"Postdates the 1910 chart, so it is a candidate for Act VII only as evidence of what the chart already needed revising for."
