vocabulary,term,rank,label,definition,status,use_instead_of
attestation_class,exact,,Exact,The witness names the referent in the reference form for its period.,approved,
attestation_class,variant,,Variant,"The witness names the referent in a recognisably same form differing by spelling, script or inflection.",approved,
attestation_class,alternative,,Alternative,The witness names the referent with a materially different name rather than a variant of the reference form.,approved,
attestation_class,textual_only,,Textual only,The referent is named in the source's text or index but does not appear on its map surface.,approved,
attestation_class,mapped_unlabelled,,Mapped unlabelled,The referent is drawn on the map surface but carries no name there.,approved,
attestation_class,extra_muros,,Extra muros,"The referent lies outside the source's declared coverage, so its silence carries no evidential weight.",approved,
attestation_class,source_silent,,Source silent,"The referent lies inside coverage at a scale that would have shown it, and the source still does not name it.",approved,
attestation_class,not_applicable,,Not applicable,"The referent did not yet exist, or had ceased to exist, at the source's date.",approved,
attestation_class,survival_unknown,,Survival unknown,"The witness is lost, unlocated or inaccessible, so the question cannot yet be put to it.",approved,
attestation_class,reconstructed,,Reconstructed,The reading is an editorial restoration rather than something read off a witness.,approved,
confidence,direct,,Direct,"Read from the witness itself by the editor, with a locator.",approved,
confidence,high,,High,Reported by a scholarly edition or catalogue that cites the witness.,approved,
confidence,medium,,Medium,"Supported, but through a chain the editor has not closed to the witness.",approved,
confidence,low,,Low,"Plausible and recorded, but the identification or the reading is contested.",approved,
confidence,editorial_reconstruction,,Editorial reconstruction,Asserted by this project rather than by any source; must never be shown as a source reading.,approved,
geometry_provenance,source_geometry,,Source geometry,Coordinates or a line taken from the source's own graticule or survey.,approved,
geometry_provenance,georeferenced_source,,Georeferenced source,Modern coordinates derived by georeferencing the source image; carries a stated error.,approved,
geometry_provenance,scholarly_reconstruction,,Scholarly reconstruction,Location established by published scholarship rather than by the source.,approved,
geometry_provenance,editorial_reconstruction,,Editorial reconstruction,Location asserted by this project; the weakest class that may still be published.,approved,
geometry_provenance,display_generalisation,,Display generalisation,Geometry simplified or nudged for legibility; never a positional claim.,approved,
date_precision,exact_year,,Exact year,A single year attested by the source or its colophon.,approved,
date_precision,year_range,,Year range,A bounded interval both of whose ends are attested.,approved,
date_precision,circa,,Circa,A conventional approximate date carried by the scholarship.,approved,
date_precision,century,,Century,Resolvable only to a century or part of one.,approved,
date_precision,terminus_post_quem,,Terminus post quem,Not earlier than a known date; the upper bound is open.,approved,
date_precision,terminus_ante_quem,,Terminus ante quem,Not later than a known date; the lower bound is open.,approved,
date_precision,disputed,,Disputed,Competing dates are defended in the literature; requires a recorded editorial decision.,approved,
date_precision,undated,,Undated,No date can responsibly be assigned.,approved,
review_state,raw,0,Raw,As captured. Machine output and unchecked transcription both land here.,approved,
review_state,normalized,1,Normalized,Fields regularised against the vocabularies. Still unreviewed by a human.,approved,
review_state,reviewed,2,Reviewed,A named human has checked the record against its locator.,approved,
review_state,approved,3,Approved,"Cleared for publication: evidence, rights and vocabulary all hold.",approved,
review_state,published,4,Published,Released under a corpus version and cited by at least one trench.,approved,
normalization_method,manual,,Manual,Transcribed and normalised by a human editor.,approved,
normalization_method,rule_based,,Rule based,Produced by a deterministic script whose rules are in the repository.,approved,
normalization_method,imported,,Imported,Taken from an external authority file without re-transcription.,approved,
normalization_method,llm_assisted,,LLM assisted,Drafted with model assistance; cannot pass normalized without a named reviewer.,approved,
rights_statement,public_domain,,Public domain,Out of copyright in the country of origin.,approved,
rights_statement,cc0,,CC0,Dedicated to the public domain by the holder.,approved,
rights_statement,cc_by,,CC BY,Reusable with attribution.,approved,
rights_statement,cc_by_sa,,CC BY-SA,Reusable with attribution under the same licence.,approved,
rights_statement,cc_by_nc,,CC BY-NC,Non-commercial only; does not clear the publication bar.,approved,
rights_statement,cc_by_nd,,CC BY-ND,No derivatives; does not clear the publication bar.,approved,
rights_statement,in_copyright,,In copyright,Protected and not licensed to this project.,approved,
rights_statement,rights_unknown,,Rights unknown,Not yet established; never a publication clearance.,approved,
place_type,settlement,,Settlement,An inhabited place of any size.,approved,
place_type,fortification,,Fortification,"A fort, castrum or citadel treated as its own referent.",approved,
place_type,crossing,,Crossing,"A bridge, ford or ferry point on a river.",approved,
place_type,archaeological_site,,Archaeological site,A site known chiefly through excavation.,approved,
place_type,region,,Region,A named territory rather than a point.,approved,
place_type,waterway,,Waterway,A river or watercourse used as a reference feature.,approved,
region,transylvania,,Transylvania,The intra-Carpathian plateau.,approved,
region,banat,,Banat,"The south-west, between Mureș, Tisa and Danube.",approved,
region,crisana,,Crișana,"The north-west, on the Criș rivers.",approved,
region,maramures,,Maramureș,The far north.,approved,
region,oltenia,,Oltenia,Wallachia west of the Olt.,approved,
region,muntenia,,Muntenia,Wallachia east of the Olt.,approved,
region,moldavia,,Moldavia,Between the Carpathians and the Prut.,approved,
region,dobrogea,,Dobrogea,Between the lower Danube and the Black Sea.,approved,
region,bucovina,,Bucovina,The north-west of historic Moldavia.,approved,
locator_type,page,,Page,A printed page number.,approved,
locator_type,folio,,Folio,A manuscript folio with recto or verso.,approved,
locator_type,sheet,,Sheet,A numbered sheet or segment of a multi-sheet map.,approved,
locator_type,section,,Section,"A named book, chapter or table section.",approved,
locator_type,none,,None,No locator recorded; never sufficient for review.,approved,
script,latn,,Latin,Latin script.,approved,
script,grek,,Greek,Greek script.,approved,
script,cyrl,,Cyrillic,Cyrillic script.,approved,
language,la,,Latin,Latin.,approved,
language,grc,,Ancient Greek,Ancient Greek.,approved,
language,ro,,Romanian,Romanian.,approved,
language,de,,German,German.,approved,
language,hu,,Hungarian,Hungarian.,approved,
language,sl,,Slavic,"Slavic, where the source does not resolve further.",approved,
language,ru,,Russian,Russian.,approved,
language,dac,,Dacian,"Dacian, as transmitted through another language's script.",approved,
language,und,,Undetermined,Language not asserted for an authority-file display label.,approved,
evidence_regime,ptolemaic,,Ptolemaic,Present in the coordinate catalogue tradition.,approved,
evidence_regime,itinerary,,Itinerary,Present in road-books and station lists.,approved,
evidence_regime,roman_epigraphic,,Roman epigraphic,Attested by inscriptions or military diplomas.,approved,
evidence_regime,medieval_textual,,Medieval textual,"Attested by charters, chronicles or registers rather than maps.",approved,
evidence_regime,portolan,,Portolan,Present in the coastal chart tradition.,approved,
evidence_regime,early_modern_print,,Early modern print,Present in printed maps before the systematic surveys.,approved,
evidence_regime,habsburg_survey,,Habsburg survey,Covered by the systematic military surveys.,approved,
evidence_regime,modern_survey,,Modern survey,Covered by geodetic and contemporary survey.,approved,
selection_axis,roman_centre,,Roman centre,"A colonia, municipium or provincial administrative seat.",approved,
selection_axis,frontier_site,,Frontier site,A limes fort or frontier installation.,approved,
selection_axis,danube_crossing,,Danube crossing,"A bridge, ford or ferry point on the Danube.",approved,
selection_axis,transylvanian,,Transylvanian,Inside the Carpathian ring.,approved,
selection_axis,wallachian,,Wallachian,In Oltenia or Muntenia.,approved,
selection_axis,moldavian,,Moldavian,In historic Moldavia.,approved,
selection_axis,black_sea,,Black Sea,On or near the Black Sea littoral.,approved,
selection_axis,medieval_textual,,Medieval textual,Carries strong medieval textual evidence.,approved,
selection_axis,name_variation,,Name variation,Carries significant variation of name across languages or periods.,approved,
selection_axis,unlocated,,Unlocated,The site itself is unsettled in the literature.,approved,
geometry_provenance,modern_reference,,Modern reference,"The living settlement's own coordinates, used as a reference point rather than as a historical claim.",approved,
location_status,located,,Located,A reference location can responsibly be given.,approved,
location_status,unlocated,,Unlocated,The site is unsettled in the literature; the record carries no coordinates rather than a guess.,approved,
source_family,coordinate_catalogue,,Coordinate catalogue,Places fixed as numbers rather than drawn.,approved,
source_family,itinerary,,Itinerary,Road-books and station lists; topology rather than geometry.,approved,
