map_object_id,act,cluster,title,creator,date_label,year,publication_context,edition_state,dimensions,repository,repository_url,persistent_id,accession_number,scan_source,rights_status,rights_basis_url,reproduction_use,verification_state,review_status,source_id,role_in_essay,notes,reviewer,review_date
ant-obj-fine-1531,act_i,foundation,"Nova, et integra universi orbis descriptio",Oronce Fine,1531,1531,"Double-cordiform world map, Paris",State not established,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,,The southern continent drawn as a coherent landmass on a map of the whole world.,"The canonical Terra Australis image for Act I. No holding copy, state or scan has been identified, so it is a candidate and not yet a usable object.",,
ant-obj-mercator-1569,act_i,foundation,Nova et aucta orbis terrae descriptio ad usum navigantium emendate accommodata,Gerardus Mercator,1569,1569,Duisburg; multi-sheet wall map,Surviving copies differ; none selected,,,https://www.bnf.fr/,,,,public_domain_work,https://www.bnf.fr/,undetermined,unverified,candidate,,The projection that fixes the southern continent into the working chart of navigators.,Only a handful of copies survive and they are not identical. Act I must name the copy it reproduces or use a documented facsimile and say so.,,
ant-obj-ortelius-typus-1570,act_i,foundation,Typus Orbis Terrarum,Abraham Ortelius,1570,1570,"Theatrum Orbis Terrarum, Antwerp",Plate state and issue not established,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,,The atlas world map through which Terra Australis reaches its widest audience.,Ortelius reworked this plate repeatedly and the southern coast is not identical across states. The state matters to the argument and is not yet known.,,
ant-obj-blaeu-world,act_ii,foundation,"Blaeu world map (comparator, exact object to be selected)",Willem or Joan Blaeu,17th century,1630,To be established,Not selected,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,,A seventeenth-century comparator showing the southern coast after the Ortelius generation.,Included only if it marks a distinct evidentiary stage. If it merely repeats Ortelius it should be dropped rather than shown as filler.,,
ant-obj-coronelli-globe-1688,act_iii,coronelli,"Globo della Terra di tre piedi, e mezzo di diametro - printed gores and polar calottes",Vincenzo Maria Coronelli,1688,1688,"Venice, Accademia Cosmografica degli Argonauti; 24 gores and 2 polar calottes for a terrestrial globe of 42 inches (107 cm) diameter","David Rumsey copy of the State Library of New South Wales set, publication 10070; south polar calotte list no. 10070.026, north polar calotte 10070.025","Calotte 36 x 36 cm; assembled globe 107 cm diameter; scale 1:11,458,33",State Library of New South Wales (the printed gores); David Rumsey Historical Map Collection (the images),https://www.davidrumsey.com/,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~288604~90060290,10070.026,"David Rumsey IIIF image service, 13744 x 13850; south polar calotte examined at full resolution 2026-08-27. Images provided by the State Library of New South Wales, where the original printed gores reside.",public_domain_work,https://www.davidrumsey.com/,undetermined,verified,candidate,ant-src-coronelli-atlante-veneto,"Coronelli's world in the round, and the one southern surface he could not leave blank without leaving a hole.","Located and examined 2026-08-27, replacing the Rumsey blog record that stood here as a placeholder. The south polar calotte carries no land at all: meridians radiating from the pole and concentric parallels, and no coastline anywhere on the cap. The title is engraved around the pole as 'POLO ANTARTICO O SIA MERIDIONALE'. The space is filled instead by a large allegorical cartouche whose text is a narrative of Magellan - 237 men from Charles V, five ships out of Seville on 10 August 1519, the strait found on 31 March, the Vittoria home in 1522 after 14,460 leagues - and, around the rim and in a left-hand panel headed 'Del Sito, Distanza, Divisione, e Differenti Habitatori della Terra', the five climatic zones and their inhabitants. Those are the only two prose blocks on the sheet. This is the constraint argument's best evidence: on a globe the southern cap must be engraved with something, and what Coronelli engraved there was history and cosmographical apparatus rather than conjectured coast, which is the same judgement the Atlante Veneto essay makes in words at printed p. 75. rights_status records the 1688 work, not the scan: reproduction_use stays undetermined because the images are supplied by the State Library of New South Wales and their terms have not been read. review_status stays source_checked; the record has been read but not reviewed by a person.",,
ant-obj-coronelli-terre-artiche,act_iii,coronelli,Terre Artiche,Vincenzo Maria Coronelli,1693,1693,"Atlante Veneto, Tomo I, Venice; Rumsey publication 12186, plate 12186.101","David Rumsey copy, list no. 12186.101; plate state not further established","46 x 61 cm; scale 1:12,200,000",David Rumsey Historical Map Collection,https://www.davidrumsey.com/,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~303154~90060722,12186.101,"David Rumsey IIIF image service, 12365 x 7744; plate examined at full resolution 2026-08-25",public_domain_work,https://www.davidrumsey.com/,undetermined,verified,source_checked,ant-src-coronelli-atlante-veneto,"The plate Act III actually has: a north polar sheet crowded with named voyages, set against a southern polar section that received no plate at all.","Examined 2026-08-25 at full IIIF resolution: Arctic to the neatline, north polar azimuthal projection on a double-page spread, with the gutter falling through the pole. Dedication cartouche to Conte Ercole Pepoli, Senator of Bologna and Venetian patrician. The legend inside the central mountain ring records Hugh Willoughby ('Vgone Willogheo') at 76 degrees, a Spitsbergen overwintering party of seven that sailed 30 August 1633 and returned without profit 26 May 1634, and Friedrich Martens of Hamburg, who left the Elbe 15 April 1671 and returned 21 August the same year having reached 81 degrees. Replaces the former ant-obj-coronelli-terre-polari, whose persistent_id resolved to Rumsey 1012.002, a 1929 Touring Club Italiano plate; no Coronelli map plate of that title exists in the Rumsey catalogue. Reproduction stays undetermined: the object is verified, but clearing a plate for DeepZoom is a publication decision and the pilot's public tier is empty until a person reviews the record. Tied to the text 2026-08-25: Friedrich Martens's 1671 Spitsbergen voyage appears both in this plate's central legend and in the accompanying essay at printed p. 73 and in its closing source list at p. 76, which is the plate and the text resting on one named source.",,
ant-obj-coronelli-polo-artiche,act_iii,coronelli,Polo Artiche,Vincenzo Maria Coronelli,1693,1693,"Atlante Veneto, Tomo I, Venice; Rumsey publication 12186, plate 12186.104","David Rumsey copy, list no. 12186.104; plate state not established","39 x 39 cm; scale 1:12,000,000",David Rumsey Historical Map Collection,https://www.davidrumsey.com/,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~303157~90060725,12186.104,David Rumsey Historical Map Collection (catalogue record read; image not examined),public_domain_work,https://www.davidrumsey.com/,undetermined,partially_verified,candidate,ant-src-coronelli-atlante-veneto,"The second of the two Arctic plates, which is what makes the northern weighting of the section structural rather than incidental.","Catalogue record read 2026-08-25: atlas map, World Area Arctic, 39 x 39 cm, scale 1:12,000,000. The plate itself has not been examined, so nothing may be said about what it shows beyond its Rumsey classification.",,
ant-obj-coronelli-atlante-polar,act_iii,coronelli,Atlante Veneto polar material (exact plates to be identified),Vincenzo Maria Coronelli,1690-1701,1691,"Atlante Veneto, Venice",Volume and plate not identified,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,ant-src-coronelli-atlante-veneto,"The publication context that shows the polar plates were part of a comprehensive world, not a curiosity.","Still a placeholder. Narrowed 2026-08-25: four candidate plates have been proposed for audit (a south polar calotte gore, Planisfero Meridionale, Costellazioni Celesti del Polo Antartico, and the western America Meridionale sheet, of which only the last is confirmed to exist as Rumsey 12186.097). None has been verified. Tracked as ant-gap-atlante-plates; it must resolve to named plates or be deleted.",,
ant-obj-cook-southern-hemisphere-1777,act_iv,cook,"A Chart of the Southern Hemisphere, according to the latest Discoveries with the Tracks of the Resolution, Captn Cook and the Adventure, Captn Furneaux, from 1772 to 1775","William Whitchurch (engraver), after James Cook",10 March 1777,1777,"Issued with A Voyage towards the South Pole, London: Strahan and Cadell, 1777",Etching as issued with the 1777 publication,Sheet 660 x 680 mm,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,PAI4123,Royal Museums Greenwich collections online,rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,research_only,verified,candidate,ant-src-cook-voyage-1777,The hinge object of the whole essay: the tracks that bound the blank.,"Catalogue record read during this audit and the fields above transcribed from it. The record states no licence; it offers print sales and image licensing through RMG Images, so reproduction is research_only until terms are obtained in writing.",,
ant-obj-cook-southern-hemisphere-1777-alt,act_iv,cook,"A chart of the Southern Hemisphere according to the latest discoveries: with the tracks of the Resolution, Capn Cook: and the Adventure Capn Furneaux from 1772 to 1775","Johann George Forster; William Whitchurch (engraver), after James Cook",1777,1777,Second Greenwich record of the same chart,A second Greenwich impression of the same plate; state not established,Between neat lines 59 cm diameter; plate mark 63 x 67 cm; sheet 64 x 71 cm,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-543571,G201:3/3,Royal Museums Greenwich collections online,rights_review_required,https://www.rmg.co.uk/,research_only,verified,candidate,ant-src-rmg-cook-chart-g201,"The second impression, and the record that names Forster.","Catalogue record read during the ANT-5 audit. This record credits Johann George Forster alongside Whitchurch, which PAI4123 does not, and gives different measurements: 59 cm between neat lines against PAI4123's 660 x 680 mm sheet. Two impressions of one plate catalogued differently, so the essay must name which copy it reproduces. Closes ant-gap-cook-copy-choice.",,
