pilot_rank,place_id,reference_name,region,place_type,selection_axis,evidence_regime,trench_a_pit,rationale
1,plc-sarmizegetusa-regia,Sarmizegetusa Regia,transylvania,archaeological_site,roman_centre|transylvanian|name_variation,ptolemaic|roman_epigraphic|early_modern_print,sarmizegetusa,"The Dacian royal seat; the referent Trench A's pit conflates with the colonia."
2,plc-ulpia-traiana-sarmizegetusa,Colonia Ulpia Traiana Sarmizegetusa,transylvania,archaeological_site,roman_centre|transylvanian|name_variation,itinerary|roman_epigraphic|early_modern_print,sarmizegetusa,"The Roman colonia where the test pit is actually sunk."
3,plc-apulum,Apulum,transylvania,settlement,roman_centre|transylvanian|name_variation|medieval_textual,ptolemaic|itinerary|medieval_textual|habsburg_survey,apulum,"Five names on one hill; the densest naming sequence in the trench."
4,plc-napoca,Napoca,transylvania,settlement,roman_centre|transylvanian|name_variation|medieval_textual,ptolemaic|itinerary|medieval_textual|habsburg_survey,napoca,"A Roman name retired for eighteen centuries and re-attached by decree."
5,plc-drobeta,Drobeta,oltenia,crossing,roman_centre|danube_crossing|frontier_site|wallachian,itinerary|roman_epigraphic|early_modern_print|modern_survey,drobeta,"The Danube crossing of Trajan's bridge; the pit straddles the river road."
6,plc-potaissa,Potaissa,transylvania,settlement,roman_centre|transylvanian|name_variation,itinerary|roman_epigraphic|medieval_textual,,"Legionary base under a living town; tests continuity of occupation against naming."
7,plc-porolissum,Porolissum,transylvania,archaeological_site,roman_centre|frontier_site|transylvanian,ptolemaic|itinerary|roman_epigraphic,,"The northern limes command; the terminus of the road through Napoca."
8,plc-ampelum,Ampelum,transylvania,settlement,roman_centre|transylvanian,roman_epigraphic|medieval_textual,,"Seat of the gold administration; an administrative rather than military centre."
9,plc-tibiscum,Tibiscum,banat,archaeological_site,roman_centre|frontier_site,itinerary|roman_epigraphic,,"Road junction named on the Peutinger strip; tests itinerary-only attestation."
10,plc-micia,Micia,transylvania,archaeological_site,frontier_site|transylvanian,roman_epigraphic|itinerary,,"Auxiliary fort and customs point on the Mureș."
11,plc-bologa,Bologa,transylvania,archaeological_site,frontier_site|transylvanian,roman_epigraphic,,"Limes Porolissensis fort attested chiefly by inscription and excavation."
12,plc-arcidava,Arcidava,banat,archaeological_site,frontier_site,itinerary|roman_epigraphic,,"On the Lederata road; a -dava name carried into Latin sources."
13,plc-dierna,Dierna,banat,crossing,danube_crossing|frontier_site,itinerary|roman_epigraphic|early_modern_print,,"Danube crossing at the Iron Gates approach."
14,plc-sucidava,Sucidava,oltenia,archaeological_site,danube_crossing|frontier_site|wallachian,ptolemaic|roman_epigraphic|itinerary,,"Constantine's bridgehead; a crossing that outlived the province."
15,plc-romula,Romula,oltenia,archaeological_site,roman_centre|wallachian,roman_epigraphic|itinerary,,"The Malva administrative centre south of the Carpathians."
16,plc-giurgiu,Giurgiu,muntenia,crossing,danube_crossing|wallachian|medieval_textual|name_variation,medieval_textual|early_modern_print|modern_survey,,"Genoese San Giorgio, Ottoman Yergöğü, Romanian Giurgiu on one crossing."
17,plc-braila,Brăila,muntenia,settlement,danube_crossing|wallachian|medieval_textual|name_variation,portolan|medieval_textual|early_modern_print,,"Ibrail under Ottoman administration; a Danube port with a long charter record."
18,plc-isaccea,Isaccea,dobrogea,crossing,danube_crossing|black_sea|name_variation,roman_epigraphic|medieval_textual|portolan,,"Noviodunum, later Vicina's neighbour; a delta crossing with layered names."
19,plc-histria,Histria,dobrogea,archaeological_site,black_sea|medieval_textual,roman_epigraphic|ptolemaic,,"Greek foundation on the littoral; silted out of use and out of the charts."
20,plc-tomis,Tomis,dobrogea,settlement,black_sea|name_variation|medieval_textual,ptolemaic|roman_epigraphic|portolan|modern_survey,,"Tomis, Constantia, Küstence, Constanța: continuous occupation, discontinuous naming."
21,plc-callatis,Callatis,dobrogea,settlement,black_sea|name_variation,ptolemaic|roman_epigraphic|portolan,,"Callatis and Mangalia over the same harbour."
22,plc-vicina,Vicina,dobrogea,settlement,black_sea|unlocated|medieval_textual,portolan|medieval_textual,,"Well attested and unlocated; the pilot's control case for an unsettled site."
23,plc-cetatea-alba,Cetatea Albă,moldavia,settlement,black_sea|moldavian|name_variation|medieval_textual,portolan|medieval_textual|early_modern_print,,"Moncastro, Akkerman, Bilhorod: the most name-variant fortress on the littoral."
24,plc-chilia,Chilia,moldavia,crossing,danube_crossing|black_sea|moldavian|name_variation,portolan|medieval_textual,,"Licostomo and Kilia contested between charts and chronicles."
25,plc-sibiu,Sibiu,transylvania,settlement,transylvanian|name_variation|medieval_textual,medieval_textual|early_modern_print|habsburg_survey,,"Cibinium, Hermannstadt, Nagyszeben, Sibiu across four record traditions."
26,plc-brasov,Brașov,transylvania,settlement,transylvanian|name_variation|medieval_textual,medieval_textual|early_modern_print|habsburg_survey,,"Corona, Kronstadt, Brassó, Brașov; Honterus's own town."
27,plc-sighisoara,Sighișoara,transylvania,settlement,transylvanian|name_variation|medieval_textual,medieval_textual|early_modern_print|habsburg_survey,,"Castrum Sex, Schässburg, Segesvár; a name attested first as a number."
28,plc-bistrita,Bistrița,transylvania,settlement,transylvanian|name_variation|medieval_textual,medieval_textual|early_modern_print|habsburg_survey,,"Nösen and Bistritz over a Slavic hydronym."
29,plc-medias,Mediaș,transylvania,settlement,transylvanian|name_variation|medieval_textual,medieval_textual|habsburg_survey,,"A Saxon seat with a compact and well-dated charter record."
30,plc-hunedoara,Hunedoara,transylvania,settlement,transylvanian|name_variation|medieval_textual,medieval_textual|early_modern_print|habsburg_survey,,"Vajdahunyad and Eisenmarkt; a castle name and a trade name for one place."
31,plc-oradea,Oradea,crisana,settlement,name_variation|medieval_textual,medieval_textual|early_modern_print|habsburg_survey,,"Varadinum, Nagyvárad, Grosswardein on the western approach."
32,plc-timisoara,Timișoara,banat,settlement,name_variation|medieval_textual,medieval_textual|early_modern_print|habsburg_survey,,"Temesvár and Temeschwar; an Ottoman eyalet seat then a Habsburg fortress."
33,plc-targoviste,Târgoviște,muntenia,settlement,wallachian|medieval_textual,medieval_textual|early_modern_print,,"Wallachian princely seat with a dense internal charter record."
