id,event_type,title,place_id,valid_from,valid_to,actor,target,commodity_scope,summary,source,certainty,notes
hse-institution-novgorod-second-schra,kontor_rule,Second Novgorod Schra phase,novgorod,1295,1295,Overseas merchant community at Peterhof,Merchants using Peterhof,not_applicable,"The selected Riga copy records 64 articles governing an oath-bound merchant community and later interaction with Diet regulation.",hse-src-unesco-hanse-2017,high,"1295 is the dossier's selected documentary date; it is not a foundation date for the Kontor or Hanse."
hse-institution-first-regular-hansetag,hansetag,Beginning of the regular general-diet record,lubeck,1356,1361,Hanseatic towns,Participating and represented towns,not_applicable,"The evidence window preserves the difference between a modern synthesis dating regular Diets from 1356 and the surviving copied recess series beginning in 1361.",hse-src-wubs-mrozewicz-2013,medium,"A date range is used because the first Hansetag is disputed; no foundation event is asserted."
hse-institution-bruges-dordrecht-1358,kontor_relocation,Temporary relocation from Bruges to Dordrecht,bruges,1358,1360,Hanseatic merchants,Flemish and Holland host authorities,mixed_goods,"Hanseatic merchants moved their Kontor from Bruges to Dordrecht for two years while negotiating commercial treatment.",hse-src-lambert-sicking-2025,high,"The event is a temporary institutional relocation and not a transfer of sovereignty."
hse-institution-ijssel-attendance-1367,hansetag,Zuiderzee and IJssel towns enter the documented Diet record,deventer,1367,1367,Harderwijk Elburg Kampen Deventer and associated towns,Hanseatic Diet,not_applicable,"Henn identifies 1367 as the first recorded Diet attendance for Harderwijk, Elburg, Kampen and Deventer in the study group.",hse-src-henn-2017,high,"The row records attendance and does not label the towns as members."
hse-institution-denmark-conflict-1368,conflict,Cologne Confederation conflict with Denmark,lubeck,1368,1370,Cologne Confederation,Kingdom of Denmark,mixed_goods,"A coalition overlapping only partly with the wider Hanse pursued conflict against Denmark before the Peace of Stralsund.",hse-src-wubs-mrozewicz-2013,medium,"The actor is named narrowly to avoid treating the confederation and the Hanse as identical."
hse-institution-stralsund-peace-1370,peace_treaty,Peace of Stralsund,stralsund,1370,1370,Cologne Confederation and allied towns,Kingdom of Denmark,mixed_goods,"The treaty instruments dated 24 May 1370 record peace and renewed or expanded trading privileges.",hse-src-unesco-hanse-2017,high,"The familiar high-point interpretation remains qualified in the chronology ledger."
hse-institution-flanders-embargo-1388,embargo,Ordinance forbidding trade with Flanders,bruges,1388,1392,Hanseatic Diet,Flemish merchants and goods,mixed_goods,"In May 1388 the Hanse left Flanders and forbade trade with Flemish merchants or goods that had passed through the county.",hse-src-lambert-sicking-2025,high,"The source documents widespread evasion; the row does not imply perfect enforcement."
hse-institution-bruges-return-1392,kontor_relocation,Return of the Kontor to Bruges,bruges,1392,1392,Hanseatic merchants,Bruges and Flemish authorities,mixed_goods,"After compensation and renewed concessions, Hanseatic merchants returned from Dordrecht and re-established their Kontor in Bruges in December 1392.",hse-src-lambert-sicking-2025,high,"The return followed a negotiated settlement rather than a territorial acquisition."
hse-institution-bruges-house-1458,privilege_granted,Bruges building and House of Nations rights,bruges,1458,1458,Bruges and Burgundian host authorities,Hanseatic merchants,mixed_goods,"Charters granted exclusive building rights at Oosterlingenplein and access to a House of Nations.",hse-src-unesco-hanse-2017,high,"The privilege located merchants inside host-city law and does not constitute territorial sovereignty."
hse-institution-bruges-staple-1487,privilege_confirmed,Bruges staple rights,bruges,1487,1487,Bruges and Burgundian host authorities,Hanseatic merchants,mixed_goods,"A charter confirmed staple rights for Hanseatic merchandise moving through Flanders and Brabant.",hse-src-unesco-hanse-2017,high,"No commodity volume is derived from the legal concession."
