term_id,term,definition,applies_to,distinguishes_from,source_ids,review_status,notes
ant-trm-sighting,sighting,"A reported visual observation of something taken at the time to be land or permanent ice, whether or not it was later confirmed.",observations,ant-trm-confirmed-land,ant-src-bulkeley-bellingshausen,unreviewed,"Deliberately weak. A sighting is a report, and the record of it survives whether the thing seen existed or not."
ant-trm-first-sighting,first sighting,The earliest recorded sighting of any Antarctic land or ice within a stated definition and a stated body of records.,claims,ant-trm-first-mainland-sighting|ant-trm-first-landing,ant-src-bulkeley-bellingshausen|ant-src-gurney-below-convergence,unreviewed,Never usable without both qualifications. Most disputes about 1820 are disputes about which definition and which records are in scope.
ant-trm-first-mainland-sighting,first mainland sighting,"The earliest recorded sighting of continental rock or the continental land surface, as distinct from an ice shelf, ice front or offshore island.",claims,ant-trm-ice-shelf-observation|ant-trm-first-sighting,ant-src-bulkeley-bellingshausen,unreviewed,The distinction on which the Bellingshausen and Bransfield accounts most often turn.
ant-trm-ice-shelf-observation,ice shelf or ice front observation,"An observation of a permanent ice margin, which may be continental in origin but is not a sighting of land.",observations,ant-trm-first-mainland-sighting,,unreviewed,An ice front can be evidence that land lies behind it without being a sighting of that land. The data model keeps the two as separate evidence classes.
ant-trm-first-landing,first landing,The earliest recorded instance of a person standing on Antarctic land or fast ice attached to it.,claims,ant-trm-first-sighting,,unreviewed,"A separate question again, and one where the sealing record is least reliable."
ant-trm-confirmed-land,confirmed land,"A feature whose existence is supported by an independent later observation, not merely by repetition on charts.",features,ant-trm-sighting|ant-trm-reported-geography,,unreviewed,"Repetition between charts is not confirmation, because charts copy one another. This is the same rule the Act II inheritance claim depends on."
ant-trm-discovery,discovery,"A term the programme uses only when quoting a source or naming a historiographical position, never as its own category.",claims,ant-trm-first-sighting|ant-trm-first-landing,,unreviewed,"It bundles seeing, recognising, reporting and being believed, and it carries national priority arguments. The dataset has no discovery field for that reason."
ant-trm-conjectured,conjectured geography,"Land drawn because theory, cosmography or inherited authority implied it should exist, with no report behind it.",features,ant-trm-reported-geography,ant-src-hiatt-terra-incognita,unreviewed,Maps to the evidence class 'conjectured'.
ant-trm-reported-geography,reported geography,Land or ice represented on the strength of testimony that had not been independently confirmed.,features,ant-trm-conjectured|ant-trm-observed-geography,,unreviewed,Maps to the evidence class 'reported_not_observed'. The distinction from conjecture is whether anyone claimed to have seen it.
ant-trm-observed-geography,observed geography,"Coastline, islands, ice or positions directly observed by a named expedition on a stated date.",features|observations,ant-trm-reported-geography|ant-trm-surveyed-geography,,unreviewed,Maps to the evidence class 'direct_observation'. Observation is not accuracy: an observed position can still be wrong.
ant-trm-surveyed-geography,surveyed or reconciled geography,"Observations combined, corrected and fitted into a more stable cartographic model.",features,ant-trm-observed-geography,,unreviewed,"The 1910 ice chart is the programme's type specimen. A reconciliation is a dated act, not a neutral summary."
ant-trm-ghost-geography,ghost or disproved geography,"A feature later rejected, relocated or shown to be ice, mirage, error or inherited speculation, preserved with its original claim intact.",features,ant-trm-conjectured,ant-src-johnson-phantom-islands,unreviewed,Later status and original evidence are separate fields. A ghost feature is never stored merely as an error.
ant-trm-instrumental-fix,instrumental fix,"A position derived from celestial observation with an instrument and a timekeeper, on a stated date.",observations,ant-trm-dead-reckoning,ant-src-cotter-nautical-astronomy,unreviewed,"Maps to the evidence class 'instrumental_fix'. Carries its own uncertainty, which is not zero."
ant-trm-dead-reckoning,dead reckoning,"A position inferred from a previous position together with course, speed and elapsed time.",observations,ant-trm-instrumental-fix|ant-trm-editorial-interpolation,ant-src-cotter-nautical-astronomy,unreviewed,Historical inference made at the time by the navigator. Its error accumulates with distance from the last fix.
ant-trm-editorial-interpolation,editorial interpolation,A position or line segment supplied by Terra Chartarum to join records the sources leave apart.,features|tracks,ant-trm-dead-reckoning,,unreviewed,"Ours, not theirs. Dead reckoning is a historical act by a named navigator; interpolation is a present-day drawing decision and must never be styled as evidence."
ant-trm-reported-sinking-position,reported sinking position,"The coordinate recorded by the expedition for the loss of Endurance, as published in a named account.",claims|observations,ant-trm-wreck-position,ant-src-worsley-endurance-1931,unreviewed,"A calculated result with its own uncertainty, and the Coda's whole subject. It is not the ship's true position and must never be labelled as one."
ant-trm-wreck-position,wreck position,"The seabed location of the wreck as established by the 2022 search and, where designated, by the Antarctic Treaty historic site record.",claims,ant-trm-reported-sinking-position,ant-src-hsm-93,unreviewed,"Held as unresolved. Reporting seen during the audit used one set of coordinates for both terms, which is exactly the confusion this pair of definitions exists to prevent."
