role_id,sequence,role_kind,display_name,date_from,date_to,date_precision,place_ids,evidence_class,geometry_provenance,confidence,review_state,source_id,source_locator,catalogue_object_id,vmn_reference,notes
cru-jer-psalter-centre,1,sacred_centre,Jerusalem at the centre of a world image,1250,1250,year,cru-plc-jerusalem,world_image,not_spatial,medium,raw,cru-jer-psalter,pending,religion-psalter,,"A world drawn as a disc with Jerusalem at its middle, made in England within a few years of the itinerary. The centrality is a statement about what the world is arranged around, and it has no position: giving this record a coordinate at 31.78N would answer the question the essay asks."
cru-jer-hereford-centre,2,sacred_centre,"The same centre, on a monumental skin",1300,1300,year,cru-plc-jerusalem,world_image,not_spatial,medium,raw,cru-jer-hereford,pending,hereford,,Recorded as a second witness rather than as a better one. Two independent objects a half-century apart make the centring a convention; one would make it an example.
cru-jer-itinerary-aim,3,pilgrimage_destination,The destination the drawn road does not reach,1250,1259,year,cru-plc-jerusalem|cru-plc-otranto,manuscript_depiction,not_spatial,medium,raw,cru-mp-royal-14-c-vii,pending,religion-matthew-paris,,"The itinerary stops at Otranto, where the road stops. What lies beyond is a sea the diagram has no units for, and the destination is carried by the direction of the columns rather than by anything drawn. This record cites the Road proof's own witness: the registers are views of one corpus, not separate corpora."
cru-jer-jaffa-landfall,4,network_node,Jaffa: where a pilgrim actually landed,1099,1268,year,cru-plc-jaffa,network_inference,modern_reference,medium,raw,cru-jer-burchard,pending,,,"The sacred centre is reached through a working port and a day's road inland. The position is the modern town's, as everywhere in this corpus."
cru-jer-acre-capital,5,network_node,Acre: the port the kingdom was run from,1191,1291,year,cru-plc-acre,network_inference,modern_reference,medium,raw,cru-jer-burchard,pending,,venetian-ports,For most of the thirteenth century the kingdom of Jerusalem was administered from a port that is not Jerusalem. The Venetian Maritime Network already publishes the eastern ports with their own evidence; this row points at that layer rather than re-authoring it.
cru-jer-burchard-divisions,6,textual_construct,The Holy Land described in divisions taken from Acre,1283,1283,year,cru-plc-acre|cru-plc-jerusalem,described_geography,not_spatial,medium,raw,cru-jer-burchard,pending,,,"Burchard organises the land as divisions running out from a centre, and the centre he takes them from is Acre. A description is a geography, and this one puts the working port where the sacred city is on the world maps. It carries no geometry: the divisions are a way of ordering a description, and drawing them as sectors would turn a rhetorical scheme into a survey."
cru-jer-vesconte-grid,7,cartographic_construct,"The Holy Land on a grid, for a crusade that did not sail",1321,1321,year,cru-plc-acre|cru-plc-jerusalem,cartographic_construction,not_spatial,medium,raw,cru-jer-vesconte,pending,,,"Sanudo's recovery treatise travels with maps, and the Holy Land in them is ruled into squares. It is the most modern-looking object in this corpus and it is planning an expedition nobody mounted. No geometry is recorded because this project has not read the sheet; a grid transcribed from a description would be this project's grid."
cru-jer-alexandria-pivot,8,network_node,Alexandria: the trade the recovery plans proposed to cut,1291,1321,year,cru-plc-alexandria,network_inference,modern_reference,low,raw,cru-jer-sanudo,pending,,venetian-routes,By the fourteenth century the argument about how to reach Jerusalem is an argument about Egyptian trade. Confidence is low because the reading here is the treatise's general position and no passage has been located.
cru-jer-famagusta-after,9,network_node,Famagusta: where the traffic went after 1291,1291,1372,year,cru-plc-famagusta,network_inference,modern_reference,low,raw,cru-jer-sanudo,pending,,venetian-ports,"The kingdom ends and the network does not. Cyprus takes the eastern traffic, which is why the last act of a crusading geography is a commercial one."
cru-jer-bunting-emblem,10,cartographic_memory,"Three continents as a clover leaf, meeting at Jerusalem",1581,1581,year,cru-plc-jerusalem,later_impression,not_spatial,medium,raw,,,religion-bunting,,"Printed nearly three centuries after the last crusader port fell, and centring Jerusalem anyway. It carries no source_id on purpose: an early-modern woodcut is not a witness to medieval geography, and letting it into the source corpus would make it one. The catalogue record is the whole of its evidential standing here."
