map_object_id,act,cluster,title,creator,date_label,year,publication_context,edition_state,dimensions,repository,repository_url,persistent_id,accession_number,scan_source,rights_status,rights_basis_url,reproduction_use,verification_state,review_status,source_id,role_in_essay,notes
ant-obj-fine-1531,act_i,foundation,"Nova, et integra universi orbis descriptio",Oronce Fine,1531,1531,"Double-cordiform world map, Paris",State not established,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,,The southern continent drawn as a coherent landmass on a map of the whole world.,"The canonical Terra Australis image for Act I. No holding copy, state or scan has been identified, so it is a candidate and not yet a usable object."
ant-obj-mercator-1569,act_i,foundation,Nova et aucta orbis terrae descriptio ad usum navigantium emendate accommodata,Gerardus Mercator,1569,1569,Duisburg; multi-sheet wall map,Surviving copies differ; none selected,,,https://www.bnf.fr/,,,,public_domain_work,https://www.bnf.fr/,undetermined,unverified,candidate,,The projection that fixes the southern continent into the working chart of navigators.,Only a handful of copies survive and they are not identical. Act I must name the copy it reproduces or use a documented facsimile and say so.
ant-obj-ortelius-typus-1570,act_i,foundation,Typus Orbis Terrarum,Abraham Ortelius,1570,1570,"Theatrum Orbis Terrarum, Antwerp",Plate state and issue not established,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,,The atlas world map through which Terra Australis reaches its widest audience.,Ortelius reworked this plate repeatedly and the southern coast is not identical across states. The state matters to the argument and is not yet known.
ant-obj-blaeu-world,act_ii,foundation,"Blaeu world map (comparator, exact object to be selected)",Willem or Joan Blaeu,17th century,1630,To be established,Not selected,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,,A seventeenth-century comparator showing the southern coast after the Ortelius generation.,Included only if it marks a distinct evidentiary stage. If it merely repeats Ortelius it should be dropped rather than shown as filler.
ant-obj-coronelli-globe-1688,act_iii,coronelli,Coronelli terrestrial globe and printed gores,Vincenzo Maria Coronelli,c.1688,1688,Venice; printed gores issued for assembly,Which gore set and issue is not established,,,https://www.davidrumsey.com/,https://www.davidrumsey.com/blog/2020/6/27/1688-coronelli-terrestrial-globe,,"David Rumsey Historical Map Collection (blog record located, object record not opened)",public_domain_work,https://www.davidrumsey.com/,undetermined,partially_verified,candidate,ant-src-coronelli-atlante-veneto,"Coronelli's world in the round, and what its southern calotte does or does not show.","A Rumsey record for the 1688 terrestrial globe was located by search during this audit; the catalogue entry itself was not retrieved. The southern calotte has not been examined, so Act III may not yet say what it depicts."
ant-obj-coronelli-terre-polari,act_iii,coronelli,"Terre Polari, Artiche, ed Antartiche",Vincenzo Maria Coronelli,1693,1693,"Epitome Cosmografica, Venice",Plate state not established,,,https://www.davidrumsey.com/,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~31772~1151151:3--Terre-polari-,,David Rumsey Historical Map Collection,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,ant-src-coronelli-epitome-1693,The single object on which Act III's reading of Coronelli's polar geography rests.,"The Rumsey detail page returned an access check to this audit and its metadata could not be transcribed. Search results indicate the plate is dominated by the northern polar regions, which if true is itself the finding Act III should report; it is recorded here as unverified because the plate has not been seen."
ant-obj-coronelli-atlante-polar,act_iii,coronelli,Atlante Veneto polar material (exact plates to be identified),Vincenzo Maria Coronelli,1690-1701,1691,"Atlante Veneto, Venice",Volume and plate not identified,,,https://www.davidrumsey.com/,,,,public_domain_work,https://www.davidrumsey.com/,undetermined,unverified,candidate,ant-src-coronelli-atlante-veneto,"The publication context that shows the polar plates were part of a comprehensive world, not a curiosity.",A placeholder for whatever the Atlante Veneto audit finds. It must resolve to named plates or be deleted; it may not stay a gesture at a thirteen-volume work.
ant-obj-cook-southern-hemisphere-1777,act_iv,cook,"A Chart of the Southern Hemisphere, according to the latest Discoveries with the Tracks of the Resolution, Captn Cook and the Adventure, Captn Furneaux, from 1772 to 1775","William Whitchurch (engraver), after James Cook",10 March 1777,1777,"Issued with A Voyage towards the South Pole, London: Strahan and Cadell, 1777",Etching as issued with the 1777 publication,Sheet 660 x 680 mm,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,PAI4123,Royal Museums Greenwich collections online,rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,research_only,verified,candidate,ant-src-cook-voyage-1777,The hinge object of the whole essay: the tracks that bound the blank.,"Catalogue record read during this audit and the fields above transcribed from it. The record states no licence; it offers print sales and image licensing through RMG Images, so reproduction is research_only until terms are obtained in writing."
ant-obj-cook-southern-hemisphere-1777-alt,act_iv,cook,"A chart of the Southern Hemisphere according to the latest discoveries: with the tracks of the Resolution, Capn Cook: and the Adventure Capn Furneaux from 1772 to 1775",After James Cook,1777,1777,Second Greenwich record of the same chart,Not compared with PAI4123,,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-543571,,Royal Museums Greenwich collections online,rights_review_required,https://www.rmg.co.uk/,research_only,partially_verified,candidate,ant-src-cook-voyage-1777,"A second copy, held so the essay can say which copy it reproduces.",Located by search; the record was not opened. Recorded because two Greenwich records for one chart is precisely the kind of ambiguity an object register exists to resolve.
ant-obj-bellingshausen-atlas,act_v,discovery_survey,Bellingshausen expedition chart material (exact plates to be identified),Fabian Gottlieb von Bellingshausen,1831,1831,Russian expedition atlas accompanying the published narrative,Not identified,,,https://www.rgo.ru/,,,,public_domain_work,https://www.rgo.ru/,undetermined,unverified,candidate,ant-src-debenham-bellingshausen,"What the 1819-21 voyage charted, as against what later writers say it saw.",A named repository and plate list are required. The priority argument cannot be illustrated from a chart nobody has located.
