source_id,short_title,title,creator,source_family,date_label,year_from,year_to,date_precision,witness,edition_state,repository,repository_object_id,rights_statement,citation,scope,trench_a_stela,review_state,normalization_method,reviewer,review_date,note
src-cantacuzino-wallachia,Cantacuzino,Map of Wallachia,"Constantin Cantacuzino, stolnic; printed by Chrysanthos",regional_print,1700,1700,1700,exact_year,A handful of copies,1700 printing; a 1718 reduction follows,BnF Paris,,public_domain,"Cantacuzino, Wallachia, 1700",Wallachia,VII,normalized,llm_assisted,,,Known partly through the 1718 reduction.
src-cantemir-moldavia,Cantemir,Descriptio Moldaviae - map,Dimitrie Cantemir,regional_print,1716,1716,1716,exact_year,1737 Amsterdam engraving,1737 Amsterdam engraving,Widely reproduced,,public_domain,"Cantemir, Descriptio Moldaviae",Moldavia,VIII,normalized,llm_assisted,,,The manuscript travelled to Russia; the print carried the content.
src-constitutiones-op-1228,Constitutiones OP 1228,"Constitutiones Ordinis Fratrum Praedicatorum, Paris general chapter",General chapter of the Order of Preachers,administrative_register,1228,1228,1228,exact_year,"The 1228 constitutions, preserved through the fourteenth-century Codex Ruthenensis and Rodez manuscript",Transcript published in Diplomatarium OP Dacie; consulted 2026-08-26,Archivum Generale Ordinis Praedicatorum via Diplomatarium OP Dacie,"1228 (14 May), Paris",public_domain,"Constitutiones OP (1228), entry 1228 (14 May), Paris, Diplomatarium OP Dacie, https://jggj.dk/DiplOPdacie.htm","The general-chapter record identifies twelve provincial priors and extends privileges to the four additional provinces, including Dacia; it attests the order's institutional use in 1228.",,normalized,llm_assisted,,,The editor records a real interpretive dispute: the chapter may have promoted an already existing province rather than founded it. This row therefore attests use by 1228 and does not claim that 14 May was the first use.
src-de-martonne-ethnographic-map-1920,de Martonne Ethnographic Map,Essai de carte ethnographique des pays roumains,Emmanuel de Martonne,scholarly_edition,1920,1920,1920,exact_year,"Annales de Géographie 29, no. 158, pages 81-98 and plate VI","Annales de Géographie, volume 29, number 158, 1920",Persée,DOI 10.3406/geo.1920.9168,in_copyright,"Emmanuel de Martonne, “Essai de carte ethnographique des pays roumains”, Annales de Géographie 29, no. 158 (1920): 81-98, plate VI",The article and plate’s ethnographic claims for Romanian lands; canonical CND authority for Carta Rubra source cr-map-demartonne-1920.,,normalized,imported,,,"Bibliographic identity is verified in the Carta Rubra ledger; plate state, image reuse, and source tables remain under review."
src-decret-cs-nr194-1974,Decret 194/1974,Decretul Consiliului de Stat nr. 194/1974,Consiliul de Stat al Republicii Socialiste Romania,legal_instrument,1974,1974,1974,exact_year,The decree on page 1 of the official gazette,"Buletinul Oficial al R.S. România, anul X, partea I, nr. 125, 18 October 1974, p. 1",Wikimedia Commons scan from Buletinul Oficial al Republicii Socialiste România,"File:Decretul Consiliului de Stat nr. 194, 16 octombrie 1974.jpg",public_domain,"Decretul Consiliului de Stat nr. 194/1974, Buletinul Oficial al R.S. România, anul X, partea I, nr. 125 (18 October 1974), p. 1",The preamble makes Napoca and Dacia Porolissensis serve a Romanian historical-continuity claim; the sole operative article adds Napoca to Cluj. The instrument therefore attests both the reception use and the administrative restoration.,,normalized,llm_assisted,,,Page read from the official-gazette scan on 2026-08-26. The preamble and Articol unic are distinct locators and are recorded separately on the two name-use rows.
src-eutropius-breviarium,Eutropius,Breviarium ab urbe condita,Eutropius,narrative_history,c. 369,369,369,circa,A late-antique text transmitted through medieval manuscripts; read here through a printed critical edition,,Widely held; the text is read through printed editions,,public_domain,"Eutropius, Breviarium ab urbe condita, ed. C. Santini (Leipzig, 1979)","A summary of Roman history to 364. It narrates events rather than depicting places, so it can attest that an administration named something without attesting where the thing was.",,normalized,llm_assisted,,,"Cited by book and chapter, which is the division the work carries. No edition has been opened for this corpus, so the record stays normalized."
src-gallen-1946-province-dacie,Gallen 1946,La province de Dacie de l'ordre des freres precheurs,Jarl Gallen,modern_study,1946,1946,1946,exact_year,A printed monograph,"First edition, Helsingfors 1946",Research libraries,,in_copyright,"Jarl Gallen, La province de Dacie de l'ordre des freres precheurs (Helsingfors, 1946)","The Dominican province of Dacia: its erection, extent and dissolution. It is the standard account of why the order used the name, and is cited as an authority rather than as a witness.",,raw,llm_assisted,,,"Added so the ecclesiastical use has a bibliographic anchor. No page has been read for this corpus, so the row stays raw and the use it supports keeps a pending locator."
src-gesta-thuroczy-chronicles,Gesta and Thuróczy,Gesta Hungarorum and Chronica Hungarorum,Anonymous notary of King Béla; Johannes de Thurócz,scholarly_edition,1100-1500,1100,1500,year_range,"Gesta Hungarorum, MEK 19808; Chronica Hungarorum (1488), MEK 10633",Hungarian Electronic Library editions consulted 2026-08-25,"National Széchényi Library, Hungarian Electronic Library",MEK 19808; MEK 10633,in_copyright,"Gesta Hungarorum, MEK 19808; Johannes de Thurocz, Chronica Hungarorum (1488), MEK 10633",Latin narrative works bearing on Romanian and Hungarian historical geography; passages and recensions must be sampled explicitly.,,normalized,imported,,,Canonical source for Hiatus family hw-chronicles. Bibliographic reconciliation does not count as textual witness review.
src-hereford-mappa,Herefordia,Hereford Mappa Mundi,Circle of Richard of Haldingham (attrib.),mappa_mundi,c. A.D. 1300,1300,1300,circa,Single vellum sheet,"Single vellum sheet, in situ",Hereford Cathedral,,public_domain,Hereford Mappa Mundi,The whole orbis terrarum arranged on a theological schema,III,normalized,llm_assisted,,,Reproduction rights for any specific witness image are not cleared by this value.
src-honterus-chorographia,Honterus,Chorographia Transylvaniae,Johannes Honterus,regional_print,1532,1532,1532,exact_year,One known impression,One known impression of the 1532 woodcut,Repository unconfirmed - recorded as likely Budapest,,public_domain,"Honterus, Chorographia Transylvaniae, 1532",Transylvania,V,normalized,llm_assisted,,,See verification-debt vd-honterus-impression and vd-honterus-orientation.
src-hungaricana-dl-df-charters,DL-DF Charter Database,"Diplomatic Archives (DL-DF), Charter Database",National Archives of Hungary,administrative_register,1300-1526,1300,1526,year_range,DL-DF catalogue and digitised charter series; calibration record DL-DF 12016,Hungaricana collection state consulted 2026-08-25,National Archives of Hungary via Hungaricana,DL-DF 12016,in_copyright,"Charter Database collection; calibration record DL-DF 12016, Acta Transsylvanica, 1428-10-08","Royal, ecclesiastical, and private charters concerning the medieval Kingdom of Hungary and Transylvania; sampling is bounded by date, issuer, and repository series.",,normalized,imported,,,Canonical source for Hiatus family hw-charters. Catalogue and image access are verified; no lexical search or witness review is claimed.
src-iosephina-survey,Iosephina,Josephinische Landesaufnahme,Habsburg General Staff plane-table parties,military_survey,1769–1773,1769,1773,year_range,"Manuscript survey sheets at 1:28,800","Manuscript survey sheets at 1:28,800",Kriegsarchiv Vienna,,public_domain,"Josephinische Landesaufnahme, 1769–73",The Habsburg lands including Transylvania; Oltenia and Moldavia lie outside it,IX,normalized,llm_assisted,,,Classified from birth and therefore complete.
src-kaba-bessarabia-map-1919,Kaba Bessarabia Map,"Bessarabia, the Ethnographical Map",John Kaba; American Relief Administration,regional_print,1919,1919,1919,exact_year,Single 93 x 77 cm coloured ethnographical map with statistical table,"Map accompanying the Politico-economic Review of Basarabia, dated 30 June 1919",Library of Congress and University of Wisconsin-Milwaukee Libraries,LCCN 2021668672; WDL 15678,public_domain,"John Kaba, Bessarabia, the Ethnographical Map ([place and publisher not identified], 30 June 1919)",Bessarabian ethnographic claims in the 1919 map; canonical CND authority for Carta Rubra source cr-map-kaba-1919.,,normalized,imported,,,Imported from the Carta Rubra source ledger; source statistics remain distinct from the map derived from them.
src-kilia-antonio-di-ponzo-1360,Kilia Acts 1360,"Actes de Kilia du notaire Antonio di Ponzo, 1360",Antonio di Ponzo; edited by Michel Balard,scholarly_edition,1360,1360,1360,exact_year,123 notarial acts copied at Kilia in 1360,"Michel Balard, Gênes et l’Outre-Mer II (1980), acts pp. 23-194",Archivio di Stato di Genova; edition distributed by De Gruyter Brill,DOI 10.1515/9783112319680,in_copyright,"Michel Balard, Gênes et l’Outre-Mer II (1980), acts pp. 23-194, DOI 10.1515/9783112319680","The 123 acts copied at Kilia by Antonio di Ponzo in 1360, used as a bounded commercial naming corpus.",,normalized,imported,,,Canonical source for Hiatus family hw-notarial. Edition access does not imply reproduction rights or completed act-level review.
src-notitia-dignitatum,Notitia Dignitatum,Notitia Dignitatum omnium tam civilium quam militarium,Unknown late Roman compilers of the imperial chancery,administrative_register,c. 395-420,395,420,year_range,A lost late-antique original known through Carolingian and later copies; the Speyer codex from which they descend is itself lost,,Copies in several European collections; the register is read through printed editions,,public_domain,"Notitia Dignitatum, ed. O. Seeck (Berlin, 1876)","The offices and commands of the late Roman empire, east and west. It enumerates administrative units and the officers who held them; it depicts nothing and locates nothing, so it can attest that a name was in official use without attesting where anything was.",,normalized,llm_assisted,,,"Cited structurally rather than by page: the register's own divisions are the locator. Neither the edition nor any copy has been opened for this corpus, which is why the record stays normalized."
src-ortelius-parergon,Ortelius,Dacia - Parergon,Abraham Ortelius,antiquarian_reconstruction,1595,1595,1595,exact_year,Parergon plate,"Parergon plate, 1595 issue",Widely held,,public_domain,"Ortelius, Parergon, 1595",Antiquarian reconstruction of the ancient provinces over modern geometry,VI,normalized,llm_assisted,,,An antiquarian restoration; readings from it are reconstructed rather than contemporary.
src-ortelius-theatrum-1570,Ortelius Theatrum,Theatrum orbis terrarum,Abraham Ortelius,regional_print,1570,1570,1570,exact_year,"Library of Congress digitised atlas, G3200m.GCT00126",1570 atlas; Hvngaria images 93-94 and Transsylvania images 95-96,"Library of Congress, Geography and Map Division",G3200m.GCT00126,public_domain,"Abraham Ortelius, Theatrum orbis terrarum (1570), Library of Congress G3200m.GCT00126",The Hungary and Transylvania plates form a bounded late-sixteenth-century comparison; one atlas state cannot establish a general date of lexical return.,,normalized,imported,,,Canonical source for Hiatus family hw-late-maps. Plate readings have not been transcribed or reviewed.
src-ottoman-defters-hungary-1546-1619,Ottoman Defters,Ottoman tax registers (defters) in the Hungarian National Archives,Ottoman fiscal administration,administrative_register,1546-1619,1546,1619,year_range,Tapu-Tahrir and related registers for conquered Hungarian territories,Collection description consulted 2026-08-25,National Archives of Hungary via Hungaricana,"Collection of Ottoman censuses, 1546-1619",in_copyright,"Collection of Ottoman censuses; Tapu-Tahrir and related register descriptions, 1546-1619",A bounded set of Ottoman tax registers with settlement-name utility; it is not presumed to address the learned macro-regional label Dacia.,,normalized,imported,,,Canonical source for Hiatus family hw-fiscal. Its applicability remains limited to questions the fiscal scope can answer.
src-pleiades-gazetteer,Pleiades Published Places,Pleiades published places GIS snapshot,Pleiades contributors; Ancient World Mapping Center; Institute for the Study of the Ancient World,scholarly_edition,snapshot 2026-08-21,2026,2026,exact_year,Published places GIS snapshot dated 2026-08-21,Live GIS snapshot downloaded 2026-08-25; HTTP Last-Modified 2026-08-21,"Pleiades, Ancient World Mapping Center, and Institute for the Study of the Ancient World",pleiades-gis-data-2026-08-21,cc_by,"Pleiades, “Published Places”, GIS data snapshot dated 21 August 2026, https://atlantides.org/downloads/pleiades/gis/pleiades_gis_data.zip",Eighty selected published places with precise representative points in Roman Dacia and the Lower Danube; display labels and locations only.,,normalized,imported,,,"CC BY 3.0 upstream. Imported authority metadata is normalized, not human-reviewed CND evidence; no source imagery is redistributed."
src-ptolemy-geographia,Ptolemaeus,Geographia III.8 - Dacia,Klaudios Ptolemaios,coordinate_catalogue,c. A.D. 150,150,150,circa,Manuscript tradition; editio princeps with maps,"Editio princeps with maps, Bologna 1477",Bologna 1477 editio princeps,,public_domain,"Ptolemy, Geographia III.8",A coordinate catalogue of Dacia between the Tisia the Danube and the Hierasus; towns and tribes only,I,normalized,llm_assisted,,,Survives as numbers; every drawn map of it is a later restoration.
src-ric-dacia-types,RIC (Dacia types),Roman Imperial Coinage: the Dacia reverse types,"H. Mattingly, E. A. Sydenham and successors",numismatic,1923-1994,1923,1994,year_range,"The coins themselves, catalogued as a series; the reference work is the access to them",,Specimens in the major cabinets; the catalogue is widely held,,in_copyright,"Roman Imperial Coinage, 10 vols (London, 1923-1994)","Imperial coin types arranged by reign. It records what a mint struck and what legend it carried, which is a use of a name by the state itself rather than a description of a place.",,normalized,llm_assisted,,,The volume and number for each Dacia type is not transcribed here; the record cites the series and stays normalized until a specimen is checked.
src-russian-staff-1835,Russia 1835,Russian General Staff map,Russian General Staff,military_survey,1835,1835,1835,exact_year,Printed sheets,Printed sheets,Staff archives and major collections,,public_domain,"Russian General Staff map, 1835",The Principalities under Russian administration; the survey stops at the mountains,X,normalized,llm_assisted,,,First geodetic lattice for the region.
src-secret-century,Secret Century,Planurile directoare de tragere and their classified successors,"Serviciul Geografic al Armatei, with the French military mission of 1916-17",military_survey,1916-1959,1916,1959,year_range,"A series, not a sheet: some 2,118 sheets at 1:20,000 on the Lambert-Cholesky grid, continued after 1951 on Gauss-Kruger",,Military archives; the series is georeferenced sheet by sheet by geo-spatial.org,,rights_unknown,"Planurile directoare de tragere, 1:20,000 (Serviciul Geografic al Armatei, 1916-1959)","The state territory as an artillery surface, Transylvania included after 1920; the most complete survey of the land and the least publishable",XII,normalized,llm_assisted,,,"One row for the series: a member sheet is cited per attestation through locator_type sheet, which is where a sheet identifier belongs. Reviewing this record means reading the series scope, not one sheet."
src-szathmari-charta,Szathmári,Charta României Meridionale,Commonly attributed to Carol Popp de Szathmári,national_survey,1864,1864,1864,exact_year,Printed sheets,1864 issue,National collections; widely reproduced,,public_domain,"Charta României Meridionale, 1864",The united Principalities; the first deliberately public state map of the country,XI,normalized,llm_assisted,,,The point at which ROMÂNIA is printed officially in Latin type.
src-tabula-peutingeriana,Peutingeriana,Tabula Peutingeriana segm. VII–VIII,Unknown imperial compilers; medieval copyist,itinerary,content c. A.D. 350,350,350,disputed,Parchment roll of eleven segments,Medieval copy of a late-antique original,ÖNB Vienna Cod. 324,Cod. 324,public_domain,"Tabula Peutingeriana, segm. VII–VIII",The cursus publicus; road stations and mileages rather than settlement generally,II,normalized,llm_assisted,,,"Dated by its fourth-century content rather than its c. 1200 parchment, following the trench's stated rule."
src-teleki-ethnographic-map-1920,Teleki Ethnographic Map,Magyarország néprajzi térképe a népsűrűség alapján,Pál Teleki,regional_print,1920,1920,1920,exact_year,Single 58 x 82 cm map based on the 1910 census,"Budapest issue by Klösz György és Fia, 1920",University of Illinois Urbana-Champaign Map Library,Local Bib ID 4000005; item ef930050-17c7-0137-6b56-02d0d7bfd6e4-0,rights_unknown,"Pál Teleki, Magyarország néprajzi térképe a népsűrűség alapján (Budapest: Klösz György és Fia, 1920)",Ethnographic claims for historical Hungary derived from 1910 census data; canonical CND authority for Carta Rubra source cr-map-teleki-1920.,,normalized,imported,,,The repository records No Copyright - United States; global production clearance is not inferred.
src-vatican-papal-registers,Papal Registers,Registra Vaticana and related papal register series,Papal chancery,administrative_register,1200-1500,1200,1500,year_range,Vatican register series; exact register and folio range pending source-level selection,DigiVatLib catalogue state consulted 2026-08-25,Vatican Apostolic Library and Vatican Apostolic Archive,Registra Vaticana series,in_copyright,DigiVatLib manuscripts catalogue; exact register and folio range pending source-level selection,"Papal registers relevant to the Kingdom of Hungary, Transylvania, Wallachia, and Moldavia; register and folio ranges remain to be selected.",,normalized,imported,,,Canonical source for Hiatus family hw-papal-registers. This authority identifies the series and does not manufacture a silence claim.
