attestation_id,place_id,source_id,attestation_class,name_original,script,language,name_transliterated,name_normalized,locator_type,locator,source_lon,source_lat,confidence,review_state,normalization_method,reviewer,review_date,note
att-0001,plc-sarmizegetusa-regia,src-ptolemy-geographia,variant,pending,grek,grc,Zarmizegethousa,Sarmizegetusa Regia,none,pending,,,medium,raw,llm_assisted,,,"The royal seat. Greek original outstanding: Trench A prints only a Latin transliteration."
att-0002,plc-ulpia-traiana-sarmizegetusa,src-tabula-peutingeriana,variant,Sarmategte,latn,la,,Sarmizegetusa,none,pending,,,medium,raw,llm_assisted,,,"A road station on the Tibiscum line - the colonia, not Regia."
att-0003,plc-ulpia-traiana-sarmizegetusa,src-hereford-mappa,source_silent,,,,,,none,pending,,,medium,raw,llm_assisted,,,"In coverage and still unnamed: the region has dissolved into Gothia and Scythia."
att-0004,plc-ulpia-traiana-sarmizegetusa,src-vesconte-portolan,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,"A portolan's scope is the coastline; an inland ruin lies outside it."
att-0005,plc-ulpia-traiana-sarmizegetusa,src-honterus-chorographia,survival_unknown,,,,,,none,pending,,,low,raw,llm_assisted,,,"The village existed; whether the single impression marks it cannot be checked. See vd-honterus-impression."
att-0006,plc-ulpia-traiana-sarmizegetusa,src-cantacuzino-wallachia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,"The map covers Wallachia; Hațeg country is outside its scope."
att-0007,plc-sarmizegetusa-regia,src-ortelius-parergon,reconstructed,Zarmizegethusa regia,latn,la,,Sarmizegetusa Regia,none,pending,,,medium,raw,llm_assisted,,,"An antiquarian restores the royal seat to a modern sheet from the ancient authors."
att-0008,plc-apulum,src-ortelius-parergon,reconstructed,Apulum,latn,la,,Apulum,none,pending,,,medium,raw,llm_assisted,,,"The legion town restored to the sheet."
att-0009,plc-apulum,src-tabula-peutingeriana,variant,Apula,latn,la,,Apulum,none,pending,,,medium,raw,llm_assisted,,,"The vulgar spelling of a road-book hand."
att-0010,plc-apulum,src-iosephina-survey,exact,Karlsburg,latn,de,,Karlsburg,none,pending,,,medium,raw,llm_assisted,,,"The citadel cut for Charles VI renames the town."
att-0011,plc-apulum,src-ptolemy-geographia,variant,pending,grek,grc,Apoulon,Apulum,none,pending,,,medium,raw,llm_assisted,,,"A Dacian name in Greek dress. Greek original outstanding."
att-0012,plc-napoca,src-iosephina-survey,alternative,Klausenburg,latn,de,,Klausenburg,none,pending,,,medium,raw,llm_assisted,,,"German official name. Materially different from Napoca, not a variant of it."
att-0013,plc-napoca,src-iosephina-survey,alternative,Kolozsvár,latn,hu,,Kolozsvár,none,pending,,,medium,raw,llm_assisted,,,"Hungarian name printed beside the German on the same sheet."
att-0014,plc-napoca,src-tabula-peutingeriana,variant,Napoca,latn,la,,Napoca,none,pending,,,medium,raw,llm_assisted,,,"A station on the road to Porolissum."
att-0015,plc-drobeta,src-ptolemy-geographia,source_silent,,,,,,none,pending,,,low,raw,llm_assisted,,,"The catalogue survives complete and no entry matches securely. See vd-drobeta-ptolemy."
att-0016,plc-drobeta,src-tabula-peutingeriana,variant,Drubetis,latn,la,,Drobeta,none,pending,,,medium,raw,llm_assisted,,,"First station north of the river on the Lederata road."
att-0017,plc-drobeta,src-cantemir-moldavia,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,"The map covers Moldavia only."
att-0018,plc-drobeta,src-russian-staff-1835,exact,Turnu Severin,latn,ro,,Turnu Severin,none,pending,,,low,raw,llm_assisted,,,"The survey straddles the town's founding in 1833."
att-0019,plc-drobeta,src-cantacuzino-wallachia,alternative,Severin,latn,ro,,Severin,none,pending,,,medium,raw,llm_assisted,,,"The Tower of Severin remembered as a ruin; the Banat of Severin attested."
att-0020,plc-napoca,src-vesconte-portolan,extra_muros,,,,,,none,pending,,,high,raw,llm_assisted,,,"No rhumb line reaches the Someș."
