source_id,proof,source_kind,title,creator,shelfmark,repository,repository_url,edition,locator,covers,rights_status,rights_basis_url,resolution_status,production_role,verification_state,review_status,notes
cru-mp-royal-14-c-vii,matthew_paris,manuscript_witness,"Historia Anglorum, with the itinerary from London to Apulia",Matthew Paris,Royal MS 14 C VII,"British Library, London",https://www.bl.uk/,Manuscript; no edition used,pending,The itinerary stages and the map of Britain,rights_review_required,https://www.bl.uk/,unverified,research_only,unverified,candidate,"The best-known itinerary witness and the one the prototype most wants. The folios carrying the itinerary are not transcribed here, and the library's terms for its digitised images have not been read, so nothing about presentation may be assumed from this row."
cru-mp-cccc-26,matthew_paris,manuscript_witness,"Chronica Majora, volume I",Matthew Paris,MS 26,"Corpus Christi College, Cambridge (Parker Library)",https://www.corpus.cam.ac.uk/,Manuscript; no edition used,pending,Itinerary and map material in the first Chronica volume,rights_review_required,https://www.corpus.cam.ac.uk/,unverified,research_only,unverified,candidate,"Parker Library on the Web hosts the digitised volumes and its terms could not be read automatically during this audit, so the licence is recorded as unresolved rather than assumed. Which folios carry the itinerary is likewise untranscribed."
cru-mp-cccc-16,matthew_paris,manuscript_witness,"Chronica Majora, volume II",Matthew Paris,MS 16,"Corpus Christi College, Cambridge (Parker Library)",https://www.corpus.cam.ac.uk/,Manuscript; no edition used,pending,The second Chronica volume and its prefatory matter,rights_review_required,https://www.corpus.cam.ac.uk/,unverified,research_only,unverified,candidate,Recorded as the companion volume so the pair is auditable together. Same unresolved licence position as MS 26.
cru-mp-luard-edition,matthew_paris,critical_edition,"Matthaei Parisiensis Chronica Majora, Rolls Series",Henry Richards Luard (ed.),Rolls Series 57,Widely held; digitised by several libraries,https://archive.org/,"Rolls Series, 7 vols, 1872-1883",pending,"The chronicle text behind the itinerary, in a citable edition",public_domain_text,https://archive.org/about/terms.php,unverified,research_only,unverified,candidate,"Out of copyright as a text, which makes the edition the fallback the prototype can rely on if no manuscript image is ever cleared: the itinerary can be argued from the edition and a redrawing rather than from a photograph."
cru-fc-villehardouin,fourth_crusade,primary_narrative,La Conquete de Constantinople,Geoffroy de Villehardouin,n/a,Manuscript tradition; read through the Faral edition,https://archive.org/,"ed. Edmond Faral, 2 vols (Paris, 1938-1939)",pending,intended_destination|fleet_contract|debt|zara|constantinople_1203|constantinople_1204,rights_review_required,https://archive.org/about/terms.php,unverified,research_only,unverified,candidate,"The marshal's account, and the one source that touches every stage of the sequence. It is also an interested account: Villehardouin negotiated the contract he describes, which the prototype has to surface rather than smooth over."
cru-fc-clari,fourth_crusade,primary_narrative,La Conquete de Constantinople,Robert de Clari,n/a,Manuscript tradition; read through the Lauer edition,https://archive.org/,"ed. Philippe Lauer (Paris, 1924)",pending,zara|constantinople_1203|constantinople_1204,rights_review_required,https://archive.org/about/terms.php,unverified,research_only,unverified,candidate,The view from outside the council tent. Kept because a sequence told only by its negotiators is not the sequence.
cru-fc-choniates,fourth_crusade,primary_narrative,Historia,Niketas Choniates,n/a,Manuscript tradition; read through the van Dieten edition,https://archive.org/,"ed. J. L. van Dieten, Corpus Fontium Historiae Byzantinae (Berlin, 1975)",pending,constantinople_1203|constantinople_1204|post_1204_claims,in_copyright,https://www.degruyter.com/,unverified,research_only,unverified,candidate,"The account from the city that was taken. The critical edition is in copyright, so it is cited and not quoted at length; the argument does not depend on reproducing it."
cru-fc-treaty-1201,fourth_crusade,instrument,The treaty with Venice for the fleet,The crusade envoys and the commune of Venice,n/a,Venetian archives; read through Tafel and Thomas,https://archive.org/,"Tafel and Thomas, Urkunden zur alteren Handels- und Staatsgeschichte der Republik Venedig (Vienna, 1856-1857)",pending,fleet_contract|intended_destination,public_domain_text,https://archive.org/about/terms.php,unverified,research_only,unverified,candidate,"The document the whole diversion argument rests on: the fleet was contracted for a host that did not arrive, and the debt follows from the contract rather than from anyone's intention."
cru-fc-partitio,fourth_crusade,instrument,Partitio terrarum imperii Romaniae,The crusade leadership and Venice,n/a,Venetian archives; read through Tafel and Thomas,https://archive.org/,"Tafel and Thomas, Urkunden (Vienna, 1856-1857)",pending,post_1204_claims,public_domain_text,https://archive.org/about/terms.php,unverified,research_only,unverified,candidate,"The partition of an empire on parchment, and the reason the Sea proof does not end in 1204: what was claimed and what was held are different maps, and this instrument is the first."
cru-jer-psalter,jerusalem,manuscript_witness,"Psalter world map, in a psalter of the mid-thirteenth century",Unknown,Additional MS 28681,"British Library, London",https://www.bl.uk/,Manuscript; no edition used,pending,sacred_centre,rights_review_required,https://www.bl.uk/,unverified,research_only,unverified,candidate,"Catalogued in this collection as religion-psalter. The folio carrying the map is recorded there and has not been checked against the manuscript, so the locator here reads pending rather than borrowing the catalogue's."
cru-jer-hereford,jerusalem,map_object,Hereford Mappa Mundi,Richard of Haldingham (traditional attribution),Hereford Mappa Mundi,Hereford Cathedral,https://www.herefordcathedral.org/,Single object; no edition,pending,sacred_centre,rights_review_required,https://www.herefordcathedral.org/,unverified,research_only,unverified,candidate,"A single object rather than a manuscript opening, which is why it is registered as a map_object: it has a holder and a name and no shelfmark in the ordinary sense. Catalogued here as hereford, with the attribution recorded as traditional in both places."
cru-jer-burchard,jerusalem,critical_edition,Descriptio Terrae Sanctae,Burchard of Mount Sion,n/a,Widely held; digitised by several libraries,https://archive.org/,"ed. J. C. M. Laurent, Peregrinatores medii aevi quatuor (Leipzig, 1864)",pending,textual_construct|network_node,public_domain_text,https://archive.org/about/terms.php,unverified,research_only,unverified,candidate,"A description of the Holy Land written by a Dominican who lived in it, and the reason the essay can say the descriptive geography is organised from Acre. The edition is out of copyright; no page has been read for this corpus."
cru-jer-sanudo,jerusalem,critical_edition,Liber secretorum fidelium crucis,Marino Sanudo Torsello,n/a,Widely held; digitised by several libraries,https://archive.org/,"in J. Bongars, Gesta Dei per Francos, vol. 2 (Hanau, 1611)",pending,cartographic_construct|network_node,public_domain_text,https://archive.org/about/terms.php,unverified,research_only,unverified,candidate,"A Venetian's plan for recovering the Holy Land by cutting Egyptian trade, written a generation after Acre fell. Cited here for the network argument at the level of the treatise's position; no passage has been located, which is why the two rows that rest on it carry low confidence."
cru-jer-vesconte,jerusalem,manuscript_witness,"Liber secretorum fidelium crucis, with maps attributed to Pietro Vesconte",Marino Sanudo Torsello and Pietro Vesconte,Additional MS 27376,"British Library, London",https://www.bl.uk/,Manuscript; no edition used,pending,cartographic_construct,rights_review_required,https://www.bl.uk/,unverified,research_only,unverified,candidate,Registered because the argument is about the maps and not only the text: the gridded Holy Land is a manuscript object with its own rights position. Neither the sheet nor the attribution has been checked here.
