place_id,proof,preferred_name,name_latin,name_greek,name_arabic,name_modern,name_medieval_vernacular,script_note,lon,lat,coordinate_basis,modern_country,role,valid_from,valid_to,review_state,review_status,notes
cru-plc-london,matthew_paris,London,Londinium,,,London,Lundene,Latin only in the witness,-0.09,51.51,modern_reference,United Kingdom,itinerary_stage,1250,1259,normalized,candidate,The itinerary's starting point and the abbey's own horizon.
cru-plc-dover,matthew_paris,Dover,Dubris,,,Dover,Dovorre,Latin only in the witness,1.31,51.13,modern_reference,United Kingdom,itinerary_stage,1250,1259,normalized,candidate,"The crossing, and the first place the itinerary has to measure a day against a sea."
cru-plc-wissant,matthew_paris,Wissant,Witsand,,,Wissant,Witsand,Latin only in the witness,1.66,50.89,modern_reference,France,itinerary_stage,1250,1259,normalized,candidate,The usual landfall from Dover before Calais took the traffic.
cru-plc-beauvais,matthew_paris,Beauvais,Bellovacum,,,Beauvais,Beauvez,Latin only in the witness,2.08,49.43,modern_reference,France,itinerary_stage,1250,1259,normalized,candidate,A stage on the road south from the coast.
cru-plc-paris,matthew_paris,Paris,Parisius,,,Paris,Paris,Latin only in the witness,2.35,48.86,modern_reference,France,itinerary_stage,1250,1259,normalized,candidate,The itinerary's largest intermediate city and a day-count anchor.
cru-plc-beaune,matthew_paris,Beaune,Belna,,,Beaune,Beaune,Latin only in the witness,4.84,47.02,modern_reference,France,itinerary_stage,1250,1259,normalized,candidate,On the Burgundian road toward the Alpine passes.
cru-plc-lyon,matthew_paris,Lyon,Lugdunum,,,Lyon,Lion,Latin only in the witness,4.84,45.76,modern_reference,France,itinerary_stage,1250,1259,normalized,candidate,"The Rhone crossing, and where the road turns for the mountains."
cru-plc-mont-cenis,matthew_paris,Mont Cenis,Mons Cinisius,,,Mont Cenis,Mont Cenis,Latin only in the witness,6.9,45.25,modern_reference,France,itinerary_pass,1250,1259,normalized,candidate,"A pass rather than a settlement, and the stage where the itinerary's day-units stop meaning the same thing."
cru-plc-turin,matthew_paris,Turin,Augusta Taurinorum,,,Torino,Turin,Latin only in the witness,7.69,45.07,modern_reference,Italy,itinerary_stage,1250,1259,normalized,candidate,First city beyond the pass.
cru-plc-milan,matthew_paris,Milan,Mediolanum,,,Milano,Milan,Latin only in the witness,9.19,45.46,modern_reference,Italy,itinerary_stage,1250,1259,normalized,candidate,The Lombard hinge of the route.
