source_id,short_title,title,creator,source_family,date_label,year_from,year_to,date_precision,witness,edition_state,repository,repository_object_id,rights_statement,citation,scope,trench_a_stela,review_state,normalization_method,reviewer,review_date,note
src-cantacuzino-wallachia,Cantacuzino,Map of Wallachia,"Constantin Cantacuzino, stolnic; printed by Chrysanthos",regional_print,1700,1700,1700,exact_year,A handful of copies,1700 printing; a 1718 reduction follows,BnF Paris,,public_domain,"Cantacuzino, Wallachia, 1700",Wallachia,VII,normalized,llm_assisted,,,Known partly through the 1718 reduction.
src-cantemir-moldavia,Cantemir,Descriptio Moldaviae - map,Dimitrie Cantemir,regional_print,1716,1716,1716,exact_year,1737 Amsterdam engraving,1737 Amsterdam engraving,Widely reproduced,,public_domain,"Cantemir, Descriptio Moldaviae",Moldavia,VIII,normalized,llm_assisted,,,The manuscript travelled to Russia; the print carried the content.
src-hereford-mappa,Herefordia,Hereford Mappa Mundi,Circle of Richard of Haldingham (attrib.),mappa_mundi,c. A.D. 1300,1300,1300,circa,Single vellum sheet,"Single vellum sheet, in situ",Hereford Cathedral,,public_domain,Hereford Mappa Mundi,The whole orbis terrarum arranged on a theological schema,III,normalized,llm_assisted,,,Reproduction rights for any specific witness image are not cleared by this value.
src-honterus-chorographia,Honterus,Chorographia Transylvaniae,Johannes Honterus,regional_print,1532,1532,1532,exact_year,One known impression,One known impression of the 1532 woodcut,Repository unconfirmed - recorded as likely Budapest,,public_domain,"Honterus, Chorographia Transylvaniae, 1532",Transylvania,V,normalized,llm_assisted,,,See verification-debt vd-honterus-impression and vd-honterus-orientation.
src-iosephina-survey,Iosephina,Josephinische Landesaufnahme,Habsburg General Staff plane-table parties,military_survey,1769–1773,1769,1773,year_range,"Manuscript survey sheets at 1:28,800","Manuscript survey sheets at 1:28,800",Kriegsarchiv Vienna,,public_domain,"Josephinische Landesaufnahme, 1769–73",The Habsburg lands including Transylvania; Oltenia and Moldavia lie outside it,IX,normalized,llm_assisted,,,Classified from birth and therefore complete.
src-notitia-dignitatum,Notitia Dignitatum,Notitia Dignitatum omnium tam civilium quam militarium,Unknown late Roman compilers of the imperial chancery,administrative_register,c. 395-420,395,420,year_range,A lost late-antique original known through Carolingian and later copies; the Speyer codex from which they descend is itself lost,,Copies in several European collections; the register is read through printed editions,,public_domain,"Notitia Dignitatum, ed. O. Seeck (Berlin, 1876)","The offices and commands of the late Roman empire, east and west. It enumerates administrative units and the officers who held them; it depicts nothing and locates nothing, so it can attest that a name was in official use without attesting where anything was.",,normalized,llm_assisted,,,"Cited structurally rather than by page: the register's own divisions are the locator. Neither the edition nor any copy has been opened for this corpus, which is why the record stays normalized."
src-ortelius-parergon,Ortelius,Dacia - Parergon,Abraham Ortelius,antiquarian_reconstruction,1595,1595,1595,exact_year,Parergon plate,"Parergon plate, 1595 issue",Widely held,,public_domain,"Ortelius, Parergon, 1595",Antiquarian reconstruction of the ancient provinces over modern geometry,VI,normalized,llm_assisted,,,An antiquarian restoration; readings from it are reconstructed rather than contemporary.
src-ptolemy-geographia,Ptolemaeus,Geographia III.8 - Dacia,Klaudios Ptolemaios,coordinate_catalogue,c. A.D. 150,150,150,circa,Manuscript tradition; editio princeps with maps,"Editio princeps with maps, Bologna 1477",Bologna 1477 editio princeps,,public_domain,"Ptolemy, Geographia III.8",A coordinate catalogue of Dacia between the Tisia the Danube and the Hierasus; towns and tribes only,I,normalized,llm_assisted,,,Survives as numbers; every drawn map of it is a later restoration.
src-ric-dacia-types,RIC (Dacia types),Roman Imperial Coinage: the Dacia reverse types,"H. Mattingly, E. A. Sydenham and successors",numismatic,1923-1994,1923,1994,year_range,"The coins themselves, catalogued as a series; the reference work is the access to them",,Specimens in the major cabinets; the catalogue is widely held,,in_copyright,"Roman Imperial Coinage, 10 vols (London, 1923-1994)","Imperial coin types arranged by reign. It records what a mint struck and what legend it carried, which is a use of a name by the state itself rather than a description of a place.",,normalized,llm_assisted,,,The volume and number for each Dacia type is not transcribed here; the record cites the series and stays normalized until a specimen is checked.
src-russian-staff-1835,Russia 1835,Russian General Staff map,Russian General Staff,military_survey,1835,1835,1835,exact_year,Printed sheets,Printed sheets,Staff archives and major collections,,public_domain,"Russian General Staff map, 1835",The Principalities under Russian administration; the survey stops at the mountains,X,normalized,llm_assisted,,,First geodetic lattice for the region.
src-secret-century,Secret Century,Planurile directoare de tragere and their classified successors,"Serviciul Geografic al Armatei, with the French military mission of 1916-17",military_survey,1916-1959,1916,1959,year_range,"A series, not a sheet: some 2,118 sheets at 1:20,000 on the Lambert-Cholesky grid, continued after 1951 on Gauss-Kruger",,Military archives; the series is georeferenced sheet by sheet by geo-spatial.org,,rights_unknown,"Planurile directoare de tragere, 1:20,000 (Serviciul Geografic al Armatei, 1916-1959)","The state territory as an artillery surface, Transylvania included after 1920; the most complete survey of the land and the least publishable",XII,normalized,llm_assisted,,,"One row for the series: a member sheet is cited per attestation through locator_type sheet, which is where a sheet identifier belongs. Reviewing this record means reading the series scope, not one sheet."
src-szathmari-charta,Szathmári,Charta României Meridionale,Commonly attributed to Carol Popp de Szathmári,national_survey,1864,1864,1864,exact_year,Printed sheets,1864 issue,National collections; widely reproduced,,public_domain,"Charta României Meridionale, 1864",The united Principalities; the first deliberately public state map of the country,XI,normalized,llm_assisted,,,The point at which ROMÂNIA is printed officially in Latin type.
src-tabula-peutingeriana,Peutingeriana,Tabula Peutingeriana segm. VII–VIII,Unknown imperial compilers; medieval copyist,itinerary,content c. A.D. 350,350,350,disputed,Parchment roll of eleven segments,Medieval copy of a late-antique original,ÖNB Vienna Cod. 324,Cod. 324,public_domain,"Tabula Peutingeriana, segm. VII–VIII",The cursus publicus; road stations and mileages rather than settlement generally,II,normalized,llm_assisted,,,"Dated by its fourth-century content rather than its c. 1200 parchment, following the trench's stated rule."
src-vesconte-portolan,Vesconte,Portolan chart,Pietro Vesconte,portolan,1311,1311,1311,exact_year,Signed 1311 chart,Signed chart of 1311,Florence,,public_domain,"Vesconte portolan, 1311",Mediterranean and Black Sea coastlines; the interior is not surveyed,IV,normalized,llm_assisted,,,Scope is what makes inland silence extra_muros rather than omission.
