debt_id,kind,statement,raised_in,blocks,resolution_path,status
vd-cru-folio-transcription,verification,"Not one folio in the Crusades corpus has been transcribed. Every locator in source-audit.csv, itinerary-stages.csv and fourth-crusade-states.csv reads pending, which is why all twenty-two data rows sit at raw.",data/crusades/source-audit.csv,matthew_paris:research|matthew_paris:data|fourth_crusade:research|fourth_crusade:data,"Read the folios the prototypes use and record the locator on each row. The stage validator refuses a stage above raw without one, so this single act moves both proofs' data gates.",open
vd-cru-witness-rights,rights,"No manuscript witness is cleared for publication. Six of the nine audited sources need a rights review and the digitised-image terms for the three Matthew Paris manuscripts have not been read, so the Road proof cannot show the manuscript it argues about.",data/crusades/source-audit.csv,matthew_paris:rights|fourth_crusade:rights|matthew_paris:interaction,"Read the British Library and Parker Library terms and clear at least one itinerary witness, or record the decision to argue from Luard's edition and a redrawing instead.",open
vd-cru-witness-choice,verification,"Matthew Paris left more than one itinerary copy and this project has not chosen which witness it stands on. Royal 14 C VII, CCCC 26 and CCCC 16 are all registered and they differ.",docs/crusades/two-proofs.md,matthew_paris:research,"Collate the three witnesses and record the choice with its reason, so the folio transcription that follows is done once against the right manuscript.",open
vd-cru-places-review,verification,"The twenty core places are compiled and normalized, which is as far as machine-assisted work may take them. None has been reviewed against a source by a named researcher.",data/crusades/places.csv,fourth_crusade:data|matthew_paris:data,"A named researcher checks each place against its cited source and records the review, following the same promotion rules as the Dacia corpus.",open
vd-cru-choniates-copyright,rights,"Choniates is recorded as in copyright. The Fourth Crusade's second assault and the durable-control reconstruction both cite it, so two of the eight state records rest on a source that cannot be quoted at length.",data/crusades/source-audit.csv,fourth_crusade:rights,"Identify a public-domain edition or translation for the passages actually cited, or confine the citation to locator-level reference without quotation.",open
vd-cru-editorial-review,verification,"No prose in the prototype has been read against its evidence by a named editor, and it may not be, because the evidence it would be read against is not yet reviewed.",src/content/essays/maps-for-a-crusade.mdx,matthew_paris:editorial|fourth_crusade:editorial|jerusalem:editorial|matthew_paris:release|fourth_crusade:release|jerusalem:release,Close the research and data gates first. Editorial review of claims resting on unreviewed rows would certify the prose against material that is itself uncertified.,open
vd-cru-feature-panel-evidence,verification,"The Fourth Crusade Atlas layers rendered through the generic feature panel, which showed a feature's fields but not the distinction the proof is built on. A partition claim and a travelled route were presented alike on the map even though the essay island kept them apart.",data/geo/catalog.json,fourth_crusade:interaction,"Resolved in KAN-387: the Crusades layers now bind their own panel, which states what each state kind asserts, marks claimed against held, and says that every row it shows is unreviewed.",resolved
vd-cru-jerusalem-locators,verification,"Not one page of the Holy Land register has been read. Burchard's divisions and Sanudo's argument are both recorded from their published positions rather than from a located passage, which is why ten records sit at raw and two of them carry low confidence.",data/crusades/jerusalem-roles.csv,jerusalem:research|jerusalem:data,Read the Laurent and Bongars editions for the passages the register actually uses and record the page on each row. Both are out of copyright and neither needs a rights decision first.,open
vd-cru-jerusalem-rights,rights,"No Holy Land witness is cleared for reproduction. The Psalter map, the Hereford map and the Vesconte manuscript all need a rights review, so the register whose subject is pictures of Jerusalem can show no picture of Jerusalem.",data/crusades/source-audit.csv,jerusalem:rights|jerusalem:interaction,"Read the British Library and Hereford Cathedral terms and clear one world image, or record the decision to argue from the catalogue records and a description instead.",open
vd-cru-arabic-forms,verification,"The Arabic forms on the Levant places are romanisations taken from published reference works, not readings of an Arabic source. A schema that has a column for the name a place carried for the people who lived there, filled in from someone else's transliteration, still tells a crusader's story in one respect.",data/crusades/places.csv,jerusalem:data,"Check each form against an Arabic geographical source or a standard reference and record the authority, or mark the column unfilled where none can be found.",open
vd-cru-islamic-witness-gap,verification,"Every source behind the Holy Land register was Latin Christian, and ROLE_KINDS had no covers kind for a chronicle's account of an event rather than a claim about what Jerusalem means or where it is, so the register that argues what the city meant could not show what it meant to the people who held it for most of 1099-1291.",docs/crusades/islamic-perspective-scoping.md,jerusalem:research,"Resolved: added contemporary_narrative to ROLE_KINDS and populated it with cru-jer-ibn-al-qalanisi / cru-jer-qalanisi-1099, citing Ibn al-Qalanisi's Damascus chronicle for the loss of Jerusalem in 1099. Read directly (not cited via Hillenbrand's bibliography): pp. 47-48 of Gibb's 1932 translation, supplied as a short excerpt. verification_state is verified and the locator is real - the first non-pending locator anywhere in this corpus. production_role stays research_only pending a rights review of Gibb's translation, which remains open separately; Baha' al-Din via Conder and Wilson 1897 is still worth checking as a source more likely to clear rights.",resolved
