gap_id,act,cluster,kind,blocks,statement,why_it_matters,next_action,status
ant-gap-coronelli-plate,act_iii,coronelli,retrieval_failure,KAN-422|ant-clm-coronelli-depiction|ant-clm-coronelli-belief,"The Rumsey detail page for Coronelli's 1693 'Terre Polari, Artiche, ed Antartiche' returned an access check and its metadata could not be transcribed.",Act III's central object is unseen. Nothing may be said about what Coronelli's polar plate depicts until the plate itself is examined.,"Retrieve the Rumsey record by hand or find a second digitised copy, then transcribe title, list number, date and rights.",open
ant-gap-coronelli-hemisphere,act_iii,coronelli,object_identity,KAN-422|ant-clm-coronelli-depiction,"Search evidence suggests the 1693 polar plate is weighted towards the Arctic, and a separate 'Terre Artiche' plate exists.","If Coronelli's polar plate is mostly northern, the honest Act III finding is that the southern polar region is comparatively unattended, which is a stronger argument than the one the specification assumes.","Establish whether the Epitome carries a distinct southern polar plate, or whether the south appears only on the globe gores and world maps.",open
ant-gap-coronelli-milanesi,act_iii,coronelli,scholarly_authority,KAN-422|ant-clm-coronelli-belief,Milanesi's Coronelli monograph has not been consulted.,"Without it Act III would read Coronelli's plates as statements of his beliefs, which is the exact error the claim ledger flags as high risk.",Acquire or consult the Brepols volume and record page locators for Coronelli's working method and source use.,open
ant-gap-atlante-plates,act_iii,coronelli,object_identity,KAN-422,No specific Atlante Veneto volume or plate has been identified as carrying polar material.,A thirteen-volume work cannot be cited as a whole. The object register currently holds a placeholder.,Work through a digitised Atlante Veneto set and list the plates that show the southern polar region.,open
ant-gap-rmg-rights,cross_cutting,cook,rights,KAN-420|KAN-430|KAN-431,Both verified Greenwich objects state no reuse licence; the 1910 ice chart carries a Crown copyright credit line.,The two objects the essay most wants to reproduce are the two whose terms are unknown. Both are research_only until RMG Images answers in writing.,"Write to RMG Images with the intended use, and record the reply against both object rows.",open
ant-gap-cook-copy-choice,act_iv,cook,edition_state,KAN-420|KAN-424,Greenwich holds at least two records for the 1777 southern-hemisphere chart and they have not been compared.,The essay must name the copy it reproduces. Two records for one chart is the ambiguity the register exists to close.,"Closed. rmgc-object-543571 is G201:3/3, a second impression of the same plate with a Forster attribution and different measurements. The essay reproduces PAI4123 unless a state comparison says otherwise.",closed
ant-gap-fine-mercator-ortelius-states,act_i,foundation,edition_state,KAN-420|KAN-424,"No holding copy or plate state has been identified for the Fine, Mercator or Ortelius world maps.",The southern coastline differs across states. A comparison of 'the Ortelius world map' with no state named compares nothing in particular.,"Select one holding copy per object, record its identifier, and note the state on which the southern coast is read.",open
ant-gap-bellingshausen-charts,act_v,discovery_survey,object_identity,KAN-421|KAN-425|ant-clm-first-sighting,No Bellingshausen chart has been located in a named repository.,"The 1820 priority discussion cannot be illustrated from the Russian side, which would leave the essay arguing priority from British and American material alone.",Identify the expedition atlas plates and a holding institution; establish whether a digitised set exists.,open
ant-gap-bellingshausen-translation,act_v,discovery_survey,translation,KAN-421|ant-clm-first-sighting,The essay's access to Bellingshausen is through Debenham's 1945 English edition.,Priority claims often turn on the wording of what was seen. A translation is an interpretation and may not silently stand in for the Russian text.,"Either consult the Russian text for the passages the essay quotes, or declare the dependence on Debenham in the claim ledger and the essay.",open
ant-gap-wilkes-sheets,act_vi,discovery_survey,object_identity,KAN-426|ant-clm-wilkes-coast,"The Wilkes atlas is located at the Library of Congress with a digitised copy, but no individual sheet or charted position has been identified.","The programme's flagship ghost-geography case is currently a general recollection that Ross sailed over land Wilkes charted. Which land, at what position, on which sheet, is unknown.","Open the LoC item record and the digitised atlas, find the map of the Antarctic continent, and record the disputed positions with their coordinates and the plate number.",in_progress
