id,place_id,name,name_historic,name_modern,role,participation_class,valid_from,valid_to,region,parent_polity,certainty,latitude,longitude,essay_anchor,source,notes
hse-place-lubeck-leading-1356,lubeck,Lübeck,Lubeca,Lübeck,leading_city,documented_collective_participation,1356,1669,Wendish-Baltic,Holy Roman Empire,high,53.8655,10.6866,city-is-unit,hse-src-marczinek-data-2025,"Publication phase uses the regular Hansetag-to-conventional-terminus window; it is not a membership interval."
hse-place-hamburg-active-1356,hamburg,Hamburg,Hamburg,Hamburg,active_city,documented_collective_participation,1356,1669,Lower Elbe,Holy Roman Empire,high,53.5503,9.9937,city-is-unit,hse-src-marczinek-data-2025,"Documented city in the research dataset; bounds are the project's analytical window."
hse-place-bremen-active-1356,bremen,Bremen,Bremen,Bremen,active_city,documented_collective_participation,1356,1669,Lower Weser,Holy Roman Empire,high,53.0793,8.8017,city-is-unit,hse-src-marczinek-data-2025,"Documented city in the research dataset; bounds are the project's analytical window."
hse-place-cologne-leading-1356,cologne,Cologne,Cöln,Köln,leading_city,documented_collective_participation,1356,1669,Rhine,Holy Roman Empire,high,50.9375,6.9603,city-is-unit,hse-src-marczinek-data-2025,"Historic and modern names retain the essay's English display label and German search forms."
hse-place-visby-market-1356,visby,Visby,Wisby,Visby,market,documented_collective_participation,1356,1525,Gotland,Swedish-Danish Baltic,high,57.6348,18.2948,merchants-before-league,hse-src-marczinek-data-2025,"End date is a conservative publication bound for Visby's selected Hanseatic phase rather than a constitutional exit date."
hse-place-gdansk-active-1356,gdansk,Gdańsk,Danzig,Gdańsk,active_city,documented_collective_participation,1356,1669,Prussia,Teutonic and Royal Prussia,high,54.3520,18.6466,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Parent polity is summarized across a changing political history; the phase does not imply continuous formal membership."
hse-place-riga-active-1356,riga,Riga,Riga,Rīga,active_city,documented_collective_participation,1356,1669,Livonia,Livonian and Polish-Swedish rule,high,56.9496,24.1052,city-is-unit,hse-src-marczinek-data-2025,"Parent polity is a broad phase label rather than a claim of unchanged sovereignty."
hse-place-rostock-active-1356,rostock,Rostock,Rostock,Rostock,active_city,documented_collective_participation,1356,1669,Wendish-Baltic,Holy Roman Empire,high,54.0924,12.0991,city-is-unit,hse-src-marczinek-data-2025,"Documented city in the research dataset; bounds are the project's analytical window."
hse-place-wismar-active-1356,wismar,Wismar,Wismar,Wismar,active_city,documented_collective_participation,1356,1669,Wendish-Baltic,Holy Roman Empire,high,53.8910,11.4510,city-is-unit,hse-src-marczinek-data-2025,"Documented city in the research dataset; bounds are the project's analytical window."
hse-place-stralsund-active-1356,stralsund,Stralsund,Stralsund,Stralsund,active_city,documented_collective_participation,1356,1669,Pomerania,Holy Roman Empire,high,54.3091,13.0818,power-without-sovereignty,hse-src-marczinek-data-2025,"The 1370 treaty is modelled separately in events.csv."
