feature_id,feature_type,name,latin_name,place_id,via_place_ids,geometry_provenance,confidence,valid_from,valid_to,citation,repository,source_url,rights_status,review_status,notes
rd-site-apulum,site,Apulum,Apulum,plc-apulum,,modern_reference,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207371,in_copyright,candidate,"Legionary fortress of XIII Gemina and the province's administrative centre. The point is the modern settlement's reference location carried from the CND place record, not an excavated centroid."
rd-site-napoca,site,Napoca,Napoca,plc-napoca,,modern_reference,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207457,in_copyright,candidate,"Municipium and later colonia on the road north. Point carried from the CND place record."
rd-site-potaissa,site,Potaissa,Potaissa,plc-potaissa,,modern_reference,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207489,in_copyright,candidate,"Legionary fortress of V Macedonica from c. 168. Point carried from the CND place record."
rd-site-porolissum,site,Porolissum,Porolissum,plc-porolissum,,editorial_reconstruction,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207487,in_copyright,candidate,"The northern frontier command. The CND record carries an editorial reconstruction of the site position, and that provenance is carried through rather than upgraded here."
rd-site-ulpia-traiana,site,Colonia Ulpia Traiana Sarmizegetusa,Colonia Vlpia Traiana Sarmizegetvsa,plc-ulpia-traiana-sarmizegetusa,,editorial_reconstruction,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207580,in_copyright,candidate,"The provincial capital, forty kilometres from the Dacian royal seat whose name it took."
rd-site-tibiscum,site,Tibiscum,Tibiscvm,plc-tibiscum,,editorial_reconstruction,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207561,in_copyright,candidate,"Road junction where the Lederata and Dierna approaches meet."
rd-site-micia,site,Micia,Micia,plc-micia,,editorial_reconstruction,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207429,in_copyright,candidate,"Auxiliary fort and customs station on the Mureș."
rd-site-ampelum,site,Ampelum,Ampelvm,plc-ampelum,,modern_reference,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207356,in_copyright,candidate,"Seat of the procurator aurariarum, the gold-mining administration."
rd-site-bologa,site,Resculum,Resculvm,plc-bologa,,editorial_reconstruction,low,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207506,in_copyright,candidate,"Fort at Bologa guarding the Criș approach. The ancient name attached to this fort is not settled, which is why the confidence is low."
rd-site-arcidava,site,Arcidava,Arcidava,plc-arcidava,,editorial_reconstruction,low,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207362,in_copyright,candidate,"First station on the Lederata road, at Vărădia."
