phase_id,polity_id,polity_name,phase_label,valid_from,valid_to,sovereignty,suzerain,instrument,instrument_year,geometry_provenance,confidence,citation,repository,source_url,rights_status,review_status,notes
pp-wallachia-1526,pol-wallachia,Wallachia,Under Ottoman suzerainty,1526,1717,autonomous_tributary,Ottoman Empire,Mohács and the collapse of the Hungarian kingdom,1526,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,"Danube in the south, Carpathian crest in the north, Oltenia included. The ring is a schematic envelope for temporal filtering, not a delimitation."
pp-wallachia-1718,pol-wallachia,Wallachia,Without Oltenia,1718,1738,autonomous_tributary,Ottoman Empire,Treaty of Passarowitz,1718,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,Passarowitz put Oltenia under Habsburg administration for twenty-one years; the principality east of the Olt is the phase drawn here.
pp-wallachia-1739,pol-wallachia,Wallachia,Oltenia restored,1739,1859,autonomous_tributary,Ottoman Empire,Treaty of Belgrade,1739,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,"Belgrade returned Oltenia. The phase runs to the double election of 1859, where this layer stops."
pp-oltenia-1718,pol-habsburg-oltenia,Habsburg Oltenia,Banat of Craiova,1718,1738,habsburg_administration,Habsburg Monarchy,Treaty of Passarowitz,1718,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,"Twenty-one years of Habsburg administration west of the Olt, and the reason this layer models phases rather than one timeless Wallachia."
pp-moldavia-1526,pol-moldavia,Moldavia,Under Ottoman suzerainty,1526,1774,autonomous_tributary,Ottoman Empire,Consolidation of Ottoman suzerainty after Mohács,1526,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,"Carpathians to the Dniester. Cetatea Albă and the Budjak had already been detached to direct Ottoman administration and are not separated here, which is a known simplification."
pp-moldavia-1775,pol-moldavia,Moldavia,Without Bukovina,1775,1811,autonomous_tributary,Ottoman Empire,Habsburg annexation of Bukovina,1775,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,"The north-western districts, with the old capital at Suceava, pass to the Habsburgs."
pp-moldavia-1812,pol-moldavia,Moldavia,Without Bessarabia,1812,1859,autonomous_tributary,Ottoman Empire,Treaty of Bucharest,1812,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,The Prut becomes the eastern boundary. The phase runs to 1859.
pp-bukovina-1775,pol-habsburg-bukovina,Habsburg Bukovina,Ceded to the Habsburgs,1775,1859,habsburg_province,Habsburg Monarchy,Habsburg annexation of Bukovina,1775,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,Detached from Moldavia and administered from Vienna; a duchy in its own right from 1849.
pp-bessarabia-1812,pol-russian-bessarabia,Russian Bessarabia,Ceded to Russia,1812,1859,russian_province,Russian Empire,Treaty of Bucharest,1812,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,Between the Prut and the Dniester. The southern districts returned to Moldavia in 1856 and are not drawn as a separate phase; that omission is recorded as verification debt.
pp-transylvania-1526,pol-transylvania,Transylvania,Contested succession,1526,1540,contested,,Mohács and the double election,1526,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,"Between Ferdinand of Habsburg and János Szapolyai. The Partium, held with Transylvania in this period, is not drawn; the ring is the Carpathian core only."
pp-transylvania-1541,pol-transylvania,Transylvania,Principality under Ottoman suzerainty,1541,1698,autonomous_tributary,Ottoman Empire,Fall of Buda and the partition of Hungary,1541,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,"The principality of the Diet and the three nations. Same ring as the phases either side of it: what changes across 1541 and 1699 is who holds it, not where the mountains are."
pp-transylvania-1699,pol-transylvania,Transylvania,Habsburg rule,1699,1859,habsburg_province,Habsburg Monarchy,Treaty of Karlowitz,1699,editorial_reconstruction,low,"Hertslet, The Map of Europe by Treaty, vol. I (1875)",Foreign Office,https://archive.org/details/mapofeuropebytre01hert,public_domain,candidate,Karlowitz confirms Habsburg possession; a Grand Principality from 1765. This is the state the Josephinian survey maps.
